,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,2130.0,2135.0,2103.0,2105.5,-1.1,19566486.5,2114.5
1,2024-03-28,2110.0,2145.0,2108.0,2129.0,1.14,24692871.7,2127.3333333333335
2,2024-03-27,2145.0,2145.0,2105.0,2105.0,-0.47,12170101.8,2118.3333333333335
3,2024-03-26,2105.0,2115.0,2100.1,2115.0,0.52,20140901.9,2110.0333333333333
4,2024-03-25,2139.9,2139.9,2103.0,2104.0,-0.47,12678126.1,2115.633333333333
5,2024-03-21,2120.0,2129.0,2112.0,2114.0,-0.19,16908068.4,2118.3333333333335
6,2024-03-20,2130.0,2137.0,2110.0,2118.0,-0.19,12922087.4,2121.6666666666665
7,2024-03-19,2120.0,2150.0,2120.0,2122.0,-0.14,8772838.8,2130.6666666666665
8,2024-03-18,2121.2,2150.0,2121.0,2125.0,-0.45,12040554.9,2132.0
9,2024-03-17,2155.0,2160.0,2132.0,2134.5,-0.81,17189656.5,2142.1666666666665
10,2024-03-14,2177.0,2177.0,2140.0,2152.0,-0.94,19038467.2,2156.3333333333335
11,2024-03-13,2163.0,2180.0,2131.0,2172.5,0.44,22665969.3,2161.1666666666665
12,2024-03-12,2169.5,2169.5,2134.0,2163.0,1.69,30545207.0,2155.5
13,2024-03-10,2120.0,2140.0,2108.4,2127.0,1.24,21377591.6,2125.133333333333
14,2024-03-07,2115.0,2125.0,2101.0,2101.0,-0.38,11009559.9,2109.0
15,2024-03-06,2100.0,2119.5,2080.0,2109.0,0.43,17102220.3,2102.8333333333335
16,2024-03-05,2181.0,2181.0,2090.0,2099.9,-3.72,28182259.8,2123.633333333333
17,2024-03-04,2093.0,2181.0,2093.0,2181.0,6.29,527805.0,2151.6666666666665
18,2024-03-03,2070.0,2075.0,2046.5,2052.0,-1.16,24234084.5,2057.8333333333335
19,2024-02-29,2115.0,2125.0,2075.0,2076.0,-1.14,16254923.2,2092.0
20,2024-02-28,2090.0,2184.0,2047.0,2100.0,2.19,21428078.1,2110.3333333333335
21,2024-02-27,2060.0,2069.0,2040.0,2055.0,-0.24,13284507.7,2054.6666666666665
22,2024-02-26,2051.0,2067.0,2040.0,2060.0,0.44,14000842.2,2055.6666666666665
23,2024-02-25,2085.0,2089.9,2051.0,2051.0,-0.92,29169547.2,2063.9666666666667
24,2024-02-22,2094.0,2100.0,2070.0,2070.0,-1.15,57769326.2,2080.0
25,2024-02-21,2090.0,2100.0,2090.0,2094.0,0.0,13300011.2,2094.6666666666665
26,2024-02-20,2100.0,2100.0,2092.0,2094.0,0.14,30361153.2,2095.3333333333335
27,2024-02-18,2110.0,2110.1,2090.0,2091.0,-0.9,31092300.1,2097.0333333333333
28,2024-02-15,2113.0,2125.0,2104.0,2109.9,-0.15,20114907.6,2112.9666666666667
29,2024-02-14,2116.0,2138.0,2110.0,2113.0,-0.56,15903853.1,2120.3333333333335
30,2024-02-13,2150.0,2150.1,2110.0,2125.0,-1.16,27126147.1,2128.366666666667
31,2024-02-12,2123.0,2160.0,2120.0,2150.0,1.41,22813235.4,2143.3333333333335
32,2024-02-11,2130.0,2144.0,2120.0,2120.1,0.48,18063586.2,2128.0333333333333
33,2024-02-08,2110.0,2115.0,2100.0,2110.0,0.0,11474625.7,2108.3333333333335
34,2024-02-07,2130.0,2130.0,2100.0,2110.0,0.47,15331493.8,2113.3333333333335
35,2024-02-06,2115.0,2120.0,2095.2,2100.1,0.15,15884336.3,2105.1
36,2024-02-05,2100.0,2104.0,2085.0,2097.0,0.33,18430823.3,2095.3333333333335
37,2024-02-04,2082.6,2098.6,2080.0,2090.0,0.14,17447675.8,2089.5333333333333
38,2024-02-01,2090.0,2114.0,2085.0,2087.0,-0.67,17814045.0,2095.3333333333335
39,2024-01-31,2129.0,2129.5,2098.0,2101.0,-0.9,20754734.4,2109.5
40,2024-01-30,2120.0,2131.0,2101.0,2120.0,0.95,27504281.4,2117.3333333333335
41,2024-01-29,2090.0,2110.0,2080.0,2100.0,0.48,17061390.0,2096.6666666666665
42,2024-01-28,2121.6,2121.6,2080.0,2090.0,0.48,22616838.5,2097.2000000000003
43,2024-01-25,2097.0,2112.0,2075.0,2080.0,0.09,25558238.4,2089.0
44,2024-01-24,2090.0,2131.0,2078.0,2078.1,-0.71,27073574.7,2095.7000000000003
45,2024-01-23,2140.0,2145.0,2090.0,2093.0,-1.51,39465443.3,2109.3333333333335
46,2024-01-22,2196.8,2196.8,2118.1,2125.0,-2.08,42019858.8,2146.633333333333
47,2024-01-21,2200.0,2200.0,2169.0,2170.1,-1.13,38249798.3,2179.7000000000003
48,2024-01-18,2259.3,2259.3,2186.1,2195.0,-0.9,40567993.6,2213.4666666666667
49,2024-01-17,2265.0,2275.0,2200.0,2215.0,-0.76,52746064.5,2230.0
50,2024-01-16,2220.0,2240.0,2200.0,2232.0,0.77,49431690.2,2224.0
51,2024-01-14,2207.0,2220.0,2190.0,2215.0,0.68,22848221.8,2208.3333333333335
52,2024-01-11,2193.0,2229.0,2187.5,2200.0,0.0,29611159.3,2205.5
53,2024-01-10,2231.0,2235.0,2192.0,2200.0,0.09,34692768.7,2209.0
54,2024-01-09,2185.0,2238.9,2185.0,2198.0,1.06,60730638.3,2207.2999999999997
55,2024-01-08,2179.0,2181.0,2156.2,2175.0,0.88,33615746.4,2170.733333333333
56,2024-01-07,2185.0,2188.9,2151.0,2156.0,-1.33,36634246.9,2165.2999999999997
57,2024-01-04,2198.0,2217.0,2166.0,2185.0,0.74,55361465.4,2189.3333333333335
58,2024-01-03,2170.0,2195.0,2155.0,2169.0,0.18,24300967.6,2173.0
59,2024-01-02,2190.0,2200.0,2140.0,2165.0,-1.28,59286719.0,2168.3333333333335
60,2024-01-01,2190.0,2230.0,2190.0,2193.0,0.14,47019343.7,2204.3333333333335
61,2023-12-28,2200.0,2210.0,2160.0,2190.0,0.55,37390815.9,2186.6666666666665
62,2023-12-27,2250.0,2255.0,2160.0,2178.0,-1.49,86753712.0,2197.6666666666665
63,2023-12-24,2260.0,2300.0,2210.0,2211.0,-2.51,101872153.3,2240.3333333333335
64,2023-12-21,2335.8,2346.0,2240.0,2268.0,-1.39,103080062.1,2284.6666666666665
65,2023-12-20,2165.0,2330.0,2165.0,2300.0,6.98,126055504.6,2265.0
66,2023-12-19,2100.0,2170.0,2100.0,2150.0,2.38,84749058.4,2140.0
67,2023-12-18,2061.0,2112.0,2055.0,2100.0,2.84,54105596.5,2089.0
68,2023-12-17,2025.0,2055.0,2000.1,2042.0,0.59,17459221.0,2032.3666666666668
69,2023-12-14,2026.0,2048.0,2010.0,2030.0,0.2,17374045.7,2029.3333333333333
70,2023-12-13,2065.0,2100.0,2025.0,2026.0,0.05,26521008.4,2050.3333333333335
71,2023-12-12,2050.3,2050.3,2009.3,2025.0,0.74,25369513.3,2028.2
72,2023-12-11,2089.0,2100.0,2010.1,2010.1,-2.18,42326019.6,2040.0666666666668
73,2023-12-10,1998.1,2055.0,1998.1,2055.0,4.9,4355617.0,2036.0333333333335
74,2023-12-07,1950.1,1959.0,1945.0,1959.0,0.46,13452304.8,1954.3333333333333
75,2023-12-06,1960.0,1960.0,1947.0,1950.0,-0.2,6136933.8,1952.3333333333333
76,2023-12-05,1950.0,1957.0,1880.0,1954.0,-0.15,19141311.8,1930.3333333333333
77,2023-12-04,1965.0,1965.0,1956.0,1957.0,-0.1,15570653.8,1959.3333333333333
78,2023-12-03,1953.0,1962.8,1949.2,1959.0,-0.31,11767211.9,1957.0
79,2023-11-30,1979.0,1979.0,1952.0,1965.0,-0.75,10944094.9,1965.3333333333333
80,2023-11-29,1999.0,1999.0,1966.0,1979.8,-0.01,8533614.2,1981.6000000000001
81,2023-11-28,2000.0,2000.0,1975.5,1980.0,-0.45,9074596.6,1985.1666666666667
82,2023-11-27,1990.0,2004.0,1980.0,1989.0,0.76,15723615.4,1991.0
83,2023-11-26,1940.0,1977.0,1935.0,1974.0,2.12,22295041.4,1962.0
84,2023-11-23,1920.0,1945.8,1910.0,1933.0,0.68,6937096.4,1929.6000000000001
85,2023-11-22,1894.0,1930.0,1893.5,1920.0,0.95,22716725.5,1914.5
86,2023-11-21,1929.9,1929.9,1893.4,1902.0,-0.16,8455040.7,1908.4333333333334
87,2023-11-20,1915.0,1949.1,1903.1,1905.0,-0.31,8761314.6,1919.0666666666666
88,2023-11-09,1907.0,1918.0,1902.0,1910.9,0.2,8330996.4,1910.3
89,2023-11-08,1903.0,1912.0,1902.0,1907.0,-0.05,5459388.9,1907.0
90,2023-11-07,1910.0,1919.7,1887.0,1908.0,1.06,8728676.4,1904.8999999999999
91,2023-11-06,1893.0,1893.0,1875.0,1887.9,1.28,7213841.8,1885.3
92,2023-11-05,1870.0,1883.0,1860.0,1864.1,-1.05,11835859.3,1869.0333333333335
93,2023-11-02,1885.0,1892.0,1880.0,1883.9,-0.06,10230356.9,1885.3
94,2023-11-01,1885.0,1889.0,1881.0,1885.1,0.32,6137972.6,1885.0333333333335
95,2023-10-31,1873.0,1890.0,1870.0,1879.0,-0.64,6991767.2,1879.6666666666667
96,2023-10-30,1893.0,1894.0,1870.0,1891.1,-0.15,10220408.2,1885.0333333333335
97,2023-10-29,1925.0,1925.0,1888.0,1894.0,-1.35,10900418.7,1902.3333333333333
98,2023-10-19,1915.0,1924.0,1900.0,1920.0,0.79,7715989.9,1914.6666666666667
99,2023-10-18,1865.0,1915.0,1865.0,1905.0,2.14,11533086.8,1895.0
100,2023-10-17,1869.0,1925.0,1864.0,1865.0,0.69,9899679.6,1884.6666666666667
101,2023-10-16,1890.0,1890.0,1850.0,1852.3,-1.05,21162956.7,1864.1000000000001
102,2023-10-12,1895.0,1895.0,1872.0,1872.0,-0.96,20425449.5,1879.6666666666667
103,2023-10-11,1890.0,1900.0,1885.4,1890.1,0.27,8844636.0,1891.8333333333333
104,2023-10-10,1916.0,1916.0,1879.3,1885.0,-0.53,22976812.2,1893.4333333333334
105,2023-10-09,1900.0,1925.0,1880.0,1895.0,-0.31,22249167.3,1900.0
106,2023-10-08,1954.0,1955.0,1900.0,1900.8,-2.73,40800226.4,1918.6000000000001
107,2023-10-05,1965.0,1975.0,1950.0,1954.1,-0.52,22526152.6,1959.7
108,2023-10-04,1988.0,1988.0,1960.0,1964.4,0.22,8959453.5,1970.8
109,2023-10-03,1975.0,1983.0,1958.0,1960.0,-0.91,21677517.3,1967.0
110,2023-10-02,1980.0,1987.0,1975.1,1978.0,-0.3,15303895.0,1980.0333333333335
111,2023-10-01,1997.1,2000.0,1980.0,1984.0,-0.7,17987544.6,1988.0
112,2023-09-27,2010.0,2016.8,1996.0,1998.0,-0.6,56299238.9,2003.6000000000001
113,2023-09-26,2003.0,2010.0,1975.0,2010.0,0.35,52034567.0,1998.3333333333333
114,2023-09-25,2000.0,2017.0,1996.0,2003.0,-0.35,14003155.5,2005.3333333333333
115,2023-09-24,2010.0,2050.0,2010.0,2010.0,-1.81,16400372.3,2023.3333333333333
116,2023-09-21,2060.0,2099.0,2030.0,2047.0,1.34,13431254.8,2058.6666666666665
117,2023-09-19,2036.0,2036.0,1998.0,2020.0,1.0,10623546.0,2018.0
118,2023-09-18,2010.0,2010.0,1995.3,2000.0,-0.5,16651124.7,2001.7666666666667
119,2023-09-17,2025.0,2063.4,2010.1,2010.1,-0.93,14097925.8,2027.8666666666668
120,2023-09-13,2012.0,2035.0,2010.0,2029.0,0.89,9373168.1,2024.6666666666667
121,2023-09-12,2035.0,2043.0,2011.1,2011.1,-1.17,9060910.7,2021.7333333333333
122,2023-09-11,2012.0,2036.0,2001.0,2035.0,1.25,8423277.5,2024.0
