,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,510.0,510.0,498.0,500.0,-0.73,14954015.7,502.6666666666667
1,2024-03-28,504.5,508.8,503.0,503.7,-0.26,11902101.6,505.1666666666667
2,2024-03-27,507.9,508.0,502.5,505.0,-0.26,12065071.1,505.1666666666667
3,2024-03-26,505.0,509.0,503.4,506.3,0.66,8156601.0,506.23333333333335
4,2024-03-25,510.0,511.0,502.3,503.0,-1.97,15124697.1,505.43333333333334
5,2024-03-21,512.0,518.0,511.2,513.1,-0.19,7973915.1,514.1
6,2024-03-20,522.0,522.0,512.2,514.1,0.25,7006231.0,516.1
7,2024-03-19,515.0,518.0,512.6,512.8,-0.81,9814513.2,514.4666666666666
8,2024-03-18,516.5,520.0,515.9,517.0,0.19,12690857.2,517.6333333333333
9,2024-03-17,510.0,521.0,510.0,516.0,-0.19,10347538.4,515.6666666666666
10,2024-03-14,515.0,520.0,514.1,517.0,-0.96,7038977.0,517.0333333333333
11,2024-03-13,536.5,536.5,516.0,522.0,-0.76,8166200.1,524.8333333333334
12,2024-03-12,524.1,528.0,515.0,526.0,2.35,14650158.7,523.0
13,2024-03-10,515.0,515.0,510.0,513.9,1.16,5707683.6,512.9666666666667
14,2024-03-07,519.1,520.0,507.3,508.0,-0.2,7667599.7,511.76666666666665
15,2024-03-06,517.0,517.0,502.2,509.0,0.24,11731310.7,509.40000000000003
16,2024-03-05,530.0,530.0,498.0,507.8,-3.09,12287658.3,511.93333333333334
17,2024-03-04,503.8,524.0,503.8,524.0,6.07,15416.0,517.2666666666667
18,2024-03-03,500.0,504.9,490.0,494.0,-1.02,15697269.0,496.3
19,2024-02-29,495.0,509.9,495.0,499.1,-0.66,9494230.6,501.3333333333333
20,2024-02-28,510.0,510.0,500.0,502.4,-1.49,9251130.1,504.1333333333334
21,2024-02-27,498.0,512.0,498.0,510.0,1.59,9046754.2,506.6666666666667
22,2024-02-26,499.0,508.0,499.0,502.0,0.6,9740743.7,503.0
23,2024-02-25,512.0,512.0,498.5,499.0,-2.6,24672577.8,503.1666666666667
24,2024-02-22,515.0,519.3,511.2,512.3,-0.72,7492753.8,514.2666666666667
25,2024-02-21,520.0,524.0,515.2,516.0,-0.39,6972477.1,518.4
26,2024-02-20,519.0,524.7,511.0,518.0,-0.19,7054799.7,517.9
27,2024-02-18,522.0,522.0,517.0,519.0,-0.57,11657239.6,519.3333333333334
28,2024-02-15,522.1,528.0,519.1,522.0,-0.95,6044442.3,523.0333333333333
29,2024-02-14,525.0,528.0,521.0,527.0,1.15,17881931.8,525.3333333333334
30,2024-02-13,522.2,523.9,515.0,521.0,-0.76,18223799.3,519.9666666666667
31,2024-02-12,522.0,525.0,521.6,525.0,0.69,14228881.0,523.8666666666667
32,2024-02-11,530.0,532.0,521.4,521.4,-1.16,11451190.2,524.9333333333334
33,2024-02-08,529.0,534.0,525.0,527.5,-1.2,10834809.4,528.8333333333334
34,2024-02-07,539.5,539.5,530.0,533.9,0.93,12240621.5,534.4666666666667
35,2024-02-06,536.5,536.5,527.0,529.0,0.19,12964263.3,530.8333333333334
36,2024-02-05,535.0,535.0,525.0,528.0,-0.02,13142417.9,529.3333333333334
37,2024-02-04,527.0,531.8,522.2,528.1,0.21,13634866.4,527.3666666666667
38,2024-02-01,530.0,539.0,526.0,527.0,-1.31,20984983.6,530.6666666666666
39,2024-01-31,540.0,540.0,530.0,534.0,-1.11,25387752.3,534.6666666666666
40,2024-01-30,549.5,549.5,537.0,540.0,-0.52,21332658.7,542.1666666666666
41,2024-01-29,537.1,544.0,532.0,542.8,0.93,32665237.4,539.6
42,2024-01-28,532.0,538.1,532.0,537.8,1.45,29867668.66,535.9666666666666
43,2024-01-25,526.0,535.0,523.3,530.1,0.78,26433321.5,529.4666666666667
44,2024-01-24,525.0,529.0,524.0,526.0,0.57,23379213.0,526.3333333333334
45,2024-01-23,521.0,529.0,520.0,523.0,0.0,21712178.7,524.0
46,2024-01-22,534.0,534.0,522.3,523.0,-0.57,37390553.1,526.4333333333333
47,2024-01-21,555.0,555.0,526.0,526.0,-5.05,51397476.1,535.6666666666666
48,2024-01-18,526.0,554.0,519.4,554.0,4.33,34330284.5,542.4666666666667
49,2024-01-17,520.3,551.8,520.3,531.0,0.19,43147230.0,534.3666666666667
50,2024-01-16,524.0,530.5,480.0,530.0,1.15,17408603.2,513.5
51,2024-01-14,525.0,525.7,516.0,524.0,0.96,21226259.4,521.9
