,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,219.0,220.0,216.9,217.8,-0.55,5571800.1,218.23333333333335
1,2024-03-28,225.4,225.4,218.2,219.0,-0.9,4625468.7,220.86666666666667
2,2024-03-27,224.0,224.0,218.0,221.0,0.18,7925390.2,221.0
3,2024-03-26,221.0,223.8,219.5,220.6,-0.14,5891236.0,221.29999999999998
4,2024-03-25,224.0,224.0,220.0,220.9,-1.16,8768408.5,221.63333333333333
5,2024-03-21,227.9,227.9,222.0,223.5,-0.67,7776644.6,224.46666666666667
6,2024-03-20,226.9,226.9,220.0,225.0,1.12,9992077.0,223.96666666666667
7,2024-03-19,220.0,225.9,220.0,222.5,-0.67,10891014.6,222.79999999999998
8,2024-03-18,227.7,227.7,222.0,224.0,0.31,10981395.7,224.5666666666667
9,2024-03-17,221.0,224.0,220.2,223.3,-0.09,7531990.2,222.5
10,2024-03-14,225.0,225.0,220.8,223.5,-0.8,5929942.5,223.1
11,2024-03-13,227.1,229.0,225.0,225.3,-0.35,9599438.0,226.4333333333333
12,2024-03-12,225.0,226.8,222.0,226.1,1.85,6603747.6,224.96666666666667
13,2024-03-10,225.0,225.9,221.1,222.0,0.45,7711371.7,223.0
14,2024-03-07,222.0,222.2,218.1,221.0,1.38,5018419.9,220.4333333333333
15,2024-03-06,222.0,224.0,217.6,218.0,-1.8,7500241.6,219.86666666666667
16,2024-03-05,234.6,234.6,220.0,222.0,-3.48,10373385.7,225.53333333333333
17,2024-03-04,218.7,230.0,218.7,230.0,7.23,2389281.5,226.23333333333335
18,2024-03-03,218.7,218.7,213.0,214.5,0.0,10997625.6,215.4
19,2024-02-29,219.0,219.0,214.3,214.5,-1.15,24732157.3,215.9333333333333
20,2024-02-28,219.0,222.8,216.8,217.0,-0.91,8436635.1,218.86666666666667
21,2024-02-27,218.0,222.5,215.1,219.0,0.32,6653719.6,218.86666666666667
22,2024-02-26,219.0,222.9,218.0,218.3,-0.32,8856119.9,219.73333333333335
23,2024-02-25,223.0,223.0,219.0,219.0,-1.79,14086185.5,220.33333333333334
24,2024-02-22,223.1,225.0,222.0,223.0,-1.33,10047755.3,223.33333333333334
25,2024-02-21,226.0,227.0,223.6,226.0,0.04,9543551.7,225.53333333333333
26,2024-02-20,225.0,226.0,224.3,225.9,0.36,9935411.1,225.4
27,2024-02-18,227.2,229.0,224.5,225.1,-1.19,15820195.9,226.20000000000002
28,2024-02-15,226.5,229.9,226.5,227.8,0.13,8157913.3,228.0666666666667
29,2024-02-14,229.0,229.9,227.0,227.5,-1.0,7148108.9,228.13333333333333
30,2024-02-13,229.0,231.5,227.0,229.8,0.17,9761239.6,229.4333333333333
31,2024-02-12,230.0,232.0,228.5,229.4,-0.04,8190401.7,229.96666666666667
32,2024-02-11,232.1,233.8,229.5,229.5,-0.52,9626707.5,230.9333333333333
33,2024-02-08,235.6,235.6,230.3,230.7,-0.35,9136207.5,232.19999999999996
34,2024-02-07,233.6,238.0,231.0,231.5,1.05,4940227.6,233.5
35,2024-02-06,229.1,231.9,229.1,229.1,0.0,12114475.9,230.03333333333333
36,2024-02-05,231.9,231.9,228.5,229.1,-0.13,9439505.3,229.83333333333334
37,2024-02-04,229.1,231.0,228.5,229.4,-0.69,15356415.9,229.63333333333333
38,2024-02-01,231.0,231.5,229.6,231.0,-0.26,12477857.5,230.70000000000002
39,2024-01-31,227.3,232.5,227.3,231.6,-0.13,10395209.0,230.46666666666667
40,2024-01-30,233.0,234.9,231.2,231.9,-0.47,23321223.2,232.66666666666666
41,2024-01-29,238.0,238.0,232.2,233.0,-0.43,8645891.4,234.4
42,2024-01-28,235.0,235.0,232.6,234.0,-0.38,7192889.5,233.86666666666667
43,2024-01-25,234.0,235.7,233.0,234.9,-0.34,14045418.3,234.53333333333333
44,2024-01-24,236.0,237.0,232.2,235.7,0.9,13695984.4,234.96666666666667
45,2024-01-23,236.8,236.8,232.1,233.6,0.34,35873341.7,234.16666666666666
46,2024-01-22,233.5,238.0,232.5,232.8,-0.72,22399607.7,234.4333333333333
47,2024-01-21,238.0,238.0,233.0,234.5,-2.13,32660517.8,235.16666666666666
48,2024-01-18,246.0,246.0,238.3,239.6,-1.28,76797390.2,241.29999999999998
49,2024-01-17,242.0,246.8,239.5,242.7,1.34,36336427.6,243.0
50,2024-01-16,237.0,240.0,234.7,239.5,1.53,50906335.3,238.0666666666667
51,2024-01-14,241.0,241.0,235.0,235.9,-0.88,33012682.0,237.29999999999998
52,2024-01-11,237.0,241.6,237.0,238.0,0.42,10308923.1,238.86666666666667
53,2024-01-10,238.5,241.0,237.0,237.0,0.42,19892703.2,238.33333333333334
54,2024-01-09,239.7,239.7,234.0,236.0,0.43,25879379.3,236.5666666666667
55,2024-01-08,237.0,238.7,232.3,235.0,0.0,16965845.5,235.33333333333334
56,2024-01-07,239.0,239.0,233.0,235.0,-0.51,22360797.0,235.66666666666666
57,2024-01-04,238.0,240.0,235.9,236.2,-0.76,12558701.8,237.36666666666665
58,2024-01-03,235.2,239.0,235.2,238.0,0.42,13569484.5,237.4
59,2024-01-02,239.0,240.0,237.0,237.0,-1.25,14987752.8,238.0
60,2024-01-01,244.8,244.8,238.0,240.0,0.0,22865216.0,240.9333333333333
61,2023-12-28,246.0,246.0,239.1,240.0,-0.83,13053303.8,241.70000000000002
62,2023-12-27,242.3,246.5,240.1,242.0,-0.21,14839495.5,242.86666666666667
63,2023-12-24,245.0,250.6,242.5,242.5,-1.3,20383854.1,245.20000000000002
64,2023-12-21,255.0,255.0,245.0,245.7,-3.65,36793090.7,248.5666666666667
65,2023-12-20,259.4,259.7,253.0,255.0,0.24,36830052.4,255.9
66,2023-12-19,246.5,254.9,246.2,254.4,3.84,33929472.7,251.83333333333334
67,2023-12-18,242.0,245.8,240.0,245.0,2.08,32479724.1,243.6
68,2023-12-17,240.1,243.0,231.2,240.0,-2.04,37877036.7,238.0666666666667
69,2023-12-14,244.0,245.0,240.0,245.0,0.04,19772058.7,243.33333333333334
