,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,205.0,207.0,204.0,204.3,-1.4,10856689.1,205.1
1,2024-03-28,202.0,210.0,202.0,207.2,0.97,13270230.9,206.4
2,2024-03-27,212.0,212.0,205.0,205.2,-1.3,11672390.7,207.4
3,2024-03-26,203.0,208.9,203.0,207.9,1.32,9510948.7,206.6
4,2024-03-25,206.0,208.9,203.7,205.2,-0.82,11025639.6,205.9333333333333
5,2024-03-21,208.0,210.0,206.5,206.9,-0.96,13563192.9,207.79999999999998
6,2024-03-20,210.0,214.0,208.0,208.9,-0.52,15866964.2,210.29999999999998
7,2024-03-19,209.1,213.5,209.0,210.0,-0.94,21284608.2,210.83333333333334
8,2024-03-18,210.0,212.0,209.6,212.0,0.71,11927779.3,211.20000000000002
9,2024-03-17,213.0,215.0,209.2,210.5,-0.94,15306957.9,211.5666666666667
10,2024-03-14,216.0,218.0,212.3,212.5,-2.07,15149268.3,214.26666666666665
11,2024-03-13,220.0,221.0,216.0,217.0,-0.91,23335329.5,218.0
12,2024-03-12,215.9,220.0,213.5,219.0,3.45,29803850.6,217.5
13,2024-03-10,213.0,214.6,210.5,211.7,0.62,12086790.5,212.26666666666665
14,2024-03-07,210.0,214.9,208.3,210.4,0.48,13779779.4,211.20000000000002
15,2024-03-06,210.0,213.0,205.9,209.4,0.67,35840713.9,209.4333333333333
16,2024-03-05,218.0,218.0,207.3,208.0,-4.15,24873473.8,211.1
17,2024-03-04,205.9,218.0,205.9,217.0,7.48,4615795.9,213.63333333333333
18,2024-03-03,201.5,202.5,200.0,201.9,-0.05,14243859.0,201.46666666666667
19,2024-02-29,205.8,209.8,201.1,202.0,-2.27,21736513.8,204.29999999999998
20,2024-02-28,205.1,210.1,205.1,206.7,-0.67,10978325.5,207.29999999999998
21,2024-02-27,208.0,211.0,206.0,208.1,0.29,17290699.6,208.36666666666667
22,2024-02-26,206.6,209.1,205.1,207.5,1.22,15666953.1,207.23333333333335
23,2024-02-25,207.3,210.0,204.4,205.0,-1.91,18013666.1,206.46666666666667
24,2024-02-22,211.0,213.0,208.1,209.0,-0.95,22407700.3,210.03333333333333
25,2024-02-21,217.8,217.9,210.8,211.0,-1.31,19032416.8,213.23333333333335
26,2024-02-20,211.0,219.0,208.2,213.8,1.33,32205031.4,213.66666666666666
27,2024-02-18,221.6,221.6,210.2,211.0,-2.9,31077565.7,214.26666666666665
28,2024-02-15,216.8,221.3,216.8,217.3,-0.55,23935136.3,218.4666666666667
29,2024-02-14,220.0,221.9,217.1,218.5,-0.68,15355814.4,219.16666666666666
30,2024-02-13,222.6,224.5,218.8,220.0,-2.61,38998318.3,221.1
31,2024-02-12,222.5,226.0,222.5,225.9,1.21,19284171.2,224.79999999999998
32,2024-02-11,226.0,230.0,223.1,223.2,-0.89,28832639.0,225.4333333333333
33,2024-02-08,225.0,228.8,224.1,225.2,-0.09,22814721.7,226.0333333333333
34,2024-02-07,229.0,229.0,224.0,225.4,0.36,20484431.7,226.13333333333333
35,2024-02-06,225.2,227.0,224.1,224.6,-0.13,20720266.8,225.23333333333335
36,2024-02-05,229.0,229.0,224.0,224.9,-0.4,16987147.6,225.96666666666667
37,2024-02-04,222.0,232.5,222.0,225.8,0.8,120322299.3,226.76666666666665
38,2024-02-01,231.0,231.0,223.0,224.0,-1.32,25040688.9,226.0
39,2024-01-31,228.9,237.9,226.5,227.0,-2.7,77286097.2,230.46666666666667
40,2024-01-30,229.0,236.6,228.2,233.3,1.83,65580091.1,232.69999999999996
41,2024-01-29,223.0,240.0,222.0,229.1,2.28,77775437.0,230.36666666666667
42,2024-01-28,225.0,227.5,222.0,224.0,-0.44,25335486.0,224.5
43,2024-01-25,218.6,231.5,218.6,225.0,0.9,42464365.1,225.03333333333333
44,2024-01-24,234.6,234.6,220.0,223.0,-3.04,66189940.6,225.86666666666667
45,2024-01-23,221.7,234.0,221.7,230.0,1.68,42142136.8,228.5666666666667
46,2024-01-22,226.3,234.0,224.0,226.2,-2.04,49512951.0,228.0666666666667
47,2024-01-21,238.5,240.0,228.0,230.9,-3.19,68194063.2,232.96666666666667
48,2024-01-18,244.0,245.0,235.7,238.5,-2.25,113089649.9,239.73333333333335
49,2024-01-17,248.0,253.0,238.1,244.0,-0.41,238955547.3,245.03333333333333
50,2024-01-16,225.0,245.0,224.1,245.0,9.38,232638411.2,238.03333333333333
51,2024-01-14,222.0,227.0,222.0,224.0,0.9,68593713.7,224.33333333333334
52,2024-01-11,225.0,231.0,221.5,222.0,-3.06,77843045.2,224.83333333333334
53,2024-01-10,232.0,236.0,224.5,229.0,-1.08,119824822.8,229.83333333333334
54,2024-01-09,220.0,234.6,220.0,231.5,3.16,197372869.0,228.70000000000002
55,2024-01-08,213.5,226.7,211.0,224.4,5.11,117141848.7,220.70000000000002
56,2024-01-07,218.0,223.0,213.4,213.5,-3.83,51848961.1,216.63333333333333
57,2024-01-04,215.0,228.0,214.0,222.0,3.74,104851495.2,221.33333333333334
58,2024-01-03,205.0,215.0,205.0,214.0,4.34,37594217.2,211.33333333333334
59,2024-01-02,208.0,208.9,204.0,205.1,-1.35,32008580.2,206.0
60,2024-01-01,211.0,216.1,207.0,207.9,-1.24,28207375.4,210.33333333333334
61,2023-12-28,207.8,215.1,207.8,210.5,-0.71,38117227.3,211.13333333333333
62,2023-12-27,209.0,218.0,209.0,212.0,-0.52,40166327.4,213.0
63,2023-12-24,224.0,225.0,213.0,213.1,-4.87,60479615.5,217.03333333333333
64,2023-12-21,234.6,237.2,222.6,224.0,-4.52,65002684.4,227.9333333333333
65,2023-12-20,220.8,238.1,217.0,234.6,8.36,175483590.8,229.9
66,2023-12-19,211.0,218.0,209.2,216.5,2.61,30709244.6,214.5666666666667
67,2023-12-18,212.0,218.0,210.0,211.0,0.0,41376141.0,213.0
68,2023-12-17,197.3,211.0,197.2,211.0,4.98,40894178.8,206.4
69,2023-12-14,200.0,204.0,197.2,201.0,0.0,22336425.3,200.73333333333335
70,2023-12-13,200.0,208.9,198.9,201.0,0.5,23692157.2,202.9333333333333
71,2023-12-12,197.0,204.0,194.2,200.0,1.52,30106308.5,199.4
72,2023-12-11,205.0,205.0,194.1,197.0,-1.99,43714791.5,198.70000000000002
73,2023-12-10,187.0,202.0,187.0,201.0,8.65,3022256.9,196.66666666666666
74,2023-12-07,185.0,187.0,183.6,185.0,0.82,7029413.6,185.20000000000002
75,2023-12-06,183.3,185.0,182.6,183.5,-0.81,6190783.1,183.70000000000002
76,2023-12-05,184.0,190.0,183.7,185.0,0.0,9776690.8,186.23333333333335
77,2023-12-04,184.0,188.0,183.8,185.0,-0.48,6990932.4,185.6
78,2023-12-03,185.1,187.0,184.1,185.9,-0.59,4993567.1,185.66666666666666
79,2023-11-30,188.0,190.0,186.0,187.0,-1.06,4746472.9,187.66666666666666
80,2023-11-29,186.4,200.0,186.4,189.0,-0.53,7760722.6,191.79999999999998
81,2023-11-28,190.0,191.0,187.8,190.0,-0.47,5058348.5,189.6
82,2023-11-27,192.0,194.0,189.0,190.9,-0.57,8269817.1,191.29999999999998
83,2023-11-26,185.0,195.0,184.3,192.0,2.18,16651409.3,190.4333333333333
84,2023-11-23,185.1,191.5,184.7,187.9,-0.05,8503145.6,188.03333333333333
85,2023-11-22,185.0,190.2,182.8,188.0,1.18,7215660.9,187.0
86,2023-11-21,182.7,186.0,182.7,185.8,-0.11,4232702.5,184.83333333333334
87,2023-11-20,183.8,192.9,183.8,186.0,1.31,7604282.9,187.5666666666667
88,2023-11-09,186.0,187.0,183.0,183.6,-1.29,4906120.7,184.53333333333333
89,2023-11-08,187.0,189.0,184.0,186.0,-0.05,6226322.5,186.33333333333334
90,2023-11-07,184.0,186.4,181.1,186.1,1.64,7418122.3,184.53333333333333
91,2023-11-06,180.2,185.0,180.2,183.1,0.6,6252962.4,182.76666666666665
92,2023-11-05,185.0,185.9,181.3,182.0,-1.62,8943482.9,183.0666666666667
93,2023-11-02,185.0,188.0,184.9,185.0,-0.32,8057732.4,185.96666666666667
94,2023-11-01,185.5,188.0,184.1,185.6,-0.22,4149127.0,185.9
95,2023-10-31,188.0,188.0,185.1,186.0,-1.06,3276924.5,186.36666666666667
96,2023-10-30,185.3,188.6,185.0,188.0,0.8,5474897.6,187.20000000000002
97,2023-10-29,188.0,189.0,185.0,186.5,-1.32,9526854.5,186.83333333333334
98,2023-10-19,191.0,191.0,187.1,189.0,-0.53,6098789.3,189.03333333333333
99,2023-10-18,189.0,190.9,187.3,190.0,1.77,6426142.4,189.4
100,2023-10-17,185.3,191.8,185.2,186.7,0.65,5549561.0,187.9
101,2023-10-16,188.0,188.0,185.0,185.5,-0.96,10065436.7,186.16666666666666
102,2023-10-12,189.0,190.0,187.0,187.3,-1.21,11728645.3,188.1
103,2023-10-11,189.0,193.0,188.0,189.6,-0.11,8263493.3,190.20000000000002
104,2023-10-10,190.0,192.0,188.5,189.8,-0.37,7945757.9,190.1
105,2023-10-09,191.7,193.0,190.0,190.5,-1.45,12978866.0,191.16666666666666
106,2023-10-08,198.5,198.5,193.0,193.3,-0.87,15574216.2,194.9333333333333
107,2023-10-05,195.0,196.5,194.5,195.0,-0.31,10031615.9,195.33333333333334
108,2023-10-04,193.5,198.0,193.0,195.6,0.57,7743458.1,195.53333333333333
109,2023-10-03,195.0,197.0,194.5,194.5,-0.77,11087221.4,195.33333333333334
110,2023-10-02,197.0,197.5,194.2,196.0,-0.46,12309132.2,195.9
111,2023-10-01,203.0,203.0,195.1,196.9,-1.1,12843266.4,198.33333333333334
112,2023-09-27,201.0,202.5,197.4,199.1,-1.78,21383311.8,199.66666666666666
113,2023-09-26,200.2,204.5,200.2,202.7,1.35,11420701.6,202.46666666666667
114,2023-09-25,200.1,204.0,199.2,200.0,-1.57,10550469.8,201.0666666666667
115,2023-09-24,206.0,209.0,202.0,203.2,-1.26,12525286.2,204.73333333333335
116,2023-09-21,200.0,207.1,200.0,205.8,3.42,26212366.9,204.30000000000004
117,2023-09-19,196.0,199.0,194.7,199.0,1.53,6623953.0,197.5666666666667
118,2023-09-18,197.0,198.0,193.3,196.0,0.0,5059685.3,195.76666666666665
119,2023-09-17,200.0,200.2,195.1,196.0,-2.97,11795694.9,197.1
120,2023-09-13,198.0,203.1,196.2,202.0,2.9,12756056.9,200.4333333333333
121,2023-09-12,200.0,203.0,196.0,196.3,-1.85,8647812.9,198.4333333333333
122,2023-09-11,195.0,200.8,193.0,200.0,2.83,10593584.9,197.9333333333333
123,2023-09-10,195.0,196.9,193.5,194.5,0.1,8152750.4,194.96666666666667
124,2023-09-07,195.0,198.0,194.0,194.3,-0.61,10241396.9,195.4333333333333
125,2023-09-05,194.1,200.0,194.1,195.5,-1.26,9625802.9,196.53333333333333
126,2023-09-04,197.5,201.0,194.3,198.0,0.41,14276618.1,197.76666666666665
127,2023-09-03,206.0,206.0,197.2,197.2,-2.57,16841385.0,200.13333333333333
128,2023-08-30,200.9,204.8,200.9,202.4,-1.27,7194883.4,202.70000000000002
129,2023-08-29,200.3,206.0,200.3,205.0,0.99,10692213.6,203.76666666666665
130,2023-08-28,200.1,204.9,200.1,203.0,0.5,9244026.8,202.66666666666666
131,2023-08-27,203.0,205.0,200.1,202.0,-0.64,12523573.4,202.36666666666667
132,2023-08-24,210.0,210.0,203.0,203.3,-2.31,10738878.0,205.4333333333333
133,2023-08-23,204.0,211.0,203.0,208.1,1.61,16646431.8,207.36666666666667
134,2023-08-22,200.0,205.0,200.0,204.8,1.24,7571244.8,203.26666666666665
135,2023-08-21,200.1,205.0,200.1,202.3,-0.2,10704320.3,202.4666666666667
136,2023-08-20,208.1,208.1,202.1,202.7,-1.07,9226787.5,204.29999999999998
137,2023-08-17,205.0,208.0,204.2,204.9,-0.49,12589003.8,205.70000000000002
138,2023-08-16,208.9,208.9,203.3,205.9,-0.29,12974228.5,206.03333333333333
139,2023-08-15,212.0,212.0,205.8,206.5,-1.2,10998301.2,208.1
140,2023-08-14,210.6,212.0,208.1,209.0,-1.18,11330851.3,209.70000000000002
141,2023-08-13,210.0,214.0,207.1,211.5,0.71,14652379.0,210.86666666666667
142,2023-08-10,210.0,215.0,207.0,210.0,0.0,16667494.2,210.66666666666666
143,2023-08-09,205.8,211.0,203.3,210.0,2.04,15098242.6,208.1
144,2023-08-08,210.0,210.0,205.1,205.8,-1.53,12862881.3,206.9666666666667
145,2023-08-07,208.5,211.8,207.5,209.0,-0.48,13738169.8,209.4333333333333
146,2023-08-06,213.0,215.0,209.3,210.0,-1.41,15379225.1,211.4333333333333
147,2023-08-03,212.0,215.9,212.0,213.0,-0.47,17345269.3,213.63333333333333
148,2023-08-02,212.5,216.0,212.0,214.0,0.0,16852486.7,214.0
149,2023-08-01,215.0,219.0,213.0,214.0,-0.93,21968941.8,215.33333333333334
150,2023-07-31,215.0,219.0,215.0,216.0,0.42,16701594.8,216.66666666666666
151,2023-07-30,214.0,220.0,214.0,215.1,-0.88,20266537.0,216.36666666666667
152,2023-07-27,218.4,222.9,216.9,217.0,-1.32,19250721.2,218.9333333333333
153,2023-07-26,225.0,225.0,218.6,219.9,-0.54,19987159.6,221.16666666666666
154,2023-07-25,223.8,227.0,221.0,221.1,-2.17,23754132.3,223.03333333333333
155,2023-07-24,230.0,232.0,225.0,226.0,-1.99,35004274.9,227.66666666666666
156,2023-07-23,228.4,236.0,227.0,230.6,2.95,73009184.1,231.20000000000002
157,2023-07-20,226.0,228.8,224.0,224.0,-1.15,27219386.0,225.6
158,2023-07-19,224.1,230.0,224.1,226.6,-0.74,21764969.6,226.9
159,2023-07-18,226.0,234.0,226.0,228.3,0.09,47260242.5,229.4333333333333
160,2023-07-17,225.0,230.0,223.5,228.1,1.83,45696295.3,227.20000000000002
161,2023-07-16,218.0,228.0,215.9,224.0,3.23,38640019.8,222.63333333333333
162,2023-07-13,218.0,222.9,216.5,217.0,-0.46,26605585.0,218.79999999999998
163,2023-07-12,214.0,220.0,213.0,218.0,0.93,20289582.2,217.0
164,2023-07-11,217.6,219.0,215.0,216.0,-0.78,19089201.3,216.66666666666666
165,2023-07-10,219.0,223.0,216.4,217.7,-1.05,24058587.2,219.0333333333333
166,2023-07-09,210.0,221.8,210.0,220.0,3.24,31017679.4,217.26666666666665
167,2023-07-06,218.2,218.2,211.6,213.1,-0.42,26486942.5,214.29999999999998
168,2023-07-05,220.0,220.1,213.1,214.0,-2.28,29955928.0,215.73333333333335
169,2023-07-04,220.0,223.8,217.4,219.0,-0.27,26809126.1,220.0666666666667
170,2023-07-03,221.3,225.0,219.0,219.6,-1.96,38184714.8,221.20000000000002
171,2023-07-02,232.0,233.5,221.2,224.0,-2.61,40578247.2,226.23333333333335
172,2023-06-28,234.0,242.7,228.7,230.0,-2.17,73108163.1,233.79999999999998
173,2023-06-27,239.7,239.7,232.2,235.1,0.04,69621658.6,235.66666666666666
174,2023-06-26,240.5,244.0,233.3,235.0,-0.42,59050538.8,237.4333333333333
175,2023-06-25,237.0,238.5,232.0,236.0,0.98,109742982.8,235.5
176,2023-06-22,239.0,240.0,232.6,233.7,-0.34,48046109.2,235.4333333333333
