,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,721.0,734.0,721.0,728.9,-0.69,11253281.3,727.9666666666667
1,2024-03-28,723.3,734.0,721.0,734.0,0.27,12299925.5,729.6666666666666
2,2024-03-27,735.0,747.0,728.0,732.0,-0.49,18614736.1,735.6666666666666
3,2024-03-26,733.0,737.0,727.1,735.6,0.35,11560775.3,733.2333333333332
4,2024-03-25,726.0,734.9,725.5,733.0,-0.81,9250384.8,731.1333333333333
5,2024-03-21,747.0,752.0,735.1,739.0,-1.06,14521601.5,742.0333333333333
6,2024-03-20,750.7,763.0,745.0,746.9,-0.51,10710507.0,751.6333333333333
7,2024-03-19,750.0,771.0,750.0,750.7,-1.09,11330999.0,757.2333333333332
8,2024-03-18,753.2,768.0,753.2,759.0,-0.65,15352653.9,760.0666666666666
9,2024-03-17,762.1,776.0,761.1,764.0,-1.55,5231178.5,767.0333333333333
10,2024-03-14,772.4,780.2,770.0,776.0,-1.52,33450763.4,775.4
11,2024-03-13,792.5,792.5,770.0,788.0,1.42,44314991.3,783.5
12,2024-03-12,775.2,780.0,753.0,777.0,2.24,22871905.7,770.0
13,2024-03-10,758.0,760.0,750.4,760.0,0.4,10413953.3,756.8000000000001
14,2024-03-07,753.0,762.0,748.0,757.0,0.41,15329875.2,755.6666666666666
15,2024-03-06,733.0,764.0,733.0,753.9,1.47,34028188.5,750.3000000000001
16,2024-03-05,780.0,780.0,742.3,743.0,-5.95,24850071.7,755.1
17,2024-03-04,735.0,793.0,735.0,790.0,9.57,1994068.5,772.6666666666666
18,2024-03-03,746.0,746.0,715.1,721.0,-1.5,12616440.9,727.3666666666667
19,2024-02-29,736.1,748.8,732.0,732.0,-2.14,30885081.1,737.6
20,2024-02-28,750.0,753.0,743.0,748.0,0.27,12190426.3,748.0
21,2024-02-27,741.0,757.0,741.0,746.0,0.66,12639950.0,748.0
22,2024-02-26,750.0,753.0,738.0,741.1,-1.19,30197366.4,744.0333333333333
23,2024-02-25,767.0,767.0,737.0,750.0,-0.41,57532237.6,751.3333333333334
24,2024-02-22,770.0,770.0,747.0,753.1,-0.63,35828730.1,756.6999999999999
25,2024-02-21,770.0,776.0,756.0,757.9,-0.67,14648485.5,763.3000000000001
26,2024-02-20,755.0,771.1,746.0,763.0,0.63,25759864.1,760.0333333333333
27,2024-02-18,760.2,775.0,755.2,758.2,-1.83,24891413.5,762.8000000000001
28,2024-02-15,775.2,780.0,772.0,772.3,-2.24,32375029.0,774.7666666666668
29,2024-02-14,790.0,792.0,766.0,790.0,1.8,19912655.8,782.6666666666666
30,2024-02-13,782.1,800.0,765.0,776.0,-2.51,58444156.1,780.3333333333334
31,2024-02-12,792.0,799.9,786.0,796.0,0.13,39906177.9,793.9666666666667
32,2024-02-11,800.0,816.0,790.1,795.0,0.51,54841258.7,800.3666666666667
33,2024-02-08,817.0,817.0,790.0,791.0,-1.25,29894254.4,799.3333333333334
34,2024-02-07,818.0,825.0,801.0,801.0,-2.08,35177058.3,809.0
35,2024-02-06,787.0,852.0,780.1,818.0,4.47,87461214.6,816.6999999999999
36,2024-02-05,777.0,791.0,777.0,783.0,0.77,24199950.3,783.6666666666666
37,2024-02-04,777.0,795.5,777.0,777.0,-1.89,52612951.1,783.1666666666666
38,2024-02-01,832.0,832.0,790.0,792.0,-2.95,144425554.0,804.6666666666666
39,2024-01-31,826.0,849.0,800.2,816.1,-1.2,198948160.5,821.7666666666668
40,2024-01-30,788.3,845.0,788.0,826.0,6.87,207844278.4,819.6666666666666
41,2024-01-29,759.5,785.0,755.0,772.9,2.78,99035460.4,770.9666666666667
42,2024-01-28,722.5,754.0,722.0,752.0,3.71,77260577.1,742.6666666666666
43,2024-01-25,721.2,739.5,720.1,725.1,-0.12,53266918.5,728.2333333333332
44,2024-01-24,739.0,740.0,725.3,726.0,-1.76,57135109.8,730.4333333333334
45,2024-01-23,739.0,749.0,735.0,739.0,0.0,62389139.9,741.0
46,2024-01-22,740.0,750.0,730.0,739.0,-1.06,132970555.1,739.6666666666666
47,2024-01-21,720.0,748.0,720.0,746.9,4.18,201348894.3,738.3000000000001
48,2024-01-18,695.0,723.0,680.0,716.1,2.89,85481540.1,706.3666666666667
49,2024-01-17,698.0,732.8,692.0,696.0,0.88,95452254.1,706.9333333333334
50,2024-01-16,685.0,691.9,672.0,689.9,2.66,40203791.5,684.6
51,2024-01-14,674.6,682.8,668.0,672.0,1.6,35226002.6,674.2666666666667
52,2024-01-11,680.9,680.9,661.2,661.4,-1.14,17913465.3,667.8333333333334
53,2024-01-10,681.0,695.0,666.0,669.0,-1.39,36045103.1,676.6666666666666
54,2024-01-09,683.0,695.0,677.2,678.4,-0.66,37350878.8,683.5333333333333
55,2024-01-08,667.0,690.0,655.0,682.9,4.42,53330870.8,675.9666666666667
56,2024-01-07,660.0,666.0,648.0,654.0,0.15,33371499.6,656.0
57,2024-01-04,667.0,680.0,652.1,653.0,-1.51,57205988.2,661.6999999999999
58,2024-01-03,660.2,678.3,654.1,663.0,0.45,35180932.9,665.1333333333333
59,2024-01-02,682.0,682.0,660.0,660.0,-2.22,26464369.8,667.3333333333334
60,2024-01-01,680.0,731.3,670.0,675.0,-1.62,32210543.0,692.1
61,2023-12-28,682.0,701.8,682.0,686.1,-1.0,27107951.2,689.9666666666667
62,2023-12-27,715.0,715.0,691.0,693.0,-1.42,29219649.8,699.6666666666666
