,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,850.0,850.0,840.0,840.1,-0.88,17448203.8,843.3666666666667
1,2024-03-28,849.9,850.0,840.0,847.6,0.31,13400392.7,845.8666666666667
2,2024-03-27,848.0,858.0,842.0,845.0,-0.33,9693058.8,848.3333333333334
3,2024-03-26,847.0,854.0,840.0,847.8,0.12,9885966.2,847.2666666666668
4,2024-03-25,854.0,860.0,846.8,846.8,-0.84,7918186.6,851.1999999999999
5,2024-03-21,866.0,867.0,849.9,854.0,-0.49,11912600.8,856.9666666666667
6,2024-03-20,860.0,875.0,858.2,858.2,-0.79,14415105.7,863.8000000000001
7,2024-03-19,858.0,875.0,858.0,865.0,-0.46,11305608.1,866.0
8,2024-03-18,855.0,875.0,848.0,869.0,1.16,29485119.5,864.0
9,2024-03-17,865.0,874.0,855.1,859.0,-0.69,6100994.7,862.6999999999999
10,2024-03-14,860.0,872.9,855.0,865.0,-0.12,13561766.9,864.3000000000001
11,2024-03-13,885.3,885.3,856.0,866.0,-0.23,16165487.5,869.1
12,2024-03-12,877.0,877.0,859.0,868.0,0.94,21384289.7,868.0
13,2024-03-10,869.9,872.0,856.0,859.9,0.57,9067195.5,862.6333333333333
14,2024-03-07,859.0,865.0,845.0,855.0,1.18,11128791.6,855.0
15,2024-03-06,856.8,856.8,837.1,845.0,0.6,12584435.8,846.3000000000001
16,2024-03-05,880.0,880.0,840.0,840.0,-4.55,25327249.8,853.3333333333334
17,2024-03-04,847.6,881.2,847.6,880.0,5.9,1231228.0,869.6
18,2024-03-03,840.0,846.0,825.2,831.0,-0.6,19219307.6,834.0666666666666
19,2024-02-29,850.0,850.0,835.0,836.0,-0.83,16680386.4,840.3333333333334
20,2024-02-28,844.0,850.0,837.0,843.0,-0.11,12682471.2,843.3333333333334
21,2024-02-27,854.9,854.9,838.0,843.9,-0.13,7221422.4,845.6
22,2024-02-26,835.0,849.0,834.0,845.0,1.31,12650909.6,842.6666666666666
23,2024-02-25,847.0,850.0,834.1,834.1,-1.52,23811530.1,839.4
24,2024-02-22,872.1,872.1,846.0,847.0,-0.94,23654372.9,855.0333333333333
25,2024-02-21,869.0,869.0,848.0,855.0,-0.47,15296541.5,857.3333333333334
26,2024-02-20,860.0,874.0,855.0,859.0,-0.12,15016892.4,862.6666666666666
27,2024-02-18,860.0,870.0,853.0,860.0,-0.81,22388381.7,861.0
28,2024-02-15,885.0,885.0,860.0,867.0,-1.14,19443517.2,870.6666666666666
29,2024-02-14,868.0,941.6,860.0,877.0,1.39,21671085.5,892.8666666666667
30,2024-02-13,880.0,880.0,865.0,865.0,-1.7,44982847.4,870.0
31,2024-02-12,878.0,890.0,864.0,880.0,-0.11,14647655.2,878.0
32,2024-02-11,898.9,898.9,880.0,881.0,-0.68,17690775.2,886.6333333333333
33,2024-02-08,907.0,907.0,877.0,887.0,-0.34,16694219.7,890.3333333333334
34,2024-02-07,903.0,903.0,888.0,890.0,-1.44,24913323.0,893.6666666666666
35,2024-02-06,932.5,932.5,880.0,903.0,-5.1,73593735.2,905.1666666666666
36,2024-02-05,870.0,951.5,865.1,951.5,10.0,26914054.6,922.6999999999999
37,2024-02-04,869.5,871.0,851.7,865.0,-0.46,14167838.0,862.5666666666666
38,2024-02-01,877.8,889.0,865.0,869.0,-1.03,9533120.5,874.3333333333334
39,2024-01-31,900.0,919.3,866.0,878.0,-0.65,19637534.7,887.7666666666668
40,2024-01-30,895.0,912.9,880.0,883.7,0.65,31062828.8,892.2000000000002
41,2024-01-29,875.0,910.0,873.9,878.0,0.34,19437362.3,887.3000000000001
42,2024-01-28,882.0,882.0,864.6,875.0,0.82,21740095.0,873.8666666666667
43,2024-01-25,870.0,876.0,860.1,867.9,-0.24,20013153.3,868.0
44,2024-01-24,875.9,900.0,869.0,870.0,0.13,16772332.6,879.6666666666666
45,2024-01-23,867.0,874.0,860.0,868.9,0.22,14698672.3,867.6333333333333
46,2024-01-22,875.0,880.0,865.3,867.0,-0.69,16958449.6,870.7666666666668
47,2024-01-21,885.1,898.6,870.0,873.0,-1.24,37184284.9,880.5333333333333
48,2024-01-18,882.0,907.8,882.0,884.0,-1.78,32579202.2,891.2666666666668
49,2024-01-17,910.0,916.0,887.3,900.0,0.22,60799164.9,901.1
50,2024-01-16,915.0,915.0,890.0,898.0,-0.32,44836679.1,901.0
51,2024-01-14,905.0,910.8,900.0,900.9,0.88,18636430.6,903.9
52,2024-01-11,918.0,918.0,890.1,893.0,-2.08,27641912.6,900.3666666666667
53,2024-01-10,905.0,915.0,895.0,912.0,1.9,52576053.0,907.3333333333334
54,2024-01-09,900.0,908.0,893.0,895.0,1.24,68781398.2,898.6666666666666
55,2024-01-08,875.0,891.0,865.0,884.0,1.26,34687691.5,880.0
56,2024-01-07,900.0,903.0,870.0,873.0,-3.32,56599053.2,882.0
57,2024-01-04,936.0,936.0,903.0,903.0,-5.45,55379722.8,914.0
58,2024-01-03,943.0,958.0,940.0,955.0,1.6,81601306.0,951.0
59,2024-01-02,945.0,945.0,937.0,940.0,-0.21,41951653.5,940.6666666666666
60,2024-01-01,955.0,955.0,935.0,942.0,0.11,52715364.2,944.0
61,2023-12-28,958.0,960.0,935.0,941.0,-0.11,26329199.1,945.3333333333334
62,2023-12-27,965.0,969.0,931.0,942.0,-1.36,51923615.7,947.3333333333334
63,2023-12-24,958.9,1000.0,953.0,955.0,1.58,132003598.2,969.3333333333334
64,2023-12-21,960.0,977.0,934.0,940.1,-0.94,72748336.2,950.3666666666667
65,2023-12-20,957.0,960.0,938.0,949.0,0.32,74308699.7,949.0
66,2023-12-19,959.0,959.0,930.0,946.0,0.32,40127770.4,945.0
67,2023-12-18,926.5,955.0,916.0,943.0,2.61,83472490.0,938.0
68,2023-12-17,919.0,921.0,890.0,919.0,2.0,39387335.2,910.0
69,2023-12-14,896.0,908.0,893.5,901.0,0.45,13825548.1,900.8333333333334
70,2023-12-13,905.0,916.0,895.0,897.0,-0.66,33647876.1,902.6666666666666
71,2023-12-12,880.0,905.0,870.0,903.0,2.61,39404489.0,892.6666666666666
72,2023-12-11,900.0,900.0,866.0,880.0,-1.11,27299617.0,882.0
73,2023-12-10,872.1,890.0,872.1,889.9,4.08,2553217.3,884.0
74,2023-12-07,855.0,860.0,850.0,855.0,0.35,7850643.9,855.0
75,2023-12-06,851.0,855.0,848.0,852.0,-0.12,16085447.3,851.6666666666666
76,2023-12-05,856.0,870.0,852.0,853.0,-0.58,6342207.7,858.3333333333334
77,2023-12-04,875.0,875.0,855.0,858.0,-0.23,6173118.5,862.6666666666666
78,2023-12-03,879.0,879.0,857.1,860.0,-0.58,4611374.6,865.3666666666667
79,2023-11-30,865.0,870.0,858.1,865.0,0.12,7958458.0,864.3666666666667
80,2023-11-29,865.0,870.0,862.1,864.0,0.12,9328340.4,865.3666666666667
81,2023-11-28,886.8,886.8,862.1,863.0,-0.8,6720881.6,870.6333333333333
82,2023-11-27,868.0,885.0,863.0,870.0,0.23,10041216.7,872.6666666666666
83,2023-11-26,855.0,870.0,851.1,868.0,1.76,11875484.3,863.0333333333333
84,2023-11-23,849.0,855.0,838.3,853.0,0.38,5353257.9,848.7666666666668
85,2023-11-22,850.0,850.8,840.0,849.8,1.17,3991539.1,846.8666666666667
86,2023-11-21,857.0,857.0,840.0,840.0,-1.06,7679886.3,845.6666666666666
87,2023-11-20,864.9,864.9,841.0,849.0,0.07,5888744.7,851.6333333333333
88,2023-11-09,850.9,850.9,829.2,848.4,-0.29,15236425.1,842.8333333333334
89,2023-11-08,852.0,853.5,845.0,850.9,-0.12,3401174.1,849.8000000000001
90,2023-11-07,850.0,855.0,845.2,851.9,0.94,5231521.0,850.6999999999999
91,2023-11-06,838.0,850.0,838.0,844.0,0.72,7120869.9,844.0
92,2023-11-05,840.1,842.0,835.9,838.0,-0.48,10588340.4,838.6333333333333
93,2023-11-02,850.0,850.0,840.0,842.0,-0.71,3611449.1,844.0
94,2023-11-01,847.5,854.0,840.0,848.0,0.07,5191570.1,847.3333333333334
95,2023-10-31,864.5,864.5,845.0,847.4,-0.04,3701158.0,852.3000000000001
96,2023-10-30,843.0,850.0,839.1,847.7,0.55,5927669.3,845.6
97,2023-10-29,869.0,869.0,841.0,843.1,-1.14,5359996.0,851.0333333333333
98,2023-10-19,850.0,855.0,832.0,852.8,0.73,13385132.6,846.6
99,2023-10-18,842.9,847.0,840.0,846.6,1.74,4759331.1,844.5333333333333
100,2023-10-17,830.0,843.5,830.0,832.1,0.54,7246357.0,835.1999999999999
101,2023-10-16,833.0,835.0,826.0,827.6,-0.41,11419404.3,829.5333333333333
102,2023-10-12,845.0,845.0,830.1,831.0,0.0,13688925.6,835.3666666666667
103,2023-10-11,825.1,839.0,825.1,831.0,0.24,8849010.4,831.6999999999999
104,2023-10-10,840.0,849.7,827.0,829.0,-0.6,9064703.3,835.2333333333332
105,2023-10-09,840.0,844.0,831.2,834.0,-0.83,9027368.6,836.4
106,2023-10-08,866.0,866.0,835.1,841.0,-1.06,9050558.3,847.3666666666667
107,2023-10-05,866.9,866.9,850.0,850.0,-0.2,7527010.1,855.6333333333333
108,2023-10-04,863.9,863.9,849.2,851.7,0.32,6963763.7,854.9333333333334
109,2023-10-03,850.0,866.4,848.0,849.0,-0.81,6411400.4,854.4666666666667
110,2023-10-02,868.9,868.9,849.0,855.9,0.46,9525977.2,857.9333333333334
111,2023-10-01,865.0,865.0,850.1,852.0,-1.5,6558214.4,855.6999999999999
112,2023-09-27,860.1,877.3,860.1,865.0,-0.92,9825445.1,867.4666666666667
113,2023-09-26,886.3,886.3,870.0,873.0,0.46,9639957.6,876.4333333333334
114,2023-09-25,871.0,879.0,865.0,869.0,-0.17,3706101.3,871.0
115,2023-09-24,868.0,880.0,867.1,870.5,-0.74,15803101.2,872.5333333333333
116,2023-09-21,878.0,887.0,865.0,877.0,1.86,19165739.6,876.3333333333334
117,2023-09-19,861.0,867.0,855.0,861.0,0.0,3403557.5,861.0
118,2023-09-18,869.0,869.0,850.0,861.0,0.48,3893563.5,860.0
119,2023-09-17,865.0,880.0,850.0,856.9,-1.51,11123958.3,862.3000000000001
120,2023-09-13,865.0,871.0,855.0,870.0,2.35,15240212.6,865.3333333333334
121,2023-09-12,861.0,861.0,845.0,850.0,0.59,7700967.1,852.0
122,2023-09-11,840.0,854.0,840.0,845.0,0.6,31992157.4,846.3333333333334
123,2023-09-10,842.0,854.7,835.0,840.0,0.0,13200480.7,843.2333333333332
124,2023-09-07,860.0,865.0,830.0,840.0,-2.44,29376107.9,845.0
125,2023-09-05,860.0,865.0,855.0,861.0,0.23,5685677.3,860.3333333333334
126,2023-09-04,860.0,860.0,846.5,859.0,0.47,10170718.7,855.1666666666666
127,2023-09-03,850.0,868.0,850.0,855.0,-1.16,10269681.3,857.6666666666666
128,2023-08-30,870.0,870.0,850.0,865.0,-0.56,28101637.4,861.6666666666666
129,2023-08-29,874.9,874.9,854.9,869.9,-0.01,30179210.7,866.5666666666666
130,2023-08-28,874.9,875.0,865.0,870.0,0.12,8907516.0,870.0
131,2023-08-27,890.0,890.0,865.0,869.0,-0.69,14656709.3,874.6666666666666
132,2023-08-24,875.0,889.0,866.0,875.0,-0.35,11630740.4,876.6666666666666
133,2023-08-23,879.5,890.0,877.0,878.1,0.58,9468265.1,881.6999999999999
134,2023-08-22,875.0,875.0,860.0,873.0,1.28,9431680.5,869.3333333333334
135,2023-08-21,858.0,872.5,852.2,862.0,0.35,13582293.1,862.2333333333332
136,2023-08-20,875.0,878.5,856.0,859.0,-1.6,12578131.6,864.5
137,2023-08-17,873.0,880.0,867.3,873.0,-0.1,16234365.1,873.4333333333334
138,2023-08-16,877.1,881.1,860.1,873.9,-1.25,43929494.8,871.6999999999999
139,2023-08-15,878.0,895.0,878.0,885.0,-0.56,18770110.1,886.0
140,2023-08-14,901.0,904.0,889.0,890.0,-0.69,13182546.3,894.3333333333334
141,2023-08-13,876.2,909.0,876.2,896.2,0.25,23825026.7,893.8000000000001
142,2023-08-10,867.3,903.0,867.3,894.0,1.02,20944874.8,888.1
143,2023-08-09,855.0,895.0,845.1,885.0,3.75,17951166.3,875.0333333333333
144,2023-08-08,870.0,875.0,853.0,853.0,-1.84,19683904.2,860.3333333333334
145,2023-08-07,875.0,879.0,865.0,869.0,-0.11,15708869.4,871.0
146,2023-08-06,894.0,894.0,860.0,870.0,-0.9,23511788.1,874.6666666666666
147,2023-08-03,896.4,896.4,874.0,877.9,-0.11,12250719.9,882.7666666666668
148,2023-08-02,882.0,888.0,875.0,878.9,0.22,12895933.4,880.6333333333333
149,2023-08-01,890.0,903.9,870.0,877.0,-1.07,20223918.2,883.6333333333333
150,2023-07-31,876.0,900.0,876.0,886.5,0.17,13709115.4,887.5
151,2023-07-30,900.1,909.0,880.2,885.0,-1.67,30053261.5,891.4
152,2023-07-27,920.0,920.0,900.0,900.0,-1.42,30105632.1,906.6666666666666
153,2023-07-26,930.7,930.7,910.1,913.0,0.05,20948906.1,917.9333333333334
154,2023-07-25,950.6,950.6,912.5,912.5,-2.09,44998315.7,925.1999999999999
155,2023-07-24,926.0,939.0,910.0,932.0,1.08,102002002.2,927.0
156,2023-07-23,913.0,930.0,906.0,922.0,1.1,39221823.6,919.3333333333334
157,2023-07-20,919.0,924.0,910.0,912.0,-0.33,31517039.3,915.3333333333334
158,2023-07-19,929.9,929.9,912.0,915.0,-0.87,29436994.6,918.9666666666667
159,2023-07-18,930.0,930.0,916.5,923.0,0.54,38161633.8,923.1666666666666
160,2023-07-17,916.9,920.0,900.1,918.0,1.22,33141391.5,912.6999999999999
161,2023-07-16,914.0,914.0,903.7,906.9,0.51,22498317.9,908.1999999999999
162,2023-07-13,919.0,924.9,900.0,902.3,-0.85,118448514.5,909.0666666666666
163,2023-07-12,915.0,915.0,900.0,910.0,1.34,85480942.9,908.3333333333334
164,2023-07-11,905.0,916.0,891.2,898.0,-0.22,18019774.5,901.7333333333332
165,2023-07-10,916.9,916.9,890.0,900.0,0.11,36071247.6,902.3000000000001
166,2023-07-09,870.0,900.0,870.0,899.0,3.33,35159418.9,889.6666666666666
167,2023-07-06,880.0,886.4,861.5,870.0,-0.34,26008280.2,872.6333333333333
168,2023-07-05,909.8,909.8,870.0,873.0,-2.13,32249379.2,884.2666666666668
169,2023-07-04,885.0,893.9,875.0,892.0,1.71,28810037.9,886.9666666666667
170,2023-07-03,889.0,895.0,871.7,877.0,-1.35,58471852.5,881.2333333333332
171,2023-07-02,930.0,930.0,887.0,889.0,-2.84,68905468.0,902.0
172,2023-06-28,950.0,950.0,910.0,915.0,-3.89,98797320.7,925.0
173,2023-06-27,930.0,985.0,910.0,952.0,3.48,91335008.6,949.0
174,2023-06-26,926.5,955.0,910.0,920.0,0.11,70033271.7,928.3333333333334
175,2023-06-25,890.0,952.0,881.0,919.0,4.67,184186089.8,917.3333333333334
176,2023-06-22,870.0,892.0,870.0,878.0,0.92,56778006.6,880.0
177,2023-06-21,872.0,890.0,862.0,870.0,-0.23,85374640.0,874.0
178,2023-06-20,900.0,910.0,870.0,872.0,-2.57,102060674.1,884.0
179,2023-06-19,875.0,900.0,867.0,895.0,4.28,181334562.4,887.3333333333334
180,2023-06-18,827.0,861.9,809.0,858.3,5.83,147489523.1,843.0666666666666
