,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,196.0,196.0,190.0,193.9,0.52,6551277.4,193.29999999999998
1,2024-03-28,188.2,193.0,188.2,192.9,0.78,5751975.7,191.36666666666667
2,2024-03-27,192.0,192.0,189.4,191.4,-0.83,14222194.9,190.9333333333333
3,2024-03-26,191.5,194.9,191.3,193.0,0.0,9594504.6,193.0666666666667
4,2024-03-25,196.0,196.0,191.5,193.0,-1.48,6422666.3,193.5
5,2024-03-21,196.0,196.7,193.6,195.9,0.0,9272510.4,195.39999999999998
6,2024-03-20,200.9,200.9,195.1,195.9,-0.56,8905748.5,197.29999999999998
7,2024-03-19,198.0,200.0,195.1,197.0,-0.96,5904872.3,197.36666666666667
8,2024-03-18,198.0,199.0,194.1,198.9,0.45,13247244.7,197.33333333333334
9,2024-03-17,199.0,199.9,196.0,198.0,-0.05,5207874.1,197.96666666666667
10,2024-03-14,200.0,201.0,198.0,198.1,-1.34,7475359.2,199.03333333333333
11,2024-03-13,199.0,204.7,198.0,200.8,-0.05,12677873.4,201.16666666666666
12,2024-03-12,195.0,200.9,195.0,200.9,3.03,9184797.3,198.9333333333333
13,2024-03-10,196.6,199.9,193.1,195.0,1.14,8375582.1,196.0
14,2024-03-07,193.0,193.2,190.2,192.8,0.42,8492988.8,192.0666666666667
15,2024-03-06,192.4,194.0,186.3,192.0,-0.21,13851616.5,190.76666666666665
16,2024-03-05,199.0,199.0,189.1,192.4,-1.79,10971305.7,193.5
17,2024-03-04,192.6,196.0,190.0,195.9,3.71,878832.0,193.96666666666667
18,2024-03-03,190.1,190.1,186.0,188.9,-0.58,7930166.9,188.33333333333334
19,2024-02-29,189.1,192.0,189.0,190.0,0.0,7401387.8,190.33333333333334
20,2024-02-28,192.0,193.6,189.7,190.0,-1.35,8405443.3,191.1
21,2024-02-27,193.1,194.0,191.7,192.6,-0.26,6823791.2,192.76666666666665
22,2024-02-26,193.0,196.0,191.1,193.1,-0.26,4896403.2,193.4
23,2024-02-25,197.0,199.0,193.6,193.6,-1.73,6730735.9,195.4
24,2024-02-22,194.1,197.9,194.1,197.0,-0.4,12166221.1,196.33333333333334
25,2024-02-21,201.0,201.0,196.6,197.8,-0.55,5959388.4,198.4666666666667
26,2024-02-20,199.0,200.0,198.0,198.9,-0.55,7286555.0,198.96666666666667
27,2024-02-18,200.0,201.9,199.0,200.0,-0.99,5971156.0,200.29999999999998
28,2024-02-15,200.0,202.0,199.4,202.0,0.25,9705065.0,201.13333333333333
29,2024-02-14,200.0,202.1,199.6,201.5,-0.3,5590265.1,201.0666666666667
30,2024-02-13,200.0,202.3,200.0,202.1,-0.2,8965786.2,201.46666666666667
31,2024-02-12,203.0,203.8,201.1,202.5,-1.07,9540026.9,202.46666666666667
32,2024-02-11,208.0,208.0,202.1,204.7,0.1,10502679.7,204.9333333333333
33,2024-02-08,201.0,205.0,201.0,204.5,0.74,7074621.9,203.5
34,2024-02-07,208.0,208.0,200.0,203.0,-0.49,8434903.5,203.66666666666666
35,2024-02-06,199.1,205.0,199.1,204.0,1.49,11536198.4,202.70000000000002
36,2024-02-05,200.0,203.0,198.0,201.0,-0.15,7975039.2,200.66666666666666
37,2024-02-04,201.0,203.9,199.0,201.3,0.0,12603557.6,201.4
38,2024-02-01,205.0,205.0,201.0,201.3,-1.8,8078706.9,202.4333333333333
39,2024-01-31,203.5,207.8,203.5,205.0,-1.16,20808204.2,205.4333333333333
40,2024-01-30,206.0,209.0,204.0,207.4,0.0,23070000.2,206.79999999999998
41,2024-01-29,210.0,210.0,206.7,207.4,-0.72,17834356.2,208.03333333333333
42,2024-01-28,209.4,212.0,208.0,208.9,-0.24,12791397.1,209.63333333333333
43,2024-01-25,209.9,209.9,206.0,209.4,0.72,11230046.2,208.4333333333333
44,2024-01-24,206.0,210.1,205.0,207.9,0.05,8687198.3,207.66666666666666
45,2024-01-23,209.0,212.0,205.1,207.8,-0.67,14967775.1,208.30000000000004
46,2024-01-22,212.0,214.2,208.9,209.2,-1.78,20116455.1,210.76666666666665
47,2024-01-21,212.4,221.0,211.0,213.0,0.28,29203455.7,215.0
48,2024-01-18,207.1,214.9,207.1,212.4,0.71,19176146.1,211.46666666666667
49,2024-01-17,206.0,219.1,206.0,210.9,0.48,45064760.0,212.0
50,2024-01-16,206.0,211.1,204.0,209.9,3.4,33674696.6,208.33333333333334
51,2024-01-14,204.0,204.0,202.0,203.0,-0.34,9653261.9,203.0
52,2024-01-11,202.0,205.8,202.0,203.7,-0.88,12286078.0,203.83333333333334
53,2024-01-10,202.0,206.0,201.0,205.5,2.14,25944153.4,204.16666666666666
54,2024-01-09,201.0,203.8,197.1,201.2,0.65,18291030.2,200.69999999999996
55,2024-01-08,193.1,201.9,193.1,199.9,2.41,13448584.9,198.29999999999998
56,2024-01-07,200.0,200.0,194.2,195.2,-1.41,14268146.0,196.46666666666667
57,2024-01-04,201.0,203.0,198.0,198.0,-1.49,8809552.3,199.66666666666666
58,2024-01-03,198.1,201.0,198.0,201.0,0.1,7317730.2,200.0
59,2024-01-02,201.0,201.0,198.2,200.8,-0.35,11459164.2,200.0
60,2024-01-01,200.0,203.0,199.1,201.5,-0.25,12093850.3,201.20000000000002
61,2023-12-28,200.0,203.0,199.0,202.0,0.5,14412321.5,201.33333333333334
62,2023-12-27,206.5,206.5,200.1,201.0,-1.42,17708535.2,202.53333333333333
63,2023-12-24,210.1,210.1,203.1,203.9,-1.92,25344296.9,205.70000000000002
64,2023-12-21,215.0,215.0,205.0,207.9,-1.52,21034305.6,209.29999999999998
65,2023-12-20,207.0,211.5,205.6,211.1,2.43,49149238.7,209.4
66,2023-12-19,198.0,207.0,196.0,206.1,3.1,49889129.2,203.03333333333333
67,2023-12-18,193.0,201.0,193.0,199.9,3.04,40514752.0,197.96666666666667
68,2023-12-17,194.0,195.9,189.0,194.0,-0.51,25650955.0,192.96666666666667
69,2023-12-14,194.2,198.8,194.0,195.0,-1.42,9258749.4,195.9333333333333
70,2023-12-13,194.5,200.0,194.1,197.8,-0.1,17808483.9,197.30000000000004
71,2023-12-12,197.0,199.0,194.9,198.0,0.51,15932292.2,197.29999999999998
72,2023-12-11,200.0,200.0,192.0,197.0,-1.45,35693098.1,196.33333333333334
73,2023-12-10,188.0,201.1,188.0,199.9,6.33,688888.9,196.33333333333334
74,2023-12-07,185.0,188.0,185.0,188.0,0.27,4295748.6,187.0
75,2023-12-06,187.0,187.5,185.0,187.5,0.32,4527821.0,186.66666666666666
76,2023-12-05,188.0,189.0,185.9,186.9,-1.63,5048292.5,187.26666666666665
77,2023-12-04,191.5,192.0,188.2,190.0,-0.52,3475323.2,190.0666666666667
78,2023-12-03,189.1,191.0,187.5,191.0,-0.98,5148494.0,189.83333333333334
79,2023-11-30,189.2,193.0,188.9,192.9,0.47,5996665.8,191.6
80,2023-11-29,189.0,193.0,189.0,192.0,0.0,6251629.5,191.33333333333334
81,2023-11-28,190.5,197.8,190.0,192.0,-1.03,12386073.2,193.26666666666665
82,2023-11-27,193.5,195.0,189.8,194.0,-1.02,10503467.6,192.9333333333333
83,2023-11-26,190.0,196.0,190.0,196.0,1.34,7800961.5,194.0
84,2023-11-23,189.9,194.4,187.0,193.4,1.84,6276035.7,191.6
85,2023-11-22,190.0,190.0,187.0,189.9,-0.26,2725259.8,188.96666666666667
86,2023-11-21,191.0,192.0,189.1,190.4,-0.83,5023861.4,190.5
87,2023-11-20,191.6,194.9,191.0,192.0,2.18,7914064.6,192.63333333333333
88,2023-11-09,183.0,190.7,183.0,187.9,1.73,8165084.6,187.20000000000002
89,2023-11-08,184.0,184.9,183.0,184.7,0.54,5294008.2,184.19999999999996
90,2023-11-07,182.0,184.3,181.9,183.7,0.22,9479756.7,183.30000000000004
91,2023-11-06,182.1,184.6,181.1,183.3,-0.22,9419640.0,183.0
92,2023-11-05,184.6,185.2,181.0,183.7,1.49,16140489.6,183.29999999999998
93,2023-11-02,180.1,181.0,180.0,181.0,-0.44,8021557.0,180.66666666666666
94,2023-11-01,182.0,182.0,180.0,181.8,0.44,8593275.8,181.26666666666665
95,2023-10-31,180.0,183.0,180.0,181.0,0.0,4723208.7,181.33333333333334
96,2023-10-30,182.0,182.0,180.0,181.0,-0.55,4140424.3,181.0
97,2023-10-29,184.9,184.9,180.0,182.0,-1.09,2495844.8,182.29999999999998
98,2023-10-19,184.2,184.4,177.4,184.0,-0.16,9312810.0,181.9333333333333
99,2023-10-18,180.0,184.3,179.0,184.3,2.39,5498583.3,182.53333333333333
100,2023-10-17,181.0,181.0,176.9,180.0,1.41,4549759.7,179.29999999999998
101,2023-10-16,176.1,178.4,176.0,177.5,-0.5,5366778.0,177.29999999999998
102,2023-10-12,180.0,180.0,176.1,178.4,-0.34,11153504.8,178.16666666666666
103,2023-10-11,180.0,180.0,177.3,179.0,-0.56,7451419.4,178.76666666666665
104,2023-10-10,179.0,180.5,178.8,180.0,-0.28,5481348.2,179.76666666666665
105,2023-10-09,182.0,182.0,179.1,180.5,-0.55,5831966.6,180.53333333333333
106,2023-10-08,184.0,184.0,179.6,181.5,-1.36,12311952.0,181.70000000000002
107,2023-10-05,181.0,184.0,180.6,184.0,0.0,6335041.3,182.86666666666667
108,2023-10-04,181.0,185.0,180.0,184.0,0.66,6488411.0,183.0
109,2023-10-03,181.0,183.0,179.9,182.8,-0.05,6666477.0,181.9
110,2023-10-02,179.0,183.0,179.0,182.9,0.27,12129863.2,181.63333333333333
111,2023-10-01,184.0,184.0,181.1,182.4,-0.87,6691767.6,182.5
112,2023-09-27,185.5,185.5,182.5,184.0,-0.76,4451385.3,184.0
113,2023-09-26,180.8,186.0,180.8,185.4,0.76,8660338.3,184.0666666666667
114,2023-09-25,181.2,186.0,180.5,184.0,0.16,9430086.5,183.5
115,2023-09-24,185.0,185.8,178.7,183.7,-0.54,9910225.4,182.73333333333335
116,2023-09-21,182.0,186.6,182.0,184.7,0.65,11708126.0,184.4333333333333
117,2023-09-19,179.0,184.0,178.5,183.5,1.72,11054108.5,182.0
118,2023-09-18,180.0,180.5,177.6,180.4,-0.11,4729781.2,179.5
119,2023-09-17,177.7,181.0,177.7,180.6,-0.17,10516644.0,179.76666666666665
120,2023-09-13,182.0,182.0,178.2,180.9,0.5,7371302.1,180.36666666666667
121,2023-09-12,184.0,184.0,179.0,180.0,-0.83,6602581.4,181.0
122,2023-09-11,182.0,182.0,177.4,181.5,0.83,10237764.9,180.29999999999998
123,2023-09-10,179.0,180.0,176.7,180.0,0.33,8165845.3,178.9
124,2023-09-07,182.0,182.0,176.4,179.4,-0.33,11836871.9,179.26666666666665
125,2023-09-05,184.0,184.0,179.7,180.0,-0.72,6995897.6,181.23333333333335
126,2023-09-04,182.3,183.5,179.0,181.3,-0.38,12891944.6,181.26666666666665
127,2023-09-03,181.0,182.0,179.5,182.0,0.0,11889306.5,181.16666666666666
128,2023-08-30,184.0,184.0,180.0,182.0,0.0,11291859.6,182.0
129,2023-08-29,181.1,184.7,181.1,182.0,-0.55,9570166.9,182.6
130,2023-08-28,183.0,184.9,181.0,183.0,-0.81,5139596.4,182.96666666666667
131,2023-08-27,184.0,184.5,180.0,184.5,0.0,8609910.0,183.0
132,2023-08-24,185.5,186.5,182.6,184.5,-0.27,11812240.2,184.53333333333333
133,2023-08-23,185.0,187.8,181.6,185.0,-0.05,8199938.7,184.79999999999998
134,2023-08-22,183.0,185.1,181.1,185.1,0.6,6645429.3,183.76666666666665
135,2023-08-21,184.9,184.9,181.4,184.0,-0.54,6714398.7,183.4333333333333
136,2023-08-20,185.0,186.9,180.6,185.0,-0.38,17808574.5,184.16666666666666
137,2023-08-17,184.0,185.7,182.2,185.7,0.16,8223796.7,184.5333333333333
138,2023-08-16,184.1,185.4,180.0,185.4,0.22,12647906.2,183.6
139,2023-08-15,187.5,187.5,182.0,185.0,0.0,12933851.2,184.83333333333334
140,2023-08-14,183.1,188.0,182.5,185.0,1.09,12770576.5,185.16666666666666
141,2023-08-13,183.1,185.8,180.4,183.0,-0.22,18076489.1,183.0666666666667
142,2023-08-10,181.0,184.0,180.1,183.4,0.22,13065361.2,182.5
143,2023-08-09,182.0,184.5,179.9,183.0,-0.71,17280424.1,182.46666666666667
144,2023-08-08,188.0,188.9,182.2,184.3,-2.95,22001479.9,185.13333333333335
145,2023-08-07,193.0,193.0,186.0,189.9,-1.76,25013621.9,189.63333333333333
146,2023-08-06,202.0,202.0,190.0,193.3,-4.31,57747938.8,195.1
147,2023-08-03,205.0,208.0,201.9,202.0,-1.42,46189480.5,203.96666666666667
148,2023-08-02,205.4,205.4,201.0,204.9,0.44,25661641.4,203.76666666666665
149,2023-08-01,204.0,210.1,201.0,204.0,-1.73,15892209.6,205.03333333333333
150,2023-07-31,204.0,209.9,200.0,207.6,0.58,21992370.0,205.83333333333334
151,2023-07-30,206.0,208.0,201.0,206.4,0.19,24478410.2,205.13333333333333
152,2023-07-27,211.0,212.0,205.8,206.0,-1.44,13643980.3,207.9333333333333
153,2023-07-26,205.8,212.9,205.8,209.0,0.05,14548254.8,209.23333333333335
154,2023-07-25,214.2,214.2,206.1,208.9,-0.52,12574282.5,209.73333333333332
155,2023-07-24,223.0,224.8,210.0,210.0,-4.98,75277290.9,214.9333333333333
156,2023-07-23,212.2,223.0,206.7,221.0,6.1,54081473.1,216.9
157,2023-07-20,210.0,213.8,208.0,208.3,-0.81,29727652.5,210.03333333333333
158,2023-07-19,200.0,210.0,198.2,210.0,4.53,42920499.3,206.0666666666667
159,2023-07-18,200.0,203.0,199.0,200.9,0.5,34199606.1,200.96666666666667
160,2023-07-17,194.0,200.5,193.0,199.9,2.51,16871871.4,197.79999999999998
161,2023-07-16,191.7,195.5,190.0,195.0,1.72,14611029.3,193.5
162,2023-07-13,188.6,196.0,188.6,191.7,-0.36,9800503.8,192.1
163,2023-07-12,192.0,195.9,188.8,192.4,2.12,8904748.9,192.36666666666667
164,2023-07-11,188.0,190.5,187.2,188.4,-1.31,11303644.3,188.70000000000002
165,2023-07-10,191.0,192.0,188.0,190.9,0.47,9524392.8,190.29999999999998
166,2023-07-09,190.0,191.0,188.0,190.0,0.26,8689270.0,189.66666666666666
167,2023-07-06,189.0,190.0,186.5,189.5,0.05,7782653.4,188.66666666666666
168,2023-07-05,190.0,191.0,186.0,189.4,-0.21,18159425.7,188.79999999999998
169,2023-07-04,190.0,192.0,188.0,189.8,-0.63,12295429.3,189.9333333333333
170,2023-07-03,194.6,194.6,190.0,191.0,-0.88,17119504.1,191.86666666666667
171,2023-07-02,200.4,200.4,191.5,192.7,-1.93,8874094.4,194.86666666666665
172,2023-06-28,201.7,201.9,195.3,196.5,-0.76,15597165.6,197.9
173,2023-06-27,191.7,201.0,191.7,198.0,3.29,38031123.0,196.9
174,2023-06-26,190.5,194.5,190.3,191.7,-0.62,14204417.7,192.16666666666666
175,2023-06-25,190.5,193.0,190.0,192.9,0.0,19778552.6,191.96666666666667
176,2023-06-22,196.2,196.2,190.7,192.9,0.26,8284212.2,193.26666666666665
177,2023-06-21,194.9,194.9,191.0,192.4,-0.31,7739780.9,192.76666666666665
178,2023-06-20,194.1,195.0,192.0,193.0,-0.26,9115229.3,193.33333333333334
179,2023-06-19,193.0,194.5,191.6,193.5,-0.51,12501473.8,193.20000000000002
180,2023-06-18,193.5,196.0,192.0,194.5,-0.26,10696456.8,194.16666666666666
181,2023-06-15,193.6,200.7,193.6,195.0,-0.91,8781624.5,196.4333333333333
182,2023-06-14,196.8,197.5,193.0,196.8,1.97,15859039.9,195.76666666666665
183,2023-06-13,193.0,195.0,191.2,193.0,0.31,14978662.0,193.0666666666667
184,2023-06-12,191.2,195.8,191.2,192.4,-0.21,7002458.8,193.13333333333333
185,2023-06-11,191.0,194.3,190.5,192.8,1.05,9472599.0,192.53333333333333
186,2023-06-08,190.6,192.0,190.0,190.8,-0.57,5563235.1,190.9333333333333
187,2023-06-07,195.4,195.4,190.8,191.9,0.1,5263299.8,192.70000000000002
188,2023-06-06,191.1,193.5,190.1,191.7,-1.03,6319128.9,191.76666666666665
189,2023-06-05,192.1,196.0,192.0,193.7,0.36,5891123.0,193.9
190,2023-06-04,190.0,197.9,190.0,193.0,0.52,3492964.5,193.63333333333333
191,2023-06-01,193.0,193.0,189.0,192.0,0.26,6506983.2,191.33333333333334
192,2023-05-31,190.1,193.9,189.0,191.5,-0.52,10743143.2,191.46666666666667
193,2023-05-30,194.5,195.9,192.0,192.5,-2.58,8402404.2,193.46666666666667
194,2023-05-28,195.0,201.0,195.0,197.6,-0.05,10799542.7,197.86666666666667
195,2023-05-24,199.0,199.7,195.0,197.7,0.41,4851001.6,197.46666666666667
196,2023-05-23,194.0,197.0,193.1,196.9,1.76,7428528.7,195.66666666666666
197,2023-05-22,193.0,194.2,192.1,193.5,-0.36,4435764.4,193.26666666666665
198,2023-05-21,194.0,196.8,193.0,194.2,-0.15,4840823.3,194.66666666666666
199,2023-05-18,190.0,195.0,190.0,194.5,1.3,7793278.4,193.16666666666666
200,2023-05-17,191.0,193.7,190.2,192.0,0.52,5251507.3,191.96666666666667
201,2023-05-16,194.6,194.6,189.5,191.0,-0.93,3312623.2,191.70000000000002
202,2023-05-15,191.0,192.9,189.2,192.8,0.0,5167453.5,191.63333333333335
203,2023-05-14,193.0,193.0,189.9,192.8,-0.1,7488856.3,191.9
204,2023-05-11,193.0,193.1,190.9,193.0,-0.52,6523873.5,192.33333333333334
205,2023-05-10,195.0,195.0,192.6,194.0,-0.05,4141221.2,193.86666666666667
206,2023-05-09,193.1,195.1,192.0,194.1,0.1,4103058.5,193.73333333333335
207,2023-05-08,193.0,194.5,192.1,193.9,-0.1,2691059.3,193.5
208,2023-05-07,193.2,196.0,191.0,194.1,-0.97,4786374.6,193.70000000000002
209,2023-05-04,195.0,198.0,191.5,196.0,0.51,7213688.8,195.16666666666666
210,2023-05-03,198.0,198.0,192.9,195.0,-0.46,4927588.0,195.29999999999998
211,2023-05-02,195.0,197.0,193.7,195.9,-0.25,4866181.1,195.53333333333333
212,2023-04-30,195.0,198.0,195.0,196.4,-0.76,5616104.8,196.46666666666667
213,2023-04-27,195.5,197.9,195.0,197.9,0.46,3700748.7,196.9333333333333
214,2023-04-26,200.0,202.8,196.0,197.0,-1.5,5178696.4,198.6
215,2023-04-25,198.0,200.0,195.0,200.0,1.63,12677751.8,198.33333333333334
216,2023-04-24,193.0,196.8,192.0,196.8,1.5,4875411.0,195.20000000000002
217,2023-04-23,196.9,197.0,193.0,193.9,-1.52,6990846.0,194.63333333333333
218,2023-04-20,202.0,202.0,194.3,196.9,-0.61,5484715.8,197.73333333333335
219,2023-04-19,199.0,199.9,196.0,198.1,0.46,4894001.4,198.0
220,2023-04-18,197.0,199.9,196.0,197.2,-0.35,3536214.2,197.69999999999996
221,2023-04-17,200.0,202.0,196.5,197.9,-1.05,3831260.4,198.79999999999998
222,2023-04-16,203.5,205.0,198.1,200.0,-1.38,3298544.2,201.03333333333333
223,2023-04-13,204.1,208.0,200.0,202.8,-0.83,9067998.5,203.6
224,2023-04-12,196.0,206.0,195.0,204.5,5.25,13189678.7,201.83333333333334
225,2023-04-11,195.5,196.0,190.2,194.3,0.15,11440868.1,193.5
226,2023-04-10,194.0,194.4,191.0,194.0,0.57,6121104.5,193.13333333333333
227,2023-04-09,192.0,193.0,189.9,192.9,-0.52,10470069.2,191.9333333333333
228,2023-04-06,197.0,197.0,191.1,193.9,0.0,6670996.8,194.0
229,2023-04-05,192.0,194.0,190.4,193.9,-0.05,3242386.6,192.76666666666665
230,2023-04-04,195.0,195.7,190.0,194.0,-0.41,9050709.8,193.23333333333335
231,2023-04-03,195.0,195.0,191.7,194.8,-0.1,7904616.1,193.83333333333334
232,2023-04-02,197.0,199.0,194.8,195.0,-0.56,5416953.4,196.26666666666665
233,2023-03-30,199.0,199.0,196.0,196.1,-0.51,5034992.5,197.03333333333333
234,2023-03-29,196.2,200.0,196.1,197.1,-1.1,5662103.6,197.73333333333335
235,2023-03-28,200.0,201.0,198.0,199.3,0.15,6959044.3,199.4333333333333
236,2023-03-27,199.5,199.9,195.6,199.0,-0.25,6838877.2,198.16666666666666
237,2023-03-26,199.0,199.5,195.1,199.5,0.25,10058623.2,198.03333333333333
238,2023-03-23,200.0,203.3,196.1,199.0,-0.5,9325214.0,199.46666666666667
239,2023-03-22,203.0,203.0,198.0,200.0,-1.28,14941366.1,200.33333333333334
240,2023-03-20,200.0,203.8,200.0,202.6,0.35,3207560.1,202.13333333333333
241,2023-03-19,205.0,205.0,199.1,201.9,-0.69,7134720.6,202.0
242,2023-03-16,199.5,203.9,198.5,203.3,0.4,12401901.1,201.9
243,2023-03-15,200.1,209.0,198.6,202.5,0.35,9457207.9,203.36666666666667
244,2023-03-14,199.0,202.4,199.0,201.8,-0.05,5877384.0,201.0666666666667
