,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,143.0,143.0,140.0,141.0,0.0,7465194.0,141.33333333333334
1,2024-03-28,141.0,142.5,140.0,141.0,-0.21,5348787.0,141.16666666666666
2,2024-03-27,142.5,142.5,140.1,141.3,-0.84,5911166.1,141.3
3,2024-03-26,144.0,144.0,141.4,142.5,0.35,6311606.3,142.63333333333333
4,2024-03-25,144.0,144.5,141.1,142.0,-0.7,6939076.8,142.53333333333333
5,2024-03-21,142.0,144.5,142.0,143.0,0.14,11146439.4,143.16666666666666
6,2024-03-20,147.9,147.9,142.5,142.8,-1.52,12938811.1,144.4
7,2024-03-19,145.0,146.5,144.0,145.0,-0.34,11892580.5,145.16666666666666
8,2024-03-18,148.9,148.9,143.1,145.5,-0.34,7051200.9,145.83333333333334
9,2024-03-17,151.8,151.8,145.1,146.0,-1.95,10048954.9,147.63333333333333
10,2024-03-14,151.6,151.6,147.5,148.9,-0.93,7893567.0,149.33333333333334
11,2024-03-13,152.0,152.0,149.2,150.3,0.2,10864933.4,150.5
12,2024-03-12,149.9,150.6,146.2,150.0,2.04,14094810.6,148.9333333333333
13,2024-03-10,147.0,147.8,143.7,147.0,1.38,8298480.0,146.16666666666666
14,2024-03-07,141.5,145.9,141.5,145.0,0.76,6745516.9,144.13333333333333
15,2024-03-06,145.9,149.0,141.0,143.9,0.0,12297140.8,144.63333333333333
16,2024-03-05,154.9,154.9,143.0,143.9,-5.27,13368381.8,147.26666666666665
17,2024-03-04,143.1,151.9,143.1,151.9,7.73,473881.5,148.96666666666667
18,2024-03-03,141.0,141.1,139.5,141.0,-0.35,8749642.6,140.53333333333333
19,2024-02-29,144.0,145.5,141.2,141.5,-1.74,13292699.6,142.73333333333332
20,2024-02-28,146.0,146.5,143.1,144.0,-2.04,17077163.52,144.53333333333333
21,2024-02-27,148.0,148.3,146.6,147.0,-0.81,11468693.2,147.29999999999998
22,2024-02-26,148.0,149.5,147.0,148.2,0.07,9421150.8,148.23333333333332
23,2024-02-25,149.0,151.0,148.0,148.1,-0.87,9101379.4,149.03333333333333
24,2024-02-22,150.0,152.0,149.0,149.4,-0.8,11171963.6,150.13333333333333
25,2024-02-21,150.5,152.0,150.0,150.6,0.13,8022581.6,150.86666666666667
26,2024-02-20,149.0,151.6,149.0,150.4,0.67,8753299.8,150.33333333333334
27,2024-02-18,153.4,153.4,149.4,149.4,-1.32,16032797.9,150.73333333333335
28,2024-02-15,152.5,154.7,151.1,151.4,-0.85,9877045.2,152.39999999999998
29,2024-02-14,153.0,154.0,151.1,152.7,-0.2,12533513.7,152.6
30,2024-02-13,155.0,155.0,153.0,153.0,-1.23,10138788.7,153.66666666666666
31,2024-02-12,155.0,156.0,154.0,154.9,0.58,10503587.9,154.96666666666667
32,2024-02-11,154.0,155.5,154.0,154.0,0.06,9419942.8,154.5
33,2024-02-08,155.9,155.9,153.3,153.9,-0.32,13086041.0,154.36666666666667
34,2024-02-07,156.0,156.8,154.0,154.4,0.26,8754779.0,155.0666666666667
35,2024-02-06,155.4,155.4,153.0,154.0,0.0,17213728.5,154.13333333333333
36,2024-02-05,154.0,155.9,152.8,154.0,0.2,11052450.3,154.23333333333335
37,2024-02-04,155.0,155.7,153.6,153.7,-0.19,11542228.0,154.33333333333331
38,2024-02-01,155.0,156.0,153.0,154.0,-0.96,18271669.7,154.33333333333334
39,2024-01-31,157.9,157.9,155.0,155.5,-0.45,12952333.4,156.13333333333333
40,2024-01-30,157.0,159.0,155.5,156.2,-0.26,21049196.1,156.9
41,2024-01-29,158.0,158.8,156.0,156.6,-0.06,14817274.6,157.13333333333333
42,2024-01-28,159.0,159.9,156.7,156.7,-0.82,14382874.2,157.76666666666668
43,2024-01-25,158.0,159.4,156.4,158.0,0.64,18067751.6,157.93333333333334
44,2024-01-24,156.0,160.9,156.0,157.0,-0.82,17204434.8,157.96666666666667
45,2024-01-23,159.0,159.5,157.9,158.3,-1.0,19177572.2,158.56666666666666
46,2024-01-22,163.0,163.0,159.1,159.9,-1.9,33494800.7,160.66666666666666
47,2024-01-21,166.0,167.0,162.1,163.0,-3.49,41282127.0,164.03333333333333
48,2024-01-18,172.0,172.0,167.0,168.9,-1.17,22677656.6,169.29999999999998
49,2024-01-17,168.8,176.2,168.8,170.9,1.24,67098145.9,171.96666666666667
50,2024-01-16,165.0,170.0,165.0,168.8,2.43,30158463.9,167.93333333333334
51,2024-01-14,166.0,167.0,163.1,164.8,-0.06,17347809.4,164.96666666666667
52,2024-01-11,166.0,166.9,162.7,164.9,-0.12,15114096.0,164.83333333333334
53,2024-01-10,163.0,168.5,163.0,165.1,1.91,29401908.6,165.53333333333333
54,2024-01-09,163.0,163.5,161.1,162.0,0.25,14019125.1,162.20000000000002
55,2024-01-08,162.0,163.0,159.3,161.6,0.94,18256147.3,161.29999999999998
56,2024-01-07,162.1,164.0,160.0,160.1,-1.42,22491733.1,161.36666666666667
57,2024-01-04,164.1,166.0,162.0,162.4,-0.43,16583174.9,163.46666666666667
58,2024-01-03,163.0,164.3,161.0,163.1,1.24,11286390.7,162.79999999999998
59,2024-01-02,164.0,165.2,161.1,161.1,-0.56,11977857.1,162.46666666666667
60,2024-01-01,165.0,167.0,162.0,162.0,-1.7,24236068.2,163.66666666666666
61,2023-12-28,168.0,168.0,164.8,164.8,-0.72,17314231.5,165.86666666666667
62,2023-12-27,167.0,169.3,164.5,166.0,0.42,19226098.7,166.6
63,2023-12-24,170.4,172.9,165.3,165.3,-3.33,23846039.3,167.83333333333334
64,2023-12-21,177.0,177.0,170.4,171.0,-3.39,27738198.2,172.79999999999998
65,2023-12-20,177.9,179.0,174.0,177.0,0.34,32353078.4,176.66666666666666
66,2023-12-19,173.4,176.4,171.1,176.4,3.22,40058512.1,174.63333333333333
67,2023-12-18,165.0,171.2,165.0,170.9,3.58,49836851.7,169.03333333333333
68,2023-12-17,164.0,166.5,160.2,165.0,-0.54,26002005.0,163.9
69,2023-12-14,164.0,168.0,164.0,165.9,-0.06,10570129.1,165.96666666666667
70,2023-12-13,168.3,170.0,164.8,166.0,0.61,18629073.7,166.93333333333334
71,2023-12-12,162.0,166.0,162.0,165.0,0.06,15692383.2,164.33333333333334
72,2023-12-11,173.0,173.2,161.7,164.9,-2.94,45671242.7,166.6
