,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,13699.0,13701.0,13461.0,13549.0,0.36,3589450.0,13570.333333333334
1,2024-03-28,13700.0,13700.0,13500.0,13500.1,-1.05,6443457.7,13566.699999999999
2,2024-03-27,13990.0,13990.0,13621.0,13643.0,-1.85,7666961.6,13751.333333333334
3,2024-03-26,14048.0,14048.0,13825.2,13900.0,0.36,1055198.2,13924.4
4,2024-03-25,13950.0,13999.0,13850.1,13850.1,-0.71,2170101.0,13899.733333333332
5,2024-03-21,13750.0,13949.0,13750.0,13949.0,0.35,1040790.0,13882.666666666666
6,2024-03-20,14188.0,14188.0,13900.0,13900.0,-0.07,4482150.0,13996.0
7,2024-03-19,14000.0,14000.0,13900.0,13910.0,0.05,2641250.0,13936.666666666666
8,2024-03-18,13851.0,14290.0,13805.0,13903.1,0.38,3083341.0,13999.366666666667
9,2024-03-17,14100.0,14100.0,13851.0,13851.0,-0.71,2168270.0,13934.0
10,2024-03-14,14000.0,14178.0,13900.0,13950.0,-1.68,3971764.0,14009.333333333334
11,2024-03-13,14201.0,14300.0,14075.0,14189.0,-0.95,2262690.0,14188.0
12,2024-03-12,14340.0,14376.9,13818.0,14325.0,1.6,5382082.0,14173.300000000001
13,2024-03-10,14290.0,14360.0,14100.0,14100.0,0.64,2128815.0,14186.666666666666
14,2024-03-07,14300.0,14586.0,14010.0,14010.0,-0.28,3129890.0,14202.0
15,2024-03-06,13810.0,14082.0,13806.0,14050.0,0.39,3211450.0,13979.333333333334
16,2024-03-05,14300.0,14565.0,13850.0,13996.0,-1.99,4657198.0,14137.0
17,2024-03-04,14280.0,14280.0,14280.0,14280.0,2.0,142800.0,14280.0
18,2024-03-03,13960.0,14000.1,13906.0,14000.0,0.37,3635992.0,13968.699999999999
19,2024-02-29,13984.2,14850.0,13755.0,13949.0,1.74,14544478.0,14184.666666666666
20,2024-02-28,13570.0,13770.0,13500.0,13710.0,0.07,4468292.0,13660.0
21,2024-02-27,13655.0,13799.0,13600.0,13700.0,0.43,1778730.0,13699.666666666666
22,2024-02-26,13500.0,13641.0,13450.0,13641.0,0.55,1375330.0,13577.333333333334
23,2024-02-25,13600.0,13675.0,13567.0,13567.0,0.4,2655229.0,13603.0
24,2024-02-22,14157.0,14157.0,13500.0,13513.0,-2.64,6503170.0,13723.333333333334
25,2024-02-21,14074.0,14074.0,13750.0,13880.0,0.57,2482454.0,13901.333333333334
26,2024-02-20,13870.0,13900.0,13801.0,13801.0,0.17,1536280.0,13834.0
27,2024-02-18,13860.0,13880.0,13777.0,13777.0,-1.59,3174610.0,13811.333333333334
