,date,open,high,low,ltp,% change,turnover,close
0,2024-03-31,40100.0,40100.0,40100.0,40100.0,0.75,401000.0,40100.0
1,2024-03-28,40200.0,40600.0,39800.1,39800.1,0.76,4638251.0,40066.73333333334
2,2024-03-27,40300.0,40600.0,39500.0,39500.0,-0.13,8074500.0,39866.666666666664
3,2024-03-26,40000.0,40000.0,39550.2,39550.2,0.27,874602.4,39700.13333333333
4,2024-03-25,39000.0,40400.0,39000.0,39445.0,1.14,11322610.0,39615.0
5,2024-03-21,39700.0,39700.0,39000.0,39000.0,0.0,3133001.0,39233.333333333336
6,2024-03-20,39899.9,39899.9,39000.0,39000.0,-1.27,1858129.0,39299.96666666667
7,2024-03-19,40500.0,40500.0,39500.0,39500.0,-1.0,20003190.0,39833.333333333336
8,2024-03-18,39899.9,39900.0,39899.0,39900.0,0.0,12408876.9,39899.666666666664
9,2024-03-17,39850.0,39900.0,39850.0,39900.0,0.01,5982500.0,39883.333333333336
10,2024-03-14,39201.0,39898.0,39000.0,39898.0,-0.26,4394180.0,39598.666666666664
11,2024-03-13,40800.0,40800.0,40000.0,40000.0,0.0,4169600.0,40266.666666666664
12,2024-03-12,39699.9,40494.0,39684.2,40000.0,2.59,5190750.9,40059.4
13,2024-03-07,39780.0,39780.0,38990.0,38990.0,-0.03,1964701.0,39253.333333333336
14,2024-03-06,39500.0,39500.0,39000.0,39000.0,0.0,1175001.0,39166.666666666664
15,2024-03-05,39500.0,39500.0,39000.0,39000.0,-0.24,785000.0,39166.666666666664
16,2024-03-03,38815.0,39900.0,38815.0,39093.0,-1.3,3927010.0,39269.333333333336
17,2024-02-29,41100.0,41100.0,39500.0,39607.0,-5.47,3999078.0,40069.0
18,2024-02-28,39000.0,42300.0,38950.0,41900.0,6.08,6026461.0,41050.0
19,2024-02-27,39500.0,39500.0,38750.0,39499.0,0.0,1564990.0,39249.666666666664
20,2024-02-26,39200.0,40443.0,39086.0,39500.0,-1.25,3206818.1,39676.333333333336
21,2024-02-25,39600.0,40000.0,39600.0,40000.0,1.27,1195999.0,39866.666666666664
22,2024-02-22,39398.0,39788.9,39398.0,39500.0,1.06,1974859.0,39562.299999999996
23,2024-02-21,38320.1,39086.0,38320.0,39086.0,2.05,1157261.0,38830.666666666664
24,2024-02-20,38350.0,38350.0,38300.0,38300.0,-0.05,766500.0,38316.666666666664
25,2024-02-18,38500.0,38500.0,38318.0,38318.0,-2.0,3451260.0,38378.666666666664
26,2024-02-15,39183.4,39183.4,39100.0,39100.0,-2.21,861200.8,39127.799999999996
27,2024-02-14,39200.0,39983.0,39200.0,39983.0,-0.04,791830.0,39722.0
28,2024-02-13,39592.0,40000.0,39501.0,40000.0,-0.99,2772999.0,39833.666666666664
29,2024-02-12,39000.0,40400.0,39000.0,40400.0,5.35,2031300.0,39933.333333333336
30,2024-02-11,40474.0,40474.0,38350.0,38350.0,-7.14,2360310.0,39058.0
31,2024-02-08,39700.0,41300.0,39700.0,41300.0,1.98,3676990.0,40766.666666666664
32,2024-02-07,40210.0,40800.0,40210.0,40500.0,-1.22,2026600.0,40503.333333333336
33,2024-02-06,41004.0,41500.0,41000.0,41000.0,1.99,4443500.0,41166.666666666664
34,2024-02-05,40200.0,40200.0,40200.0,40200.0,-1.95,402000.0,40200.0
35,2024-02-04,41588.4,41588.4,41000.0,41000.0,0.56,1235884.0,41196.13333333333
36,2024-02-01,41604.6,41604.6,40773.0,40773.0,-2.0,1231526.0,41050.200000000004
37,2024-01-31,40100.0,41604.6,39975.0,41604.6,4.03,7310182.0,41061.4
38,2024-01-30,39600.0,40000.0,39600.0,39993.0,-0.02,7962030.0,39864.333333333336
39,2024-01-29,40000.0,40087.0,40000.0,40000.0,1.78,2001740.0,40029.0
40,2024-01-28,39301.0,39301.0,39301.0,39301.0,-1.75,393010.0,39301.0
41,2024-01-25,40099.9,40600.0,39450.0,40000.0,1.54,4418377.0,40016.666666666664
42,2024-01-24,39800.0,39800.0,39300.0,39393.0,0.96,3952371.0,39497.666666666664
