Index,Date,Open,High,Low,Ltp,% change,turnover,Close
1,3/27/2024,442,447,440,440.5,-0.29,"13,329,809.20",440.7182
2,3/26/2024,445.1,448,440,441.8,-0.72,"17,930,260.10",441.89528
3,3/25/2024,458,458,444.4,445,-1.33,"14,908,542.00",451.9086
4,3/21/2024,459.9,459.9,449,451,-1.31,"20,947,008.40",453.87531
5,3/20/2024,463,465,456,457,-0.65,"14,624,891.10",459.9905
6,3/19/2024,460,462,456,460,-0.22,"15,682,309.00",458.988
7,3/18/2024,473,473,459,461,-0.65,"16,682,507.50",469.9255
8,3/17/2024,478,480,462,464,-1.67,"23,971,254.60",470.0174
9,3/14/2024,480,480,468.3,471.9,-0.23,"22,778,295.10",478.896
10,3/13/2024,477,479.9,467,473,0.85,"31,614,147.30",481.0545
11,3/12/2024,458.7,470,455,469,4.27,"29,076,699.00",478.28649
12,3/10/2024,448,451,447,449.8,0.97,"17,184,098.60",452.3456
13,3/7/2024,450,450,442,445.5,0.79,"12,360,332.50",453.555
14,3/6/2024,448,450,440,442,-0.9,"20,614,974.90",443.968
15,3/5/2024,459,459,435,446,-2.68,"38,275,055.40",446.6988
16,3/4/2024,432.4,458.3,432,458.3,8.09,"6,514,387.20",467.38116
17,3/3/2024,429.5,432,422,424,-1.28,"24,247,315.80",424.0024
18,2/29/2024,435,435,429,429.5,-1.26,"36,293,346.10",429.519
19,2/28/2024,442,442,435,435,-0.64,"14,143,989.00",439.1712
20,2/27/2024,434,440,432.5,437.8,0.88,"19,182,202.40",437.8192
21,2/26/2024,436.5,440,430.1,434,-0.57,"27,597,828.00",434.01195
22,2/25/2024,445,445,434,436.5,-1.91,"29,943,351.10",436.5005
23,2/22/2024,450,452.9,443,445,-0.89,"27,844,413.90",445.995
24,2/21/2024,450,454.8,448,449,0,"27,709,782.70",450
25,2/20/2024,456,460,448,449,-1.9,"40,799,800.60",447.336
26,2/18/2024,456,465,455.5,457.7,-1.04,"30,047,882.80",451.2576
27,2/15/2024,465,466,462,462.5,-0.64,"23,763,885.70",462.024
28,2/14/2024,471.5,471.5,464.5,465.5,-1.27,"29,432,541.50",465.51195
29,2/13/2024,477,479.9,469.1,471.5,-1.15,"39,335,243.70",471.5145
30,2/12/2024,476,477,474,477,0.42,"23,137,701.80",477.9992
31,2/11/2024,486,486,474.5,475,-0.31,"41,536,813.40",484.4934
32,2/8/2024,476,480,475,476.5,0.29,"19,428,344.20",477.3804
33,2/7/2024,484.5,484.5,474.5,475.1,0.02,"34,651,267.20",484.5969
34,2/6/2024,479,484,475,475,0,"29,864,909.30",479
35,2/5/2024,481,481,474.9,475,-0.42,"31,059,134.50",478.9798
36,2/4/2024,482,483.9,477,477,-0.75,"38,139,312.60",478.385
37,2/1/2024,494.2,494.2,480,480.6,-0.83,"42,874,748.30",490.09814
38,1/31/2024,489,490,484.6,484.6,-0.49,"49,422,553.30",486.6039
39,1/30/2024,485,494,485,487,-0.2,"28,719,052.70",484.03
40,1/29/2024,492,495,485,488,-0.61,"54,993,722.60",488.9988
41,1/28/2024,497,497,487.7,491,0.61,"30,688,492.60",500.0317
42,1/25/2024,492.5,492.5,483.2,488,0.64,"38,332,635.40",495.652
43,1/24/2024,492,493,484,484.9,0.08,"36,499,765.10",492.3936
44,1/23/2024,489,496,484,484.5,-0.92,"49,850,590.00",484.5012
45,1/22/2024,495,495,486.5,489,-0.81,"52,410,361.90",490.9905
46,1/21/2024,504,504,492,493,-1,"42,440,772.60",498.96
47,1/18/2024,507,507,498,498,-1.19,"39,099,071.90",500.9667
48,1/17/2024,503.5,512,503,504,0.6,"56,271,981.30",506.521
49,1/16/2024,500,502,498,501,1.31,"63,423,350.80",506.55
50,1/14/2024,500,501,493.5,494.5,0.3,"33,128,429.60",501.5
51,1/11/2024,499,499.9,490,493,0.2,"26,080,337.00",499.998
52,1/10/2024,495,500,490,492,0.41,"45,338,816.50",497.0295
53,1/9/2024,488.1,495,488.1,490,0.39,"60,580,784.60",490.00359
54,1/8/2024,495,495,488,488.1,-0.39,"53,586,128.10",493.0695
