date,open,high,low,ltp,% change,turnover,close
3/31/2024,17950,17950,16901.4,16901.4,-7.64,696895,16578.62
3/28/2024,18500,18727.2,18300,18300,-0.33,1639597,18438.95
3/27/2024,18200,18360,18000,18360,-0.99,1452510,18019.82
3/26/2024,18500,20104.1,18500,18543.6,1.46,2880886,18770.1
3/25/2024,16947.3,18276.5,16947.3,18276.5,10,1423104,18642.03
3/21/2024,17983,17983,16615,16615,-9.46,4137084,16281.8082
3/20/2024,19831,19831,18350,18350,-9.32,1136772,17982.7508
3/17/2024,20235.7,20235.7,20235.7,20235.7,-2,202357,19830.986
3/14/2024,20648.6,20648.6,20648.6,20648.6,-2,206486,20235.628
3/12/2024,21070,21070,21070,21070,-2,210700,20648.6
3/7/2024,20580,21500,18900,21500,2.38,6492282,21069.804
3/6/2024,20542.8,21381,19336,21000,0.18,3279171,20579.77704
3/5/2024,23756.4,23756.4,20961.6,20962,-10,7805581,21380.76
3/4/2024,23290.6,23290.6,23290.6,23290.6,2,232906,23756.412
3/3/2024,22037.2,23765.6,19511,22834,5.69,15134546.6,23291.11668
2/29/2024,20033.8,21605.1,20033.8,21605.1,10,1473863,22037.18
2/28/2024,18205,19641,17855.5,19641,10,4036052,20025.5
2/27/2024,16556.9,17855.5,16556.9,17855.5,10,860963,18212.59
2/26/2024,15051.8,16232.3,15051.8,16232.3,10,782696,16556.98
2/25/2024,13683.5,14756.7,13683.5,14756.7,10,873867.7,15051.85
2/22/2024,12641.6,13415.2,12641.6,13415.2,8.24,521034,13683.26784
2/21/2024,11492.4,12393.8,11492.4,12393.8,10,597607,12641.64
2/20/2024,10447.7,11267.1,10447.7,11267.1,10,543281,11492.47
2/18/2024,9498,10242.9,9498,10242.9,10,596325,10447.8
2/15/2024,8634.6,9311.8,8634.6,9311.8,10,448998,9498.06
2/14/2024,7849.7,8465.3,7849.7,8465.3,10,408183,8634.67
2/13/2024,7136.1,7695.8,7136.1,7695.8,10,371077,7849.71
2/12/2024,6487.4,6996.2,6487.4,6996.2,10,337344,7136.14
1/31/2024,6360.2,6360.2,6360.2,6360.2,2,63602,6487.404
12/27/2023,6235.5,6235.5,6235.5,6235.5,-2,62355,6110.79
12/24/2023,5899.7,6362.5,5899.7,6362.5,10,306783,6489.67
12/21/2023,5363.4,5784.1,5363.4,5784.1,10,278897,5899.74
12/20/2023,4875.9,5258.3,4875.9,5258.3,10,253546,5363.49
12/19/2023,4432.7,4780.3,4432.7,4780.3,10,230499,4875.97
12/18/2023,3950.7,4345.8,3950.7,4345.8,10,249050,4345.77
12/17/2023,3663.5,3950.8,3663.5,3950.8,10,190500,4029.85
12/14/2023,3330.5,3591.7,3330.5,3591.7,10,173186,3663.55
12/13/2023,3027.7,3265.2,3027.7,3265.2,10,157438,3330.47
12/12/2023,2752.5,2968.4,2752.5,2968.4,10,143128,3027.75
12/11/2023,2502.3,2698.6,2502.3,2698.6,10,130118,2752.53
9/24/2023,2453.3,2453.3,2453.3,2453.3,2,53972.6,2502.366
8/7/2023,2358.1,2405.2,2358.1,2405.2,4.04,47633,2453.36724
7/11/2023,2266.6,2311.9,2266.6,2311.9,4.04,45785,2358.17064
9/25/2022,2222.2,2222.2,2222.2,2222.2,2,22222,2266.644
9/14/2022,2178.7,2178.7,2178.7,2178.7,2,21787,2222.274
9/13/2022,1980.7,2136,1980.7,2136,10,106957.4,2178.77
5/17/2022,1941.9,1941.9,1941.9,1941.9,2,40779.9,1980.738
8/1/2021,1866.6,1903.9,1866.6,1903.9,4.04,685031,1942.01064
10/10/2019,1795,1830,1795,1830,3.98,244870,1866.441
5/6/2019,1726,1760,1726,1760,6.02,34860,1829.9052
3/31/2024,17950,17950,16901.4,16901.4,-7.64,696895,16578.62
3/28/2024,18500,18727.2,18300,18300,-0.33,1639597,18438.95
3/27/2024,18200,18360,18000,18360,-0.99,1452510,18019.82
3/26/2024,18500,20104.1,18500,18543.6,1.46,2880886,18770.1
3/25/2024,16947.3,18276.5,16947.3,18276.5,10,1423104,18642.03
3/21/2024,17983,17983,16615,16615,-9.46,4137084,16281.8082
3/20/2024,19831,19831,18350,18350,-9.32,1136772,17982.7508
3/17/2024,20235.7,20235.7,20235.7,20235.7,-2,202357,19830.986
3/14/2024,20648.6,20648.6,20648.6,20648.6,-2,206486,20235.628
3/12/2024,21070,21070,21070,21070,-2,210700,20648.6
3/7/2024,20580,21500,18900,21500,2.38,6492282,21069.804
3/6/2024,20542.8,21381,19336,21000,0.18,3279171,20579.77704
3/5/2024,23756.4,23756.4,20961.6,20962,-10,7805581,21380.76
3/4/2024,23290.6,23290.6,23290.6,23290.6,2,232906,23756.412
3/3/2024,22037.2,23765.6,19511,22834,5.69,15134546.6,23291.11668
2/29/2024,20033.8,21605.1,20033.8,21605.1,10,1473863,22037.18
2/28/2024,18205,19641,17855.5,19641,10,4036052,20025.5
2/27/2024,16556.9,17855.5,16556.9,17855.5,10,860963,18212.59
2/26/2024,15051.8,16232.3,15051.8,16232.3,10,782696,16556.98
2/25/2024,13683.5,14756.7,13683.5,14756.7,10,873867.7,15051.85
2/22/2024,12641.6,13415.2,12641.6,13415.2,8.24,521034,13683.26784
2/21/2024,11492.4,12393.8,11492.4,12393.8,10,597607,12641.64
2/20/2024,10447.7,11267.1,10447.7,11267.1,10,543281,11492.47
2/18/2024,9498,10242.9,9498,10242.9,10,596325,10447.8
2/15/2024,8634.6,9311.8,8634.6,9311.8,10,448998,9498.06
2/14/2024,7849.7,8465.3,7849.7,8465.3,10,408183,8634.67
2/13/2024,7136.1,7695.8,7136.1,7695.8,10,371077,7849.71
2/12/2024,6487.4,6996.2,6487.4,6996.2,10,337344,7136.14
1/31/2024,6360.2,6360.2,6360.2,6360.2,2,63602,6487.404
12/27/2023,6235.5,6235.5,6235.5,6235.5,-2,62355,6110.79
12/24/2023,5899.7,6362.5,5899.7,6362.5,10,306783,6489.67
12/21/2023,5363.4,5784.1,5363.4,5784.1,10,278897,5899.74
12/20/2023,4875.9,5258.3,4875.9,5258.3,10,253546,5363.49
12/19/2023,4432.7,4780.3,4432.7,4780.3,10,230499,4875.97
12/18/2023,3950.7,4345.8,3950.7,4345.8,10,249050,4345.77
12/17/2023,3663.5,3950.8,3663.5,3950.8,10,190500,4029.85
12/14/2023,3330.5,3591.7,3330.5,3591.7,10,173186,3663.55
12/13/2023,3027.7,3265.2,3027.7,3265.2,10,157438,3330.47
12/12/2023,2752.5,2968.4,2752.5,2968.4,10,143128,3027.75
12/11/2023,2502.3,2698.6,2502.3,2698.6,10,130118,2752.53
9/24/2023,2453.3,2453.3,2453.3,2453.3,2,53972.6,2502.366
8/7/2023,2358.1,2405.2,2358.1,2405.2,4.04,47633,2453.36724
7/11/2023,2266.6,2311.9,2266.6,2311.9,4.04,45785,2358.17064
9/25/2022,2222.2,2222.2,2222.2,2222.2,2,22222,2266.644
9/14/2022,2178.7,2178.7,2178.7,2178.7,2,21787,2222.274
9/13/2022,1980.7,2136,1980.7,2136,10,106957.4,2178.77
5/17/2022,1941.9,1941.9,1941.9,1941.9,2,40779.9,1980.738
8/1/2021,1866.6,1903.9,1866.6,1903.9,4.04,685031,1942.01064
10/10/2019,1795,1830,1795,1830,3.98,244870,1866.441
5/6/2019,1726,1760,1726,1760,6.02,34860,1829.9052
