date,open,high,low,ltp,% change,turnover,close
3/31/2024,464,469,456,458,-0.87,15297608.7,459.9632
3/28/2024,457.3,463,456.5,462,0.74,11125868.2,460.68402
3/27/2024,460,462,458,458.6,-0.3,8378069,458.62
3/26/2024,458,464,458,460,-0.04,6930203,457.8168
3/25/2024,467,468,457,460.2,-1.24,7504823.2,461.2092
3/21/2024,472,472,462,466,-0.21,4218555.3,471.0088
3/20/2024,462,474.8,461.3,467,0,13356994.7,462
3/19/2024,464.1,474,464.1,467,-0.43,6690617.5,462.10437
3/18/2024,465,470,464.2,469,-0.19,8776782.6,464.1165
3/17/2024,467,476,467,469.9,-1.07,9070779.3,462.0031
3/14/2024,471,479.4,469,475,0,8306600.3,471
3/13/2024,477.1,486.5,473,475,-1.25,14698993.6,471.13625
3/12/2024,480.9,482,470,481,1.26,21936830.4,486.95934
3/10/2024,472,482,472,475,0.85,10782126.9,476.012
3/7/2024,472.4,478.3,461,471,0.43,7826652.4,474.43132
3/6/2024,464,476,458,469,0.86,21561485.8,467.9904
3/5/2024,485,490,462.1,465,-5.41,15583897.6,458.7615
3/4/2024,464.7,491.6,464.7,491.6,7.9,200935.8,501.4113
3/3/2024,454.5,460,452.1,455.6,-0.52,10299469.1,452.1366
2/29/2024,460,463,455,458,-0.87,7827814.5,455.998
2/28/2024,464,469.9,460,462,-0.22,5487447.4,462.9792
2/27/2024,466.5,467,455,463,0.43,17728079.1,468.50595
2/26/2024,462,468.2,455,461,-0.22,7420146.1,460.9836
2/25/2024,478.3,478.3,461.2,462,-1.7,17942132.9,470.1689
2/22/2024,468,472,466,470,0.21,14940607.8,468.9828
2/21/2024,474,475,466.4,469,-0.42,8245324.5,472.0092
2/20/2024,468,476,467.8,471,-0.63,9565293.5,465.0516
2/18/2024,477,480,474,474,-1.41,11262502.5,470.2743
2/15/2024,480.7,490,480,480.8,-0.97,7625058.3,476.03721
2/14/2024,481,492.6,480,485.5,-0.49,7265545.3,478.6431
2/13/2024,494,494,484,487.9,-1.33,13871613.5,487.4298
2/12/2024,494,495,489.8,494.5,-0.08,15552667.3,493.6048
2/11/2024,502.9,502.9,490,494.9,0.18,8483385.8,503.80522
2/8/2024,488,495.9,488,494,0.2,5504919.8,488.976
2/7/2024,495,497,490.2,493,0.61,9103312.7,498.0195
2/6/2024,497,497,488,490,0.31,4975712.3,498.5407
2/5/2024,487,492,487,488.5,0.29,5585226.7,488.4123
2/4/2024,485.1,491,483,487.1,-0.79,9734562.8,481.26771
2/1/2024,494,494,488.1,491,-0.53,7577117.3,491.3818
1/31/2024,498,508,491,493.6,-0.88,12112099.7,493.6176
1/30/2024,500.1,501.8,492,498,0.83,13008841.8,504.25083
1/29/2024,495,500,490,493.9,-0.02,13762250.1,494.901
1/28/2024,490,495,488,494,0.61,9477453.1,492.989
1/25/2024,496,497,490,491,-1.19,23436846.9,490.0976
1/24/2024,507.9,507.9,496,496.9,-0.22,9965594.5,506.78262
1/23/2024,504,504,497.5,498,-0.99,15864299.4,499.0104
1/22/2024,504.1,509,501.9,503,-1.76,12277853.6,495.22784
1/21/2024,508,517,503.9,512,0.69,35892461.7,511.5052
1/18/2024,510,516,503.7,508.5,-1.03,27819821.2,504.747
1/17/2024,526.1,529.9,509.9,513.8,-2.13,38870413.4,514.89407
