date,open,high,low,ltp,% change,turnover,close
3/31/2024,2130,2135,2103,2105.5,-1.1,19566486.5,2106.57
3/28/2024,2110,2145,2108,2129,1.14,24692871.7,2134.054
3/27/2024,2145,2145,2105,2105,-0.47,12170101.8,2134.9185
3/26/2024,2105,2115,2100.1,2115,0.52,20140901.9,2115.946
3/25/2024,2139.9,2139.9,2103,2104,-0.47,12678126.1,2129.84247
3/21/2024,2120,2129,2112,2114,-0.19,16908068.4,2115.972
3/20/2024,2130,2137,2110,2118,-0.19,12922087.4,2125.953
3/19/2024,2120,2150,2120,2122,-0.14,8772838.8,2117.032
3/18/2024,2121.2,2150,2121,2125,-0.45,12040554.9,2111.6546
3/17/2024,2155,2160,2132,2134.5,-0.81,17189656.5,2137.5445
3/14/2024,2177,2177,2140,2152,-0.94,19038467.2,2156.5362
3/13/2024,2163,2180,2131,2172.5,0.44,22665969.3,2172.5172
3/12/2024,2169.5,2169.5,2134,2163,1.69,30545207,2206.16455
3/10/2024,2120,2140,2108.4,2127,1.24,21377591.6,2146.288
3/7/2024,2115,2125,2101,2101,-0.38,11009559.9,2106.963
3/6/2024,2100,2119.5,2080,2109,0.43,17102220.3,2109.03
3/5/2024,2181,2181,2090,2099.9,-3.72,28182259.8,2099.8668
3/4/2024,2093,2181,2093,2181,6.29,527805,2224.6497
3/3/2024,2070,2075,2046.5,2052,-1.16,24234084.5,2045.988
2/29/2024,2115,2125,2075,2076,-1.14,16254923.2,2090.889
2/28/2024,2090,2184,2047,2100,2.19,21428078.1,2135.771
2/27/2024,2060,2069,2040,2055,-0.24,13284507.7,2055.056
2/26/2024,2051,2067,2040,2060,0.44,14000842.2,2060.0244
2/25/2024,2085,2089.9,2051,2051,-0.92,29169547.2,2065.818
2/22/2024,2094,2100,2070,2070,-1.15,57769326.2,2069.919
2/21/2024,2090,2100,2090,2094,0,13300011.2,2090
2/20/2024,2100,2100,2092,2094,0.14,30361153.2,2102.94
2/18/2024,2110,2110.1,2090,2091,-0.9,31092300.1,2091.01
2/15/2024,2113,2125,2104,2109.9,-0.15,20114907.6,2109.8305
2/14/2024,2116,2138,2110,2113,-0.56,15903853.1,2104.1504
2/13/2024,2150,2150.1,2110,2125,-1.16,27126147.1,2125.06
2/12/2024,2123,2160,2120,2150,1.41,22813235.4,2152.9343
2/11/2024,2130,2144,2120,2120.1,0.48,18063586.2,2140.224
2/8/2024,2110,2115,2100,2110,0,11474625.7,2110
2/7/2024,2130,2130,2100,2110,0.47,15331493.8,2140.011
2/6/2024,2115,2120,2095.2,2100.1,0.15,15884336.3,2118.1725
2/5/2024,2100,2104,2085,2097,0.33,18430823.3,2106.93
2/4/2024,2082.6,2098.6,2080,2090,0.14,17447675.8,2085.51564
2/1/2024,2090,2114,2085,2087,-0.67,17814045,2075.997
1/31/2024,2129,2129.5,2098,2101,-0.9,20754734.4,2109.839
1/30/2024,2120,2131,2101,2120,0.95,27504281.4,2140.14
1/29/2024,2090,2110,2080,2100,0.48,17061390,2100.032
1/28/2024,2121.6,2121.6,2080,2090,0.48,22616838.5,2131.78368
1/25/2024,2097,2112,2075,2080,0.09,25558238.4,2098.8873
1/24/2024,2090,2131,2078,2078.1,-0.71,27073574.7,2075.161
1/23/2024,2140,2145,2090,2093,-1.51,39465443.3,2107.686
1/22/2024,2196.8,2196.8,2118.1,2125,-2.08,42019858.8,2151.10656
1/21/2024,2200,2200,2169,2170.1,-1.13,38249798.3,2175.14
1/18/2024,2259.3,2259.3,2186.1,2195,-0.9,40567993.6,2238.9663
1/17/2024,2265,2275,2200,2215,-0.76,52746064.5,2247.786
1/16/2024,2220,2240,2200,2232,0.77,49431690.2,2237.094
1/14/2024,2207,2220,2190,2215,0.68,22848221.8,2222.0076
1/11/2024,2193,2229,2187.5,2200,0,29611159.3,2193
1/10/2024,2231,2235,2192,2200,0.09,34692768.7,2233.0079
1/9/2024,2185,2238.9,2185,2198,1.06,60730638.3,2208.161
1/8/2024,2179,2181,2156.2,2175,0.88,33615746.4,2198.1752
1/7/2024,2185,2188.9,2151,2156,-1.33,36634246.9,2155.9395
1/4/2024,2198,2217,2166,2185,0.74,55361465.4,2214.2652
1/3/2024,2170,2195,2155,2169,0.18,24300967.6,2173.906
1/2/2024,2190,2200,2140,2165,-1.28,59286719,2161.968
1/1/2024,2190,2230,2190,2193,0.14,47019343.7,2193.066
12/28/2023,2200,2210,2160,2190,0.55,37390815.9,2212.1
12/27/2023,2250,2255,2160,2178,-1.49,86753712,2216.475
12/24/2023,2260,2300,2210,2211,-2.51,101872153.3,2203.274
12/21/2023,2335.8,2346,2240,2268,-1.39,103080062.1,2303.33238
12/20/2023,2165,2330,2165,2300,6.98,126055504.6,2316.117
12/19/2023,2100,2170,2100,2150,2.38,84749058.4,2149.98
12/18/2023,2061,2112,2055,2100,2.84,54105596.5,2119.5324
12/17/2023,2025,2055,2000.1,2042,0.59,17459221,2036.9475
12/14/2023,2026,2048,2010,2030,0.2,17374045.7,2030.052
12/13/2023,2065,2100,2025,2026,0.05,26521008.4,2066.0325
12/12/2023,2050.3,2050.3,2009.3,2025,0.74,25369513.3,2065.47222
12/11/2023,2089,2100,2010.1,2010.1,-2.18,42326019.6,2043.4598
12/10/2023,1998.1,2055,1998.1,2055,4.9,4355617,2096.0069
12/7/2023,1950.1,1959,1945,1959,0.46,13452304.8,1959.07046
12/6/2023,1960,1960,1947,1950,-0.2,6136933.8,1956.08
12/5/2023,1950,1957,1880,1954,-0.15,19141311.8,1947.075
12/4/2023,1965,1965,1956,1957,-0.1,15570653.8,1963.035
12/3/2023,1953,1962.8,1949.2,1959,-0.31,11767211.9,1946.9457
11/30/2023,1979,1979,1952,1965,-0.75,10944094.9,1964.1575
11/29/2023,1999,1999,1966,1979.8,-0.01,8533614.2,1998.8001
11/28/2023,2000,2000,1975.5,1980,-0.45,9074596.6,1991
11/27/2023,1990,2004,1980,1989,0.76,15723615.4,2005.124
11/26/2023,1940,1977,1935,1974,2.12,22295041.4,1981.128
11/23/2023,1920,1945.8,1910,1933,0.68,6937096.4,1933.056
11/22/2023,1894,1930,1893.5,1920,0.95,22716725.5,1911.993
11/21/2023,1929.9,1929.9,1893.4,1902,-0.16,8455040.7,1926.81216
11/20/2023,1915,1949.1,1903.1,1905,-0.31,8761314.6,1909.0635
11/9/2023,1907,1918,1902,1910.9,0.2,8330996.4,1910.814
11/8/2023,1903,1912,1902,1907,-0.05,5459388.9,1902.0485
11/7/2023,1910,1919.7,1887,1908,1.06,8728676.4,1930.246
11/6/2023,1893,1893,1875,1887.9,1.28,7213841.8,1917.2304
11/5/2023,1870,1883,1860,1864.1,-1.05,11835859.3,1850.365
11/2/2023,1885,1892,1880,1883.9,-0.06,10230356.9,1883.869
11/1/2023,1885,1889,1881,1885.1,0.32,6137972.6,1891.032
10/31/2023,1873,1890,1870,1879,-0.64,6991767.2,1861.0128
10/30/2023,1893,1894,1870,1891.1,-0.15,10220408.2,1890.1605
10/29/2023,1925,1925,1888,1894,-1.35,10900418.7,1899.0125
10/19/2023,1915,1924,1900,1920,0.79,7715989.9,1930.1285
10/18/2023,1865,1915,1865,1905,2.14,11533086.8,1904.911
10/17/2023,1869,1925,1864,1865,0.69,9899679.6,1881.8961
10/16/2023,1890,1890,1850,1852.3,-1.05,21162956.7,1870.155
10/12/2023,1895,1895,1872,1872,-0.96,20425449.5,1876.808
10/11/2023,1890,1900,1885.4,1890.1,0.27,8844636,1895.103
10/10/2023,1916,1916,1879.3,1885,-0.53,22976812.2,1905.8452
10/9/2023,1900,1925,1880,1895,-0.31,22249167.3,1894.11
10/8/2023,1954,1955,1900,1900.8,-2.73,40800226.4,1900.6558
10/5/2023,1965,1975,1950,1954.1,-0.52,22526152.6,1954.782
10/4/2023,1988,1988,1960,1964.4,0.22,8959453.5,1992.3736
10/3/2023,1975,1983,1958,1960,-0.91,21677517.3,1957.0275
