date,open,high,low,ltp,% change,turnover,close
3/31/2024,510,510,498,500,-0.73,14954015.7,506.277
3/28/2024,504.5,508.8,503,503.7,-0.26,11902101.6,503.1883
3/27/2024,507.9,508,502.5,505,-0.26,12065071.1,506.57946
3/26/2024,505,509,503.4,506.3,0.66,8156601,508.333
3/25/2024,510,511,502.3,503,-1.97,15124697.1,499.953
3/21/2024,512,518,511.2,513.1,-0.19,7973915.1,511.0272
3/20/2024,522,522,512.2,514.1,0.25,7006231,523.305
3/19/2024,515,518,512.6,512.8,-0.81,9814513.2,510.8285
3/18/2024,516.5,520,515.9,517,0.19,12690857.2,517.48135
3/17/2024,510,521,510,516,-0.19,10347538.4,509.031
3/14/2024,515,520,514.1,517,-0.96,7038977,510.056
3/13/2024,536.5,536.5,516,522,-0.76,8166200.1,532.4226
3/12/2024,524.1,528,515,526,2.35,14650158.7,536.41635
3/10/2024,515,515,510,513.9,1.16,5707683.6,520.974
3/7/2024,519.1,520,507.3,508,-0.2,7667599.7,518.0618
3/6/2024,517,517,502.2,509,0.24,11731310.7,518.2408
3/5/2024,530,530,498,507.8,-3.09,12287658.3,513.623
3/4/2024,503.8,524,503.8,524,6.07,15416,534.38066
3/3/2024,500,504.9,490,494,-1.02,15697269,494.9
2/29/2024,495,509.9,495,499.1,-0.66,9494230.6,491.733
2/28/2024,510,510,500,502.4,-1.49,9251130.1,502.401
2/27/2024,498,512,498,510,1.59,9046754.2,505.9182
2/26/2024,499,508,499,502,0.6,9740743.7,501.994
2/25/2024,512,512,498.5,499,-2.6,24672577.8,498.688
2/22/2024,515,519.3,511.2,512.3,-0.72,7492753.8,511.292
2/21/2024,520,524,515.2,516,-0.39,6972477.1,517.972
2/20/2024,519,524.7,511,518,-0.19,7054799.7,518.0139
2/18/2024,522,522,517,519,-0.57,11657239.6,519.0246
2/15/2024,522.1,528,519.1,522,-0.95,6044442.3,517.14005
2/14/2024,525,528,521,527,1.15,17881931.8,531.0375
2/13/2024,522.2,523.9,515,521,-0.76,18223799.3,518.23128
2/12/2024,522,525,521.6,525,0.69,14228881,525.6018
2/11/2024,530,532,521.4,521.4,-1.16,11451190.2,523.852
2/8/2024,529,534,525,527.5,-1.2,10834809.4,522.652
2/7/2024,539.5,539.5,530,533.9,0.93,12240621.5,544.51735
2/6/2024,536.5,536.5,527,529,0.19,12964263.3,537.51935
2/5/2024,535,535,525,528,-0.02,13142417.9,534.893
2/4/2024,527,531.8,522.2,528.1,0.21,13634866.4,528.1067
2/1/2024,530,539,526,527,-1.31,20984983.6,523.057
1/31/2024,540,540,530,534,-1.11,25387752.3,534.006
1/30/2024,549.5,549.5,537,540,-0.52,21332658.7,546.6426
1/29/2024,537.1,544,532,542.8,0.93,32665237.4,542.09503
1/28/2024,532,538.1,532,537.8,1.45,29867668.66,539.714
1/25/2024,526,535,523.3,530.1,0.78,26433321.5,530.1028
1/24/2024,525,529,524,526,0.57,23379213,527.9925
1/23/2024,521,529,520,523,0,21712178.7,521
1/22/2024,534,534,522.3,523,-0.57,37390553.1,530.9562
1/21/2024,555,555,526,526,-5.05,51397476.1,526.9725
1/18/2024,526,554,519.4,554,4.33,34330284.5,548.7758
1/17/2024,520.3,551.8,520.3,531,0.19,43147230,521.28857
1/16/2024,524,530.5,480,530,1.15,17408603.2,530.026
1/14/2024,525,525.7,516,524,0.96,21226259.4,530.04
1/11/2024,530,530,516.2,519,-0.17,11891909,529.099
1/10/2024,514,527,514,519.9,1.54,27006969.6,521.9156
1/9/2024,506,515,506,512,1.19,19569601.8,512.0214
1/8/2024,505,509.9,502.1,506,0.6,19712210.2,508.03
1/7/2024,500,508,500,503,-0.85,19603781.4,495.75
1/4/2024,508.1,512,507.3,507.3,0.24,12436345.5,509.31944
1/3/2024,505,509,500.1,506.1,0.22,10785420.9,506.111
1/2/2024,509,509,502,505,-1.37,18340281.7,502.0267
1/1/2024,509,518,509,512,0.39,10966966.4,510.9851
12/28/2023,505.1,515,505.1,510,0.2,8567889,506.1102
12/27/2023,531,531,507,509,-2.3,16051467.6,518.787
12/24/2023,530.1,530.1,518.2,521,-1.72,15151046.8,520.98228
12/21/2023,545,550,525.3,530.1,-2.73,26609086.9,530.1215
12/20/2023,554,560,543.9,545,-0.18,24068783.2,553.0028
12/19/2023,538,548,535,546,1.49,26998099.9,546.0162
12/18/2023,529,539,523,538,3.01,33383158.6,544.9229
12/17/2023,517,523.9,513.1,522.3,-0.13,20340072.4,516.3279
12/14/2023,519,530,518,523,0.97,22278024.8,524.0343
12/13/2023,512,520,511.5,518,1.27,15780468.5,518.5024
12/12/2023,513.8,513.8,504,511.5,1.53,30723152.6,521.66114
12/11/2023,528,530,502,503.8,-3.12,31902793,511.5264
12/10/2023,484.5,520,484.5,520,9.47,1503427,530.38215
12/7/2023,469,476,469,475,1.06,5493346.1,473.9714
12/6/2023,477,479,464,470,0,5618300.3,477
12/5/2023,465.2,470,465.1,470,0.36,2876994.8,466.87472
12/4/2023,470,470,462.5,468.3,-0.76,4568992.9,466.428
12/3/2023,475,475,464,471.9,-0.23,4294218.4,473.9075
11/30/2023,472,479.8,465,473,0.21,5400847.8,472.9912
11/29/2023,490,490,472,472,-1.87,3140856.3,480.837
11/28/2023,480,481,477,481,1.05,4069526.6,485.04
11/27/2023,475.5,482.5,475.5,476,-0.83,4463866.5,471.55335
11/26/2023,470,480.4,466.2,480,2.56,7595638.5,482.032
11/23/2023,464,469,462.2,468,0.39,6646334.5,465.8096
11/22/2023,461,467,458.2,466.2,-0.17,4867156.8,460.2163
11/21/2023,476.5,476.5,462.1,467,-0.19,4968434.9,475.59465
11/20/2023,465,470,465,467.9,1.3,5084388.3,471.045
11/9/2023,464,466,458,461.9,1.07,5380383.5,468.9648
11/8/2023,456,460,454.5,457,0,6320427.2,456
11/7/2023,463,467,455,457,0.44,6926159.8,465.0372
11/6/2023,463,467,453,455,0,7358786.9,463
11/5/2023,460,462,452,455,-1.52,6980875.6,453.008
11/2/2023,468,468,460,462,-1.28,4272885,462.0096
11/1/2023,470,470,465,468,-0.21,5038773.4,469.013
10/31/2023,466.1,470,466,469,-0.15,3589267,465.40085
10/30/2023,469,471,465.1,469.7,-0.28,5002846.5,467.6868
10/29/2023,492.9,492.9,468,471,-2.67,3254326.1,479.73957
10/19/2023,479,490,471,483.9,1.02,12798938.8,483.8858
10/18/2023,460,482,459,479,4.36,15264148.6,480.056
10/17/2023,450,459.5,450,459,1.32,10740631.8,455.94
10/16/2023,454,458,448,453,-0.22,8557752,453.0012
10/12/2023,462,462,452.8,454,-1.73,12318010.5,454.0074
10/11/2023,468,472,461,462,-1.28,14044596.8,462.0096
10/10/2023,479.9,480,466,468,-1.68,10317913,471.83768
10/9/2023,480,484,475.1,476,-1.27,9445879.2,473.904
10/8/2023,495,495,482,482.1,-2.19,15732753.1,484.1595
10/5/2023,499.9,499.9,488.2,492.9,-0.63,13388558,496.75063
10/4/2023,500.1,507.9,495,496,-1.39,12158433.3,493.14861
10/3/2023,514.5,520,500,503,-2.24,22428610.3,502.9752
10/2/2023,562,569,558.5,566,0.75,53181287,566.215
10/1/2023,575,575,560,561.8,-1.61,32358609.6,565.7425
9/27/2023,589,589,568,571,-1.5,37773174.8,580.165
9/26/2023,590,590,578,579.7,-0.05,11374607.5,589.705
9/25/2023,588,588,578.1,580,-0.68,16478822.4,584.0016
9/24/2023,592,592,582,584,-0.85,27402124.5,586.968
9/21/2023,602,603.8,585,589,-0.84,49493125.3,596.9432
9/19/2023,585,600,581,594,1.89,20312786.8,596.0565
9/18/2023,581,586,578,583,-0.53,36082628.1,577.9207
9/17/2023,614.2,614.2,585.5,586.1,-6.48,125456780.4,574.39984
9/13/2023,620,627,618.6,626.7,1.44,63831797.8,628.928
9/12/2023,626.9,629,616,617.8,-0.4,45511841.2,624.3924
9/11/2023,610,626,605,620.3,2.87,57115314.9,627.507
9/10/2023,594,605,594,603,2.2,31313554.7,607.068
9/7/2023,600,600,590,590,-1.5,30370796.1,591
9/5/2023,599.9,604,598.1,599,0.28,23629321.3,601.57972
9/4/2023,600,603,594,597.3,0.22,23412563.8,601.32
9/3/2023,608,608,595.9,596,-1.32,32343754.3,599.9744
8/30/2023,608,613.9,602.3,604,-0.4,24086276.4,605.568
8/29/2023,608,613.9,606,606.4,-0.26,14834549.6,606.4192
8/28/2023,618,618,606,608,0,13730397.8,618
8/27/2023,610.1,613.9,607.4,608,-0.7,21267382.4,605.8293
8/24/2023,623.9,624,610.5,612.3,-0.62,24224143,620.03182
8/23/2023,616,621.9,615,616.1,0.02,20556503.1,616.1232
8/22/2023,621.7,621.7,610.4,616,0.65,17323311.2,625.74105
8/21/2023,611,619,610.1,612,-0.81,21893289.7,606.0509
8/20/2023,620,621,615,617,0.49,20494376.1,623.038
8/17/2023,610,619.5,610,614,0.2,24055404.3,611.22
8/16/2023,620,620,607.8,612.8,-1.16,32053470.7,612.808
8/15/2023,633,633,616,620,-1.27,51891796.7,624.9609
8/14/2023,623,632,620,628,1.29,55088988.9,631.0367
8/13/2023,611,620,607.2,620,1.97,49420299.2,623.0367
8/10/2023,619,619,607,608,-0.02,40298720.9,618.8762
