date,open,high,low,ltp,% change,turnover,close
3/31/2024,1533.7,1534,1507.1,1510,0.33,14628029.3,1538.76121
3/28/2024,1525,1525,1500,1505,-0.67,26742373.4,1514.7825
3/27/2024,1520,1543.9,1515,1515.2,-0.84,19502845.9,1507.232
3/26/2024,1540,1549.1,1520,1528,0.07,19413290.6,1541.078
3/25/2024,1540,1560,1518,1527,-0.78,21576137.5,1527.988
3/21/2024,1578,1578,1535,1539,-1.03,32792786.2,1561.7466
3/20/2024,1589,1590,1555,1555,-0.89,30012204.8,1574.8579
3/19/2024,1580,1605,1565.1,1569,-0.7,27970834.7,1568.94
3/18/2024,1601.1,1601.1,1570.1,1580,-1.06,37764670.8,1584.12834
3/17/2024,1617,1617.9,1588,1597,-1.24,41383285.5,1596.9492
3/14/2024,1675,1678,1616.2,1617,-2.41,67899127.8,1634.6325
3/13/2024,1650.8,1671,1625,1657,2.38,93123073.3,1690.08904
3/12/2024,1560.6,1634.9,1560.6,1618.5,5.78,110690011.3,1650.80268
3/10/2024,1540,1560,1525,1530,0.92,31105228.2,1554.168
3/7/2024,1540,1540.2,1510,1516.1,0.4,23658806.6,1546.16
3/6/2024,1525,1534,1490,1510,-0.66,42781633.6,1514.935
3/5/2024,1600,1629.9,1515,1520,-4.94,82614702.7,1520.96
3/4/2024,1498,1599,1498,1599,8.85,3372521,1630.573
3/3/2024,1475,1492,1465,1469,-1.41,38995458.4,1454.2025
2/29/2024,1548,1548,1490,1490,-1.97,40453483.7,1517.5044
2/28/2024,1460,1550,1460,1520,4.47,58393213.3,1525.262
2/27/2024,1478,1478,1450,1455,0.34,35868964.8,1483.0252
2/26/2024,1452,1479,1441,1450,-0.07,25207663.5,1450.9836
2/25/2024,1475,1488,1450.9,1451,-1.29,35902978.1,1455.9725
2/22/2024,1495,1498.7,1466.2,1470,-1.08,36644408.3,1478.854
2/21/2024,1504.3,1504.3,1475.1,1486,0.75,33440316.8,1515.58225
2/20/2024,1485,1485,1460,1474.9,-0.68,49951897,1474.902
2/18/2024,1513,1515,1480,1485,-1.91,62387531.8,1484.1017
2/15/2024,1530,1545,1510,1513.9,-0.99,46393760.5,1514.853
2/14/2024,1557,1557,1525,1529,-1.8,79596466,1528.974
2/13/2024,1570,1581,1550,1557,-0.83,43863753.7,1556.969
2/12/2024,1546.5,1580.1,1546.5,1570,-0.51,66922497.8,1538.61285
2/11/2024,1600,1605,1540,1578,-2.47,92326388.2,1560.48
2/8/2024,1610,1620,1600.1,1618,0.62,28678436.9,1619.982
2/7/2024,1630,1645,1605,1608.1,-0.4,23835566,1623.48
2/6/2024,1620,1630,1601.2,1614.5,0.28,27204777.8,1624.536
2/5/2024,1625,1625,1600,1610,0.63,29379526.1,1635.2375
2/4/2024,1622,1637.9,1600,1600,-1.3,37840810.9,1600.914
2/1/2024,1640,1649,1619.2,1621,-1.45,41031111.5,1616.22
1/31/2024,1660,1668,1640,1644.9,-0.37,35848312.7,1653.858
1/30/2024,1644,1670,1642,1651,0.43,53712904.5,1651.0692
1/29/2024,1655,1670,1637,1644,-0.42,79327436.1,1648.049
1/28/2024,1700,1700,1647,1651,-1.37,52108962.4,1676.71
1/25/2024,1684,1699,1670,1674,-0.36,27586495.8,1677.9376
1/24/2024,1711,1711,1677,1680,0,27167729.2,1711
1/23/2024,1695,1712,1675,1680,-1.12,36305252.7,1676.016
1/22/2024,1725,1725,1691,1699,-1.22,37951903.2,1703.955
1/21/2024,1720,1789,1710,1720,0,50842549.9,1720
1/18/2024,1740,1745,1710.1,1720,-1.43,51312169,1715.118
1/17/2024,1806,1819,1745,1745,-1.96,58996029.8,1770.6024
1/16/2024,1725,1784,1712,1779.8,3.96,77053287.6,1793.31
1/14/2024,1720,1735,1705,1712,0.2,41290388.4,1723.44
1/11/2024,1690,1735,1690,1708.5,-0.66,38818658.8,1678.846
1/10/2024,1742.9,1742.9,1715,1719.9,-0.01,40340127.3,1742.72571
1/9/2024,1725,1739.8,1711,1720,0.53,58347473.9,1734.1425
1/8/2024,1720,1739,1700,1711,-0.23,45264887.6,1716.044
1/7/2024,1764,1764,1715,1715,-0.87,35462774.5,1748.6532
1/4/2024,1768,1768,1729,1730,-0.23,46766879.9,1763.9336
1/3/2024,1750,1750,1715,1734,0.46,42055225.9,1758.05
