date,open,high,low,ltp,% change,turnover,close
3/31/2024,171,172,167,168,-0.53,10098918.4,170.0937
3/28/2024,170,170,168.7,168.9,-0.3,5681165.7,169.49
3/27/2024,167.1,171,167.1,169.4,-0.53,5190794.2,166.21437
3/26/2024,171,172,169.6,170.3,-0.41,7160354.9,170.2989
3/25/2024,173.1,174,169.7,171,-1.21,8110665.7,171.00549
3/21/2024,175,178,173,173.1,-1.59,7608646.6,172.2175
3/20/2024,177.2,179,175.4,175.9,-0.79,5767114.8,175.80012
3/19/2024,177,180.5,177,177.3,0.17,4852348,177.3009
3/18/2024,178.5,180,177,177,-1.67,6170878.7,175.51905
3/17/2024,178.6,182,176.6,180,0.56,7493384.7,179.60016
3/14/2024,181.6,183.5,179,179,-1.7,13245304.7,178.5128
3/13/2024,183,185.4,180,182.1,-0.22,10613158.8,182.5974
3/12/2024,180,183.9,178,182.5,3.11,15369967.2,185.598
3/10/2024,177.6,180,175.3,177,1.61,8196675.9,180.45936
3/7/2024,174,180,174,174.2,0.11,8238228.4,174.1914
3/6/2024,175,177.9,171,174,-0.29,12723431.6,174.4925
3/5/2024,182.6,185,174,174.5,-2.57,20091552,177.90718
3/4/2024,172.2,179.1,172.2,179.1,6.04,22867.4,182.60088
3/3/2024,168,170.3,165.2,168.9,0.6,5882176.6,169.008
2/29/2024,170,170,167.5,167.9,-1.24,6166964.8,167.892
2/28/2024,172,172.5,169,170,-0.58,6651447.8,171.0024
2/27/2024,172,173.5,170,171,-0.29,7190278.7,171.5012
2/26/2024,169.1,173.5,169,171.5,0.88,6124446.3,170.58808
2/25/2024,174.6,175,169.1,170,-2.63,13714307,170.00802
2/22/2024,177.7,179,174.5,174.6,-1.74,12493182.4,174.60802
2/21/2024,178,184.6,177.5,177.7,-0.45,8872864.6,177.199
2/20/2024,177.6,181.5,177.2,178.5,-0.28,11422346.8,177.10272
2/18/2024,182,184,178.7,179,-1.65,10159715.5,178.997
2/15/2024,183,186,181.5,182,-0.76,8055887.2,181.6092
2/14/2024,183,185,180,183.4,0.22,10039226.3,183.4026
2/13/2024,190,190,182.9,183,-2.66,15909592.4,184.946
2/12/2024,188,189,187.1,188,0.8,8637921.8,189.504
2/11/2024,188.3,191.8,186,186.5,-0.48,19027133.8,187.39616
2/8/2024,187,188.8,185,187.4,1.13,13568157.1,189.1131
2/7/2024,188.7,191.9,185.3,185.3,0.16,9119735.2,189.00192
2/6/2024,188.9,188.9,185,185,-0.16,7614668,188.59776
2/5/2024,189,189,185,185.3,-0.11,14209677.4,188.7921
2/4/2024,189,189.3,185.5,185.5,-1.33,16312254.7,186.4863
2/1/2024,188.1,189.9,185.2,188,-1,33815562.6,186.219
1/31/2024,194.8,195,189,189.9,-0.84,24513246.7,193.16368
1/30/2024,195,195,190.5,191.5,0,26403816.3,195
1/29/2024,194.8,195.8,190,191.5,0.26,35398817,195.30648
1/28/2024,195.7,196,189,191,-0.52,32664087.3,194.68236
1/25/2024,199.8,199.8,190.2,192,-2.04,30393155,195.72408
1/24/2024,204,204,196,196,-2.05,58886606.5,199.818
1/23/2024,195.1,200.1,195.1,200.1,2.14,54340887.8,199.27514
1/22/2024,199,203,193.2,195.9,-0.05,86020028.1,198.9005
1/21/2024,191.1,202,191.1,196,0.51,77574500.8,192.07461
1/18/2024,194.3,198,189,195,0.36,41526882.7,194.99948
1/17/2024,199,204,194.3,194.3,-0.92,111929427.9,197.1692
1/16/2024,186,198,186,196.1,5.83,65073979.4,196.8438
1/14/2024,187,188,185,185.3,0.16,26029441.3,187.2992
1/11/2024,186.2,189,183.2,185,-1.28,20527998,183.81664
1/10/2024,191.2,195.8,186.6,187.4,-0.05,40147750.6,191.1044
1/9/2024,185,192,184.3,187.5,2.46,38619635.6,189.551
1/8/2024,182.5,185.6,182,183,0.38,20078807.2,183.1935
1/7/2024,187.6,191.1,182,182.3,-0.92,20961280.3,185.87408
1/4/2024,187,191.7,183.2,184,-1.55,35785539.7,184.1015
1/3/2024,180,188.1,175.5,186.9,2.24,32293762.4,184.032
1/2/2024,183,185.9,182,182.8,-0.11,24306856.1,182.7987
1/1/2024,186,189.9,182.3,183,-0.11,20213064,185.7954
12/28/2023,184.1,186,182,183.2,-0.49,19354690.7,183.19791
12/27/2023,187.5,199,183.1,184.1,-2.07,25039905,183.61875
12/24/2023,197,200.8,187.5,188,-4.52,47788099.5,188.0956
12/21/2023,203.3,206,196.2,196.9,-1.25,72994780.7,200.75875
12/20/2023,190,206,187.5,199.4,5.22,77386151.4,199.918
12/19/2023,190,193,185.1,189.5,-0.26,22793556.1,189.506
12/18/2023,182.2,194,180.1,190,4.34,46093926.8,190.10748
12/17/2023,167.6,183,167.6,182.1,6.49,33980486.4,178.47724
12/14/2023,171,174.4,170,171,-1.38,8854222.3,168.6402
12/13/2023,175,177,171,173.4,-0.91,24255711.3,173.4075
12/12/2023,170,175,168.5,175,2.94,19468200.2,174.998
12/11/2023,175.4,178,166.6,170,-1.16,18900293.1,173.36536
12/10/2023,161.1,172,161.1,172,8.86,2908727,175.37346
12/7/2023,156,158.5,156,158,0.89,6185455.3,157.3884
12/6/2023,156,157,155.7,156.6,-0.25,4478272.7,155.61
12/5/2023,161,161.1,156.3,157,-0.63,2868827.9,159.9857
12/4/2023,156,159.4,155.1,158,0.45,2593371.7,156.702
12/3/2023,158,160,155.9,157.3,-0.38,4426405,157.3996
11/30/2023,159,159.9,157,157.9,-0.69,3376508.6,157.9029
11/29/2023,160,162,158,159,-0.63,1748186.8,158.992
11/28/2023,160,163.2,159.1,160,-0.93,5135530.3,158.512
11/27/2023,162,164.9,161,161.5,-0.31,5390006.6,161.4978
11/26/2023,160,163,160,162,1.95,6508393.1,163.12
11/23/2023,157,162,156,158.9,0,5295591.2,157
11/22/2023,158,159.9,154,158.9,1.21,4821870.7,159.9118
11/21/2023,164,164,156,157,-3.09,6722667.5,158.9324
11/20/2023,161,164,161,162,1.57,5033768,163.5277
11/9/2023,163,163,158.3,159.5,-0.93,2981305.5,161.4841
11/8/2023,162,162.7,159,161,-1.23,3204916.7,160.0074
11/7/2023,159,163,157,163,2.52,5571162.7,163.0068
11/6/2023,160,162,157,159,0.7,4036689.8,161.12
11/5/2023,157.6,160,156.3,157.9,-0.88,4573557.5,156.21312
11/2/2023,158.1,161,158.1,159.3,-0.87,4408190.2,156.72453
11/1/2023,162,163.9,160,160.7,-0.8,5141702.4,160.704
10/31/2023,164,164,161,162,-0.61,2514840.2,162.9996
10/30/2023,162.5,164,160.6,163,0.31,3756568.4,163.00375
10/29/2023,165,166,161.9,162.5,-1.57,4348640,162.4095
10/19/2023,166,167,163.3,165.1,-0.48,2594388.4,165.2032
10/18/2023,164.9,168,162,165.9,1.78,4574621.1,167.83522
10/17/2023,162,164.9,161.5,163,1.24,3324515.7,164.0088
10/16/2023,161.5,163,159,161,-0.31,7525113.1,160.99935
10/12/2023,161.1,163,161,161.5,-0.68,7955007.2,160.00452
10/11/2023,163.9,165,162.5,162.6,-0.79,4145126.8,162.60519
10/10/2023,167.6,167.6,163.3,163.9,-0.3,5054743.5,167.0972
10/9/2023,163,166.9,163,164.4,-0.06,4507415.5,162.9022
10/8/2023,170,170,164.5,164.5,-1.5,7823170,167.45
10/5/2023,166.1,170.8,166.1,167,-0.3,7839507,165.6017
10/4/2023,169.9,170.5,167.2,167.5,0.18,5598065.2,170.20582
10/3/2023,167.5,170,167,167.2,-1.07,3162411.1,165.70775
10/2/2023,166,169.7,165,169,1.2,6051180.5,167.992
10/1/2023,170,170,166,167,-2.96,13029077.1,164.968
9/27/2023,177.5,177.9,172.1,172.1,-2.22,6261364.3,173.5595
9/26/2023,173,178.5,173,176,2.92,12103853.4,178.0516
9/25/2023,174,175,171,171,-1.72,8317847.9,171.0072
9/24/2023,178,179.4,173,174,-1.14,12118076.7,175.9708
9/21/2023,170,178,170,176,4.76,21039809.6,178.092
9/19/2023,170.2,170.2,165.4,168,0.66,3202620,171.32332
9/18/2023,164,167,163,166.9,0.6,3158553.8,164.984
9/17/2023,170,170.9,165,165.9,-3.04,7296726,164.832
9/13/2023,169,171.9,167,171.1,2.46,7760279.8,173.1574
9/12/2023,170,171.5,166.5,167,-1.65,3865563.4,167.195
9/11/2023,168.1,169.8,163,169.8,2.97,6964726.8,173.09257
9/10/2023,165,167.3,163.3,164.9,0.24,3750098.5,165.396
9/7/2023,168,168,164,164.5,-1.08,6233940.6,166.1856
9/5/2023,168,168,165.4,166.3,-0.12,2656076,167.7984
9/4/2023,168,169.6,165,166.5,0.12,4775731.7,168.2016
9/3/2023,168,168.7,166,166.3,-1.01,5450836,166.3032
8/30/2023,170,171,167.1,168,0,4763127.9,170
8/29/2023,170,170.9,167.1,168,0,3414797.8,170
8/28/2023,167,170.1,166,168,0.3,5908684.1,167.501
8/27/2023,170.9,170.9,167.1,167.5,-1.35,6316687,168.59285
8/24/2023,172,175.4,169.8,169.8,-2.58,9982205.5,167.5624
8/23/2023,172,175,169.6,174.3,2.53,9602541.4,176.3516
8/22/2023,169,170.5,166.6,170,2.04,6175512.2,172.4476
8/21/2023,166.1,171.6,166.1,166.6,-1.01,8542497.3,164.42239
8/20/2023,172,174,168,168.3,-1.87,10111093.8,168.7836
8/17/2023,173.6,173.9,170.5,171.5,0.76,7061523.3,174.91936
8/16/2023,171.1,173,169,170.2,-2.18,13172700.7,167.37002
8/15/2023,175,179,173,174,-0.63,15740898.1,173.8975
8/14/2023,176,179.5,175.1,175.1,-0.79,5676525.4,174.6096
8/13/2023,178.5,180,176.1,176.5,-1.12,6522122.6,176.5008
8/10/2023,178.6,182,176.1,178.5,-1.87,9151222.4,175.26018
8/9/2023,174.8,182.4,171,181.9,4.06,8759415.8,181.89688
8/8/2023,171.6,177,171.6,174.8,-0.17,9678947.2,171.30828
8/7/2023,178,178.9,174.2,175.1,-0.79,7300591.4,176.5938
8/6/2023,179,180,175.5,176.5,-1.12,8550554,176.9952
8/3/2023,180,182,175.5,178.5,0,24350502.1,180
8/2/2023,180,180.9,177.2,178.5,-0.78,9533512.9,178.596
8/1/2023,184,184,179,179.9,-0.72,9227930.1,182.6752
7/31/2023,182,185.9,181,181.2,-0.28,8783232.9,181.4904
7/30/2023,182.1,185.1,181,181.7,-0.16,11473167.6,181.80864
7/27/2023,186,186,181.7,182,-1.62,16506933.5,182.9868
7/26/2023,190.6,190.6,184.9,185,-1.07,8844810,188.56058
7/25/2023,191.9,191.9,185.1,187,-0.64,8714567.6,190.67184
7/24/2023,192,197.9,188.2,188.2,-2.99,53250285.3,186.2592
7/23/2023,183.5,194,183.5,194,4.98,28515667.7,192.6383
7/20/2023,188,188.8,183,184.8,-0.65,18325165,186.778
