date,open,high,low,ltp,% change,turnover,close
3/31/2024,604,607,598.5,600.9,-0.53,62462912.6,600.7988
3/28/2024,602,610,601,604.1,0.35,39682920.3,604.107
3/27/2024,608,611.7,597,602,-0.99,71047294.9,601.9808
3/26/2024,606,613.4,606,608,-0.15,63531585.4,605.091
3/25/2024,607,613.8,602,608.9,0.4,62900981.5,609.428
3/21/2024,614.1,618,605,606.5,-1.24,95976407.08,606.48516
3/20/2024,618,627,609,614.1,-0.63,74049420.3,614.1066
3/19/2024,621,629.9,615,618,-0.48,86126806.3,618.0192
3/18/2024,621,630.2,618,621,0.08,55870099.8,621.4968
3/17/2024,630,635,619,620.5,-1.59,101830678,619.983
3/14/2024,638.6,644,628,630.5,-1.79,98412718.7,627.16906
3/13/2024,647.7,650,631.1,642,1.1,206338723.1,654.8247
3/12/2024,632.4,635.5,620,635,2.42,157186727.7,647.70408
3/10/2024,624,630,618,620,-0.64,71551639.3,620.0064
3/7/2024,630,634,621,624,-0.14,65281969.1,629.118
3/6/2024,613,631,608.1,624.9,1.86,130115577.2,624.4018
3/5/2024,630,633.9,610,613.5,-1.37,128174143.1,621.369
3/4/2024,607.5,652,607.5,622,4.43,29975395.5,634.41225
3/3/2024,605.4,613,595.2,595.6,-1.62,83016772.5,595.59252
2/29/2024,615,620,604.9,605.4,-1.56,80335036.4,605.406
2/28/2024,609,620,609,615,0.82,80689282.5,613.9938
2/27/2024,616,620,606,610,-0.97,64026939.4,610.0248
2/26/2024,604.9,616.8,604.9,616,1.38,77503822,613.24762
2/25/2024,624,632,607.5,607.6,-2.63,110155956.9,607.5888
2/22/2024,633.2,637.9,617.6,624,-1.45,148797178.4,624.0186
2/21/2024,650,662.9,633.1,633.2,-2.58,111228569.5,633.23
2/20/2024,621,652.5,620,650,4.79,317370998.7,650.7459
2/18/2024,655,666,640.1,645.1,-1.62,409000252.3,644.389
2/15/2024,670,674,654.8,655.7,-1.86,228576267.1,657.538
2/14/2024,680,680,666.5,668.1,-0.58,171764880.3,676.056
2/13/2024,692.1,692.1,672,672,-2.9,325045072.5,672.0291
2/12/2024,703,704,690,692.1,-0.4,230235449.4,700.188
2/11/2024,702.7,731,691,694.9,0.86,624785368.6,708.74322
2/8/2024,698,709,688,689,-1.02,188790252.9,690.8804
2/7/2024,700,714,695.2,696.1,-1.25,248268038.9,691.25
2/6/2024,685.5,708,685.5,704.9,2.83,337602470,704.89965
2/5/2024,690,700,685.1,685.5,-0.38,185905014.1,687.378
2/4/2024,695.1,700,680,688.1,-1.01,335832809.2,688.07949
2/1/2024,720,722.1,695,695.1,-2.73,540184186.5,700.344
1/31/2024,723,728,698,714.6,0.7,638782691.5,728.061
1/30/2024,682.3,721,675.8,709.6,6.07,752786918.2,723.71561
1/29/2024,645,684,645,669,3.88,601671809.2,670.026
1/28/2024,650,659.6,635.1,645,-0.28,335345887.8,648.18
1/25/2024,657,661,645.1,646.8,-1.55,286726529.5,646.8165
1/24/2024,660,674,655,657,-0.44,251568067.7,657.096
1/23/2024,645,681,635,659.9,2.15,550980785.5,658.8675
1/22/2024,667.4,675,641,646,-5.14,786383492.5,633.09564
1/21/2024,666,709,663,681,4.44,567910241.9,695.5704
1/18/2024,614.2,661.5,558,653,8.44,1844237329,666.03848
1/17/2024,558.4,602.2,558.4,602.2,9.99,658490285.5,614.18416
3/31/2024,604,607,598.5,600.9,-0.53,62462912.6,600.7988
3/28/2024,602,610,601,604.1,0.35,39682920.3,604.107
