date,open,high,low,ltp,% change,turnover,close
3/31/2024,141.6,141.6,137.5,138,-0.65,8389199,140.6796
3/28/2024,141.8,141.8,138,138.9,-0.14,19225262.6,141.60148
3/27/2024,143.1,143.1,138.8,139.1,-0.86,13121633.3,141.86934
3/26/2024,142.6,142.6,138.8,140.3,0.29,22205353.6,143.01354
3/25/2024,143.4,143.4,138.8,139.9,-0.5,11879011.7,142.683
3/21/2024,144.6,144.6,140,140.6,-0.85,8539936.9,143.3709
3/20/2024,145.1,145.1,141.2,141.8,-0.35,10278953.6,144.59215
3/19/2024,145.8,145.8,141.1,142.3,-0.49,15437974.4,145.08558
3/18/2024,141.9,144.8,141.9,143,-0.35,31675628.4,141.40335
3/17/2024,148.3,148.3,142.6,143.5,-1.31,15638823.24,146.35727
3/14/2024,150.8,150.8,145,145.4,-1.69,10961205.7,148.25148
3/13/2024,149.9,149.9,144.5,147.9,0.61,10608320.6,150.81439
3/12/2024,147.9,147.9,143.2,147,1.38,20283987.9,149.94102
3/10/2024,146.8,146.8,142,145,0.69,10235369,147.81292
3/7/2024,146.8,146.8,142,144,0,7217987.3,146.8
3/6/2024,145.6,145.6,141,144,0.84,13250073.6,146.82304
3/5/2024,150,150.9,141.2,142.8,-4.8,15669373.9,142.8
3/4/2024,142.8,150.8,142.8,150,7.14,2331353.5,152.99592
3/3/2024,143.4,143.4,138.3,140,-0.43,8621763.1,142.78338
2/29/2024,144.8,144.8,140,140.6,-0.99,11745424.1,143.36648
2/28/2024,145.8,145.8,140.2,142,-0.7,13645933.9,144.7794
2/27/2024,145.8,145.8,140.2,143,0,11872220.1,145.8
2/26/2024,145.6,145.6,140.2,143,0.14,20747078.5,145.80384
2/25/2024,147.9,147.9,142.5,142.8,-1.52,12790674.2,145.65192
2/22/2024,145,147,143,145,-0.68,26832051.3,144.014
2/21/2024,147.9,147.9,145,146,0.69,12465561.8,148.92051
2/20/2024,148.8,148.8,144.9,145,-0.62,17756307.6,147.87744
2/18/2024,146,148,145,145.9,-1.29,20481079.2,144.1166
2/15/2024,150.8,150.8,146,147.8,-0.07,14759742,150.69444
2/14/2024,150.8,150.8,147,147.9,0,15926849.7,150.8
2/13/2024,146.5,149.9,146.5,147.9,-0.74,14704198.2,145.4159
2/12/2024,151.1,151.1,148,149,0.54,14497705.3,151.91594
2/11/2024,151.9,151.9,148.2,148.2,-0.54,15893486.2,151.07974
2/8/2024,152.7,152.7,148,149,-0.53,29154218.88,151.89069
