date,open,high,low,ltp,% change,turnover,close
3/31/2024,1379.8,1379.8,1330.1,1348,-0.59,1207288,1371.65918
3/28/2024,1324.3,1360,1323.5,1356,1.42,1759129.5,1343.10506
3/27/2024,1360,1360,1335,1337,-0.96,2417236,1346.944
3/26/2024,1380,1380,1337,1350,-0.55,1298567.4,1372.41
3/25/2024,1373,1373,1345.6,1357.5,0.1,1064927.4,1374.373
3/21/2024,1382.1,1382.1,1350,1356.2,0.09,1358485.9,1383.34389
3/20/2024,1375,1390,1355,1355,-1.09,2923255.6,1360.0125
3/19/2024,1399.9,1399.9,1370,1370,-0.44,1449179,1393.74044
3/18/2024,1383,1390,1367,1376,0.88,636126,1395.1704
3/17/2024,1385,1388,1348,1364,0.12,2072807,1386.662
3/14/2024,1411,1411.1,1362,1362.3,-5.2,4630037.4,1337.628
3/13/2024,1440,1440,1400,1437,1.55,4206460.5,1462.32
3/12/2024,1397,1415.3,1367,1415,3.28,10999399.3,1442.8216
3/10/2024,1350,1434,1328,1370,3.39,2567206.1,1395.765
3/7/2024,1349,1365,1324,1325.1,-1.04,1534494.9,1334.9704
3/6/2024,1315,1345,1315,1339,-0.07,1687377,1314.0795
3/5/2024,1379.5,1380,1323,1340,-0.92,3139291,1366.8086
3/4/2024,1326,1352.5,1326,1352.5,4.04,278725,1379.5704
3/3/2024,1303,1305,1291,1300,-1.14,4234446.3,1288.1458
2/29/2024,1349,1349,1315,1315,-0.96,2313306.7,1336.0496
2/28/2024,1320,1354.5,1302.1,1327.7,-0.55,3801192.6,1312.74
2/27/2024,1325,1343,1325,1335,0.61,473395,1333.0825
2/26/2024,1330,1330,1305.1,1326.9,-0.23,3288743.7,1326.941
2/25/2024,1313,1330,1312.2,1330,-0.56,1865389.2,1305.6472
2/22/2024,1348,1353.9,1316.1,1337.5,-0.04,3162052.7,1347.4608
2/21/2024,1315.2,1346.5,1315.2,1338,1.36,1413347,1333.08672
2/20/2024,1359,1360,1318,1320.1,-1.78,5920718,1334.8098
2/18/2024,1353,1360,1323,1344,-1.39,7543966.4,1334.1933
2/15/2024,1363.1,1374.9,1360,1363,-0.51,4663693.2,1356.14819
2/14/2024,1388,1389,1367,1370,-1.29,1494014.2,1370.0948
2/13/2024,1400,1400,1370,1387.9,-0.15,3452195.1,1397.9
2/12/2024,1387,1395,1379,1390,0,6048432.5,1387
2/11/2024,1390,1398,1390,1390,0,4013384.4,1390
2/8/2024,1407,1407,1386,1390,-0.61,2091525,1398.4173
2/7/2024,1417.8,1499,1387,1398.5,0.61,1592181,1426.44858
2/6/2024,1413,1413,1390,1390,-0.5,1686100.4,1405.935
2/5/2024,1388,1397,1378,1397,0.87,846017,1400.0756
2/4/2024,1382,1405,1379,1385,0.22,1198650,1385.0404
2/1/2024,1400,1400,1382,1382,-1.53,4225754.4,1378.58
1/31/2024,1401,1414,1396.3,1403.5,0.16,5199177.5,1403.2416
1/30/2024,1414,1414,1400.1,1401.3,-0.55,4336089.2,1406.223
1/29/2024,1405,1425,1400,1409,0.5,4340731.3,1412.025
1/28/2024,1416.8,1416.8,1392,1402,0.93,3395920.5,1429.97624
1/25/2024,1400,1414,1388.6,1389.1,-0.14,3365832.2,1398.04
1/24/2024,1387.2,1397,1387.2,1391,0.07,2233332.7,1388.17104
1/23/2024,1395,1399,1390,1390,-0.27,4516929.5,1391.2335
1/22/2024,1415,1415,1393,1393.8,-1.43,5763416,1394.7655
1/21/2024,1426,1426,1403,1414,-0.7,5757649.1,1416.018
1/18/2024,1412.1,1430,1410,1424,0.21,1255098,1415.06541
1/17/2024,1445,1465,1411.2,1421,-1.32,9952344.8,1425.926
1/16/2024,1425,1442,1409,1440,1.05,5974677,1439.9625
1/14/2024,1392,1440,1392,1425,2.4,5500040.8,1425.408
1/11/2024,1439,1439,1391.6,1391.6,-1.65,3389724,1415.2565
1/10/2024,1440,1445,1395,1415,0,3138483.5,1440
1/9/2024,1420.1,1440,1415,1415,-0.35,8939984,1415.12965
1/8/2024,1391,1424.9,1391,1420,1.5,5449082.5,1411.865
1/7/2024,1400,1400,1387,1399,-0.07,5764343.5,1399.02
1/4/2024,1456.5,1456.5,1381.2,1400,-1.96,6579522,1427.9526
1/3/2024,1454,1454,1390,1428,0.07,4212268,1455.0178
1/2/2024,1417.1,1428,1372,1427,-0.56,7192326.2,1409.16424
1/1/2024,1479,1485,1432.2,1435,-1.03,5544273.8,1463.7663
12/28/2023,1462,1477,1450,1450,-1.69,14463502,1437.2922
12/27/2023,1490,1510,1475,1475,-1.34,11001493.6,1470.034
12/24/2023,1456,1572.8,1451,1495,0.81,20464443,1467.7936
12/21/2023,1486.2,1495,1464.2,1483,-1.72,2126959,1460.63736
12/20/2023,1510,1560,1498.2,1509,1.9,14966929.2,1538.69
12/19/2023,1485,1489,1451,1480.9,0.2,6761562.4,1487.97
12/18/2023,1506.9,1506.9,1451,1478,-0.03,9112008.7,1506.44793
12/17/2023,1426,1494,1400,1478.5,2.67,6367220.9,1464.0742
12/14/2023,1445.5,1447.9,1425.1,1440,-0.38,6596828.5,1440.0071
12/13/2023,1470,1477,1441,1445.5,-1.67,4427375.2,1445.451
12/12/2023,1460,1470,1436.9,1470,1.38,6747089.4,1480.148
12/11/2023,1509.6,1509.6,1429.9,1450,-2.03,8729502.4,1478.95512
12/10/2023,1400,1480,1395,1480,6.09,4334517.8,1485.26
12/7/2023,1399,1405,1376,1395,-0.36,2072616,1393.9636
12/6/2023,1395,1400,1388,1400,0.01,1740177.5,1395.1395
12/5/2023,1388,1405,1386,1399.9,0.86,2350447.6,1399.9368
12/4/2023,1363,1400,1363,1388,0.01,5558286.5,1363.1363
12/3/2023,1382,1388,1361.1,1387.9,-1.22,1289190,1365.1396
11/30/2023,1392,1405,1363.8,1405,-1.06,2687532.4,1377.2448
11/29/2023,1410,1420,1397,1420,0.71,4260582,1420.011
11/28/2023,1370,1415,1365.1,1410,1.66,1840461,1392.742
11/27/2023,1414,1414.7,1387,1387,0,1760275.3,1414
11/26/2023,1356,1400,1350,1387,2.36,3796278.4,1388.0016
11/23/2023,1315,1356,1315,1355,3.91,2822409,1366.4165
11/22/2023,1290,1326,1290,1304,-0.08,525952.5,1288.968
11/21/2023,1325,1325,1295,1305,0,1213401,1325
11/20/2023,1315,1341.3,1305,1305,-0.76,1650381.5,1305.006
11/9/2023,1336,1336.1,1315,1315,-1.5,4984786.5,1315.96
11/8/2023,1350,1350,1322,1335,0.38,110566,1355.13
11/7/2023,1330,1340,1325,1330,0.15,3802006,1331.995
11/6/2023,1317,1328,1300,1328,1.07,2222760,1331.0919
11/5/2023,1299.1,1324,1290,1314,0.38,739681.4,1304.03658
11/2/2023,1322.9,1336.2,1300,1309,0.85,3587377,1334.14465
11/1/2023,1319,1331,1296,1298,-0.92,2090974,1306.8652
10/31/2023,1331.9,1331.9,1310.1,1310.1,-1.64,491787,1310.05684
10/30/2023,1325,1333,1321,1331.9,0.52,212545,1331.89
10/29/2023,1327,1327,1311,1325,-1.78,2294095,1303.3794
10/19/2023,1347,1355,1335,1349,1.05,403060,1361.1435
10/18/2023,1338.9,1340,1330,1335,1.31,2406443.5,1356.43959
10/17/2023,1325,1328,1291.1,1317.8,0.67,3876972.9,1333.8775
10/16/2023,1295,1314,1295,1309,-0.08,4502388,1293.964
10/12/2023,1312,1316,1301.1,1310,-0.76,8669004.4,1302.0288
10/11/2023,1314,1335,1310,1320,-0.08,4205985.4,1312.9488
10/10/2023,1317,1327,1312,1321,-0.45,1606435,1311.0735
10/9/2023,1323.1,1345,1320,1327,-1.7,6224890,1300.6073
