date,open,high,low,ltp,% change,turnover,close
3/31/2024,161,161,157.8,160,0,5909609.3,161
3/28/2024,158,168.6,157,160,1.27,5438001.9,160.0066
3/27/2024,160,162,158,158,-1.25,4348449.7,158
3/26/2024,159,160,157.5,160,0.76,4130639.9,160.2084
3/25/2024,160,161,158.8,158.8,-1.67,4016665.5,157.328
3/21/2024,160.1,162,160.1,161.5,-0.31,5576026.2,159.60369
3/20/2024,163,165,161.1,162,-0.49,4612831.4,162.2013
3/19/2024,167,167,162.8,162.8,-1.87,3015913.4,163.8771
3/18/2024,164,167,162.1,165.9,0.55,5194404.7,164.902
3/17/2024,163.3,168,163.3,165,-0.96,10656644.6,161.73232
3/14/2024,169.5,169.5,163,166.6,0.24,15426850.9,169.9068
3/13/2024,168.8,169.3,165,166.2,0.36,7665795.4,169.40768
3/12/2024,162.1,165.6,162.1,165.6,2.16,7481329.6,165.60136
3/10/2024,165,165,162.1,162.1,-0.55,6210089.9,164.0925
3/7/2024,160,165,160,163,0.68,17965626.4,161.088
3/6/2024,166.1,166.1,160,161.9,-0.61,8766772.1,165.08679
3/5/2024,166.1,168,160.1,162.9,-3.61,8337994,160.10379
3/4/2024,161.3,169,161.3,169,6.29,1264677.1,171.44577
3/3/2024,157,160,157,159,0.57,7593182.8,157.8949
2/29/2024,160.9,161,158,158.1,-0.57,9195678.3,159.98287
2/28/2024,157.2,160.3,157.2,159,-0.63,1220774.3,156.20964
2/27/2024,159,160.9,157.6,160,0.63,10067797.1,160.0017
2/26/2024,158.9,160,157.1,159,0.63,2818475.3,159.90107
2/25/2024,160,160.9,157.5,158,-0.63,2559782.3,158.992
2/22/2024,158,163,158,159,-1.06,7793724.1,156.3252
2/21/2024,160,162.9,159.9,160.7,0.56,3081850,160.896
2/20/2024,163.4,163.4,158.5,159.8,-0.75,4922774.7,162.1745
2/18/2024,163,164,160,161,-1.71,12846163.1,160.2127
2/15/2024,164,164.9,161.8,163.8,-0.12,5537162.8,163.8032
2/14/2024,164.9,167,164,164,-0.55,4910323.3,163.99305
2/13/2024,166.5,167,164.7,164.9,-0.96,4458583.1,164.9016
2/12/2024,163.7,170.2,163.7,166.5,-0.3,3270412.2,163.2089
2/11/2024,169,170,167,167,-0.3,7709761.1,168.493
2/8/2024,165.5,167.9,165,167.5,1.03,13903237,167.20465
2/7/2024,169.4,169.4,165.6,165.8,-0.18,7175232.9,169.09508
2/6/2024,168,168,166,166.1,-0.54,4261435.4,167.0928
2/5/2024,168,168,165.5,167,0.06,7668465.6,168.1008
2/4/2024,166,169,166,166.9,-0.36,7443188.9,165.4024
2/1/2024,167,169.9,167,167.5,-0.3,7592433.7,166.499
1/31/2024,172.3,173.4,167.2,168,-0.59,8356955.3,171.28343
1/30/2024,170,170,168.5,169,-0.53,12939348.4,169.099
