date,open,high,low,ltp,% change,turnover,close
3/31/2024,443,448,437.9,440,-0.56,24528721.5,440.5192
3/28/2024,442,444,440,442.5,0.45,14525360.1,443.989
3/27/2024,442,447,440,440.5,-0.29,13329809.2,440.7182
3/26/2024,445.1,448,440,441.8,-0.72,17930260.1,441.89528
3/25/2024,458,458,444.4,445,-1.33,14908542,451.9086
3/21/2024,459.9,459.9,449,451,-1.31,20947008.4,453.87531
3/20/2024,463,465,456,457,-0.65,14624891.1,459.9905
3/19/2024,460,462,456,460,-0.22,15682309,458.988
3/18/2024,473,473,459,461,-0.65,16682507.5,469.9255
3/17/2024,478,480,462,464,-1.67,23971254.6,470.0174
3/14/2024,480,480,468.3,471.9,-0.23,22778295.1,478.896
3/13/2024,477,479.9,467,473,0.85,31614147.3,481.0545
3/12/2024,458.7,470,455,469,4.27,29076699,478.28649
3/10/2024,448,451,447,449.8,0.97,17184098.6,452.3456
3/7/2024,450,450,442,445.5,0.79,12360332.5,453.555
3/6/2024,448,450,440,442,-0.9,20614974.9,443.968
3/5/2024,459,459,435,446,-2.68,38275055.4,446.6988
3/4/2024,432.4,458.3,432,458.3,8.09,6514387.2,467.38116
3/3/2024,429.5,432,422,424,-1.28,24247315.8,424.0024
2/29/2024,435,435,429,429.5,-1.26,36293346.1,429.519
2/28/2024,442,442,435,435,-0.64,14143989,439.1712
2/27/2024,434,440,432.5,437.8,0.88,19182202.4,437.8192
2/26/2024,436.5,440,430.1,434,-0.57,27597828,434.01195
2/25/2024,445,445,434,436.5,-1.91,29943351.1,436.5005
2/22/2024,450,452.9,443,445,-0.89,27844413.9,445.995
2/21/2024,450,454.8,448,449,0,27709782.7,450
2/20/2024,456,460,448,449,-1.9,40799800.6,447.336
2/18/2024,456,465,455.5,457.7,-1.04,30047882.8,451.2576
2/15/2024,465,466,462,462.5,-0.64,23763885.7,462.024
2/14/2024,471.5,471.5,464.5,465.5,-1.27,29432541.5,465.51195
2/13/2024,477,479.9,469.1,471.5,-1.15,39335243.7,471.5145
2/12/2024,476,477,474,477,0.42,23137701.8,477.9992
2/11/2024,486,486,474.5,475,-0.31,41536813.4,484.4934
2/8/2024,476,480,475,476.5,0.29,19428344.2,477.3804
2/7/2024,484.5,484.5,474.5,475.1,0.02,34651267.2,484.5969
2/6/2024,479,484,475,475,0,29864909.3,479
2/5/2024,481,481,474.9,475,-0.42,31059134.5,478.9798
2/4/2024,482,483.9,477,477,-0.75,38139312.6,478.385
2/1/2024,494.2,494.2,480,480.6,-0.83,42874748.3,490.09814
1/31/2024,489,490,484.6,484.6,-0.49,49422553.3,486.6039
1/30/2024,485,494,485,487,-0.2,28719052.7,484.03
1/29/2024,492,495,485,488,-0.61,54993722.6,488.9988
1/28/2024,497,497,487.7,491,0.61,30688492.6,500.0317
1/25/2024,492.5,492.5,483.2,488,0.64,38332635.4,495.652
1/24/2024,492,493,484,484.9,0.08,36499765.1,492.3936
1/23/2024,489,496,484,484.5,-0.92,49850590,484.5012
1/22/2024,495,495,486.5,489,-0.81,52410361.9,490.9905
1/21/2024,504,504,492,493,-1,42440772.6,498.96
1/18/2024,507,507,498,498,-1.19,39099071.9,500.9667
1/17/2024,503.5,512,503,504,0.6,56271981.3,506.521
1/16/2024,500,502,498,501,1.31,63423350.8,506.55
1/14/2024,500,501,493.5,494.5,0.3,33128429.6,501.5
1/11/2024,499,499.9,490,493,0.2,26080337,499.998
1/10/2024,495,500,490,492,0.41,45338816.5,497.0295
1/9/2024,488.1,495,488.1,490,0.39,60580784.6,490.00359
1/8/2024,495,495,488,488.1,-0.39,53586128.1,493.0695
1/7/2024,500,500,489.5,490,-1.11,48049103.8,494.45
1/4/2024,498,500.9,495,495.5,-0.1,46626099.4,497.502
1/3/2024,500,501.5,488.6,496,-0.78,74243709.5,496.1
