date,open,high,low,ltp,% change,turnover,close
3/31/2024,219,220,216.9,217.8,-0.55,5571800.1,217.7955
3/28/2024,225.4,225.4,218.2,219,-0.9,4625468.7,223.3714
3/27/2024,224,224,218,221,0.18,7925390.2,224.4032
3/26/2024,221,223.8,219.5,220.6,-0.14,5891236,220.6906
3/25/2024,224,224,220,220.9,-1.16,8768408.5,221.4016
3/21/2024,227.9,227.9,222,223.5,-0.67,7776644.6,226.37307
3/20/2024,226.9,226.9,220,225,1.12,9992077,229.44128
3/19/2024,220,225.9,220,222.5,-0.67,10891014.6,218.526
3/18/2024,227.7,227.7,222,224,0.31,10981395.7,228.40587
3/17/2024,221,224,220.2,223.3,-0.09,7531990.2,220.8011
3/14/2024,225,225,220.8,223.5,-0.8,5929942.5,223.2
3/13/2024,227.1,229,225,225.3,-0.35,9599438,226.30515
3/12/2024,225,226.8,222,226.1,1.85,6603747.6,229.1625
3/10/2024,225,225.9,221.1,222,0.45,7711371.7,226.0125
3/7/2024,222,222.2,218.1,221,1.38,5018419.9,225.0636
3/6/2024,222,224,217.6,218,-1.8,7500241.6,218.004
3/5/2024,234.6,234.6,220,222,-3.48,10373385.7,226.43592
3/4/2024,218.7,230,218.7,230,7.23,2389281.5,234.51201
3/3/2024,218.7,218.7,213,214.5,0,10997625.6,218.7
2/29/2024,219,219,214.3,214.5,-1.15,24732157.3,216.4815
2/28/2024,219,222.8,216.8,217,-0.91,8436635.1,217.0071
2/27/2024,218,222.5,215.1,219,0.32,6653719.6,218.6976
2/26/2024,219,222.9,218,218.3,-0.32,8856119.9,218.2992
2/25/2024,223,223,219,219,-1.79,14086185.5,219.0083
2/22/2024,223.1,225,222,223,-1.33,10047755.3,220.13277
2/21/2024,226,227,223.6,226,0.04,9543551.7,226.0904
2/20/2024,225,226,224.3,225.9,0.36,9935411.1,225.81
2/18/2024,227.2,229,224.5,225.1,-1.19,15820195.9,224.49632
2/15/2024,226.5,229.9,226.5,227.8,0.13,8157913.3,226.79445
2/14/2024,229,229.9,227,227.5,-1,7148108.9,226.71
2/13/2024,229,231.5,227,229.8,0.17,9761239.6,229.3893
2/12/2024,230,232,228.5,229.4,-0.04,8190401.7,229.908
2/11/2024,232.1,233.8,229.5,229.5,-0.52,9626707.5,230.89308
2/8/2024,235.6,235.6,230.3,230.7,-0.35,9136207.5,234.7754
2/7/2024,233.6,238,231,231.5,1.05,4940227.6,236.0528
2/6/2024,229.1,231.9,229.1,229.1,0,12114475.9,229.1
2/5/2024,231.9,231.9,228.5,229.1,-0.13,9439505.3,231.59853
2/4/2024,229.1,231,228.5,229.4,-0.69,15356415.9,227.51921
2/1/2024,231,231.5,229.6,231,-0.26,12477857.5,230.3994
1/31/2024,227.3,232.5,227.3,231.6,-0.13,10395209,227.00451
1/30/2024,233,234.9,231.2,231.9,-0.47,23321223.2,231.9049
1/29/2024,238,238,232.2,233,-0.43,8645891.4,236.9766
1/28/2024,235,235,232.6,234,-0.38,7192889.5,234.107
1/25/2024,234,235.7,233,234.9,-0.34,14045418.3,233.2044
1/24/2024,236,237,232.2,235.7,0.9,13695984.4,238.124
1/23/2024,236.8,236.8,232.1,233.6,0.34,35873341.7,237.60512
1/22/2024,233.5,238,232.5,232.8,-0.72,22399607.7,231.8188
1/21/2024,238,238,233,234.5,-2.13,32660517.8,232.9306
1/18/2024,246,246,238.3,239.6,-1.28,76797390.2,242.8512
1/17/2024,242,246.8,239.5,242.7,1.34,36336427.6,245.2428
1/16/2024,237,240,234.7,239.5,1.53,50906335.3,240.6261
1/14/2024,241,241,235,235.9,-0.88,33012682,238.8792
1/11/2024,237,241.6,237,238,0.42,10308923.1,237.9954
1/10/2024,238.5,241,237,237,0.42,19892703.2,239.5017
1/9/2024,239.7,239.7,234,236,0.43,25879379.3,240.73071
1/8/2024,237,238.7,232.3,235,0,16965845.5,237
1/7/2024,239,239,233,235,-0.51,22360797,237.7811
1/4/2024,238,240,235.9,236.2,-0.76,12558701.8,236.1912
1/3/2024,235.2,239,235.2,238,0.42,13569484.5,236.18784
1/2/2024,239,240,237,237,-1.25,14987752.8,236.0125
1/1/2024,244.8,244.8,238,240,0,22865216,244.8
12/28/2023,246,246,239.1,240,-0.83,13053303.8,243.9582
12/27/2023,242.3,246.5,240.1,242,-0.21,14839495.5,241.79117
12/24/2023,245,250.6,242.5,242.5,-1.3,20383854.1,241.815
12/21/2023,255,255,245,245.7,-3.65,36793090.7,245.6925
12/20/2023,259.4,259.7,253,255,0.24,36830052.4,260.02256
12/19/2023,246.5,254.9,246.2,254.4,3.84,33929472.7,255.9656
12/18/2023,242,245.8,240,245,2.08,32479724.1,247.0336
12/17/2023,240.1,243,231.2,240,-2.04,37877036.7,235.20196
12/14/2023,244,245,240,245,0.04,19772058.7,244.0976
12/13/2023,246.8,247.7,243,244.9,0,10304822.2,246.8
12/12/2023,243.9,246.5,242.6,244.9,0.37,20382908.7,244.80243
12/11/2023,249.7,254.6,240.2,244,-0.37,23806806.2,248.77611
12/10/2023,243,246,243,244.9,2.04,3346822.5,247.9572
12/7/2023,236,240.4,233.5,240,2.13,15985488.6,241.0268
12/6/2023,236.2,238,234,235,-0.42,6889881.6,235.20796
12/5/2023,238.9,239,236,236,-0.21,4380841.7,238.39831
12/4/2023,238,239,236.1,236.5,-0.55,4483460.7,236.691
12/3/2023,242.7,242.7,236.5,237.8,-0.5,7705783.3,241.4865
