date,open,high,low,ltp,% change,turnover,close
3/31/2024,205,207,204,204.3,-1.4,10856689.1,202.13
3/28/2024,202,210,202,207.2,0.97,13270230.9,203.9594
3/27/2024,212,212,205,205.2,-1.3,11672390.7,209.244
3/26/2024,203,208.9,203,207.9,1.32,9510948.7,205.6796
3/25/2024,206,208.9,203.7,205.2,-0.82,11025639.6,204.3108
3/21/2024,208,210,206.5,206.9,-0.96,13563192.9,206.0032
3/20/2024,210,214,208,208.9,-0.52,15866964.2,208.908
3/19/2024,209.1,213.5,209,210,-0.94,21284608.2,207.13446
3/18/2024,210,212,209.6,212,0.71,11927779.3,211.491
3/17/2024,213,215,209.2,210.5,-0.94,15306957.9,210.9978
3/14/2024,216,218,212.3,212.5,-2.07,15149268.3,211.5288
3/13/2024,220,221,216,217,-0.91,23335329.5,217.998
3/12/2024,215.9,220,213.5,219,3.45,29803850.6,223.34855
3/10/2024,213,214.6,210.5,211.7,0.62,12086790.5,214.3206
3/7/2024,210,214.9,208.3,210.4,0.48,13779779.4,211.008
3/6/2024,210,213,205.9,209.4,0.67,35840713.9,211.407
3/5/2024,218,218,207.3,208,-4.15,24873473.8,208.953
3/4/2024,205.9,218,205.9,217,7.48,4615795.9,221.30132
3/3/2024,201.5,202.5,200,201.9,-0.05,14243859,201.39925
2/29/2024,205.8,209.8,201.1,202,-2.27,21736513.8,201.12834
2/28/2024,205.1,210.1,205.1,206.7,-0.67,10978325.5,203.72583
2/27/2024,208,211,206,208.1,0.29,17290699.6,208.6032
2/26/2024,206.6,209.1,205.1,207.5,1.22,15666953.1,209.12052
2/25/2024,207.3,210,204.4,205,-1.91,18013666.1,203.34057
2/22/2024,211,213,208.1,209,-0.95,22407700.3,208.9955
2/21/2024,217.8,217.9,210.8,211,-1.31,19032416.8,214.94682
2/20/2024,211,219,208.2,213.8,1.33,32205031.4,213.8063
2/18/2024,221.6,221.6,210.2,211,-2.9,31077565.7,215.1736
2/15/2024,216.8,221.3,216.8,217.3,-0.55,23935136.3,215.6076
2/14/2024,220,221.9,217.1,218.5,-0.68,15355814.4,218.504
2/13/2024,222.6,224.5,218.8,220,-2.61,38998318.3,216.79014
2/12/2024,222.5,226,222.5,225.9,1.21,19284171.2,225.19225
2/11/2024,226,230,223.1,223.2,-0.89,28832639,223.9886
2/8/2024,225,228.8,224.1,225.2,-0.09,22814721.7,224.7975
2/7/2024,229,229,224,225.4,0.36,20484431.7,229.8244
2/6/2024,225.2,227,224.1,224.6,-0.13,20720266.8,224.90724
2/5/2024,229,229,224,224.9,-0.4,16987147.6,228.084
2/4/2024,222,232.5,222,225.8,0.8,120322299.3,223.776
2/1/2024,231,231,223,224,-1.32,25040688.9,227.9508
1/31/2024,228.9,237.9,226.5,227,-2.7,77286097.2,222.7197
1/30/2024,229,236.6,228.2,233.3,1.83,65580091.1,233.1907
1/29/2024,223,240,222,229.1,2.28,77775437,228.0844
1/28/2024,225,227.5,222,224,-0.44,25335486,224.01
1/25/2024,218.6,231.5,218.6,225,0.9,42464365.1,220.5674
1/24/2024,234.6,234.6,220,223,-3.04,66189940.6,227.46816
