date,open,high,low,ltp,% change,turnover,close
3/31/2024,158,160,157,157.7,-1.13,13457298.7,156.2146
3/28/2024,160,160.5,158.5,159.5,-0.31,11252618.9,159.504
3/27/2024,163,163,159.5,160,-0.37,9356869.9,162.3969
3/26/2024,160,163.2,160,160.6,-0.25,9804112.5,159.6
3/25/2024,163,163,160,161,-1.23,15862169,160.9951
3/21/2024,166,166,162,163,-1.21,10411140.3,163.9914
3/20/2024,165.1,165.9,163,165,0,6028254.7,165.1
3/19/2024,167,167,164.2,165,-1.14,6253389.2,165.0962
3/18/2024,164.5,168,164,166.9,0.3,11169649,164.9935
3/17/2024,170.9,170.9,164.7,166.4,-1.25,13545024.4,168.76375
3/14/2024,170,171,168,168.5,-2.03,7235583.9,166.549
3/13/2024,175,175,168.9,172,-0.52,8327958.3,174.09
3/12/2024,164,173.9,164,172.9,4.85,22563112.8,171.954
3/10/2024,164,165,164,164.9,0.67,7459907.2,165.0988
3/7/2024,167,167,163.7,163.8,-0.24,5166802.4,166.5992
3/6/2024,163,165.7,162,164.2,0.12,8246517.1,163.1956
3/5/2024,169,170,163.2,164,-1.8,9329310.7,165.958
3/4/2024,163.5,167,163.5,167,4.05,525632,170.12175
3/3/2024,165,165.7,160,160.5,-1.29,11787010.4,162.8715
2/29/2024,163,165,162,162.6,-0.85,14044588.7,161.6145
2/28/2024,166.8,166.8,161.5,164,0,8195185,166.8
2/27/2024,166.1,169.4,162,164,0.68,6590909.4,167.22948
2/26/2024,164,165,161.3,162.9,-0.61,11885007.2,162.9996
2/25/2024,166,167.1,163,163.9,-1.27,12766477.2,163.8918
2/22/2024,167,168,164.5,166,-0.42,12833372.6,166.2986
2/21/2024,167.1,169,166.2,166.7,-0.06,8766246,166.99974
2/20/2024,170,170,166.2,166.8,-0.36,7309710.4,169.388
2/18/2024,169,170.3,166.5,167.4,-0.18,11338368.9,168.6958
2/15/2024,168,169.5,167,167.7,-0.71,12501887.4,166.8072
2/14/2024,168,169.7,167.5,168.9,0.24,8272813.2,168.4032
2/13/2024,169.1,169.9,168.2,168.5,-0.65,14179420.6,168.00085
2/12/2024,169,171,169,169.6,-0.06,8628385.7,168.8986
2/11/2024,170,172.8,169.5,169.7,-0.18,7377454.3,169.694
2/8/2024,173,173,169.9,170,-0.99,13011271.1,171.2873
2/7/2024,173.4,173.4,170.6,171.7,1,9270932.7,175.134
2/6/2024,172.9,172.9,169.5,170,0,8703412,172.9
2/5/2024,170,171,169,170,0.29,11355796.9,170.493
2/4/2024,171.2,171.4,169,169.5,-0.99,22001501.3,169.50512
2/1/2024,174,174,170.9,171.2,-0.75,20767597.1,172.695
1/31/2024,173.1,174.8,172,172.5,-0.23,12389067.2,172.70187
1/30/2024,172.2,174.8,172,172.9,-0.06,21167511.7,172.09668
1/29/2024,173,174.9,172.5,173,-0.17,16524688.9,172.7059
1/28/2024,173.7,175,172,173.3,-0.17,18965325,173.40471
1/25/2024,173,176,173,173.6,-0.23,14740192.3,172.6021
1/24/2024,177,177,173.5,174,0,10805967.1,177
1/23/2024,176,178.8,174,174,-1.02,11707452.4,174.2048
1/22/2024,177,179.9,174,175.8,-0.96,16986510.3,175.3008
1/21/2024,180,182,177.2,177.5,-2.26,33790658.2,175.932
1/18/2024,184.5,184.9,181.1,181.6,-1.57,22476638.5,181.60335
1/17/2024,183.7,189.6,183,184.5,0.44,49388296.1,184.50828
1/16/2024,178.4,184.5,175.2,183.7,4.55,37725259.1,186.5172
1/14/2024,177.5,180,174.6,175.7,0.46,11833336.9,178.3165
1/11/2024,178,179.5,174.6,174.9,-1.19,12445894.5,175.8818
1/10/2024,173,178,173,177,1.26,19720382.3,175.1798
1/9/2024,175.5,178,173.1,174.8,1.27,12972185.1,177.72885
1/8/2024,174.9,175,172,172.6,0.12,16997323.8,175.10988
1/7/2024,175,175,172.2,172.4,-1.6,21417740.4,172.2
1/4/2024,180,180,174,175.2,-1.02,14822537.5,178.164
1/3/2024,177,177,173.6,177,1.26,11664292.3,179.2302
1/2/2024,177,178,173.1,174.8,-1.13,19435213.2,174.9999
1/1/2024,181,181,176.8,176.8,-0.67,12385454.6,179.7873
12/28/2023,180,181.5,177.4,178,-1.11,13406545.7,178.002
12/27/2023,183,183.1,177.9,180,0,18944341.9,183
12/24/2023,183,184,179,180,-2.17,22058806.8,179.0289
12/21/2023,185.2,189,184,184,-2.28,18742250.9,180.97744
12/20/2023,185.1,188.9,185,188.3,0.86,30636332.5,186.69186
12/19/2023,184,187.5,182.5,186.7,2.58,22862326.5,188.7472
12/18/2023,178,183.1,176.1,182,2.54,28226067,182.5212
12/17/2023,178.3,179.5,168,177.5,-2.42,22332618.9,173.98514
12/14/2023,181,183,180.1,181.9,-0.05,10856490.1,180.9095
12/13/2023,180.6,185,180.6,182,0,17024478.2,180.6
12/12/2023,181,183.9,181,182,0,13382179.8,181
12/11/2023,185,186,178.5,182,0,25826109.6,185
12/10/2023,175,184.6,175,182,3.82,2049356.6,181.685
12/7/2023,174,176.4,173.8,175.3,0.34,4656756.2,174.5916
12/6/2023,174.1,176.9,173.6,174.7,0.06,6634118.5,174.20446
12/5/2023,178,178.5,173.4,174.6,-0.23,9977880.9,177.5906
12/4/2023,175,177,175,175,-1.69,8219554.5,172.0425
12/3/2023,176.5,178.9,175,178,-0.56,9008286.1,175.5116
11/30/2023,178.4,182,177.9,179,-1.38,6338556,175.93808
11/29/2023,178.8,184.9,178.8,181.5,-0.27,4597034.9,178.31724
11/28/2023,183,184.4,180.8,182,0,7782746.8,183
11/27/2023,181.6,186,181,182,-1.09,8345724.1,179.62056
11/26/2023,181,185,177.4,184,-0.33,18912154.2,180.4027
11/23/2023,175,184.6,173.5,184.6,4.77,20514839.6,183.3475
11/22/2023,174,176.2,172,176.2,1.09,7742085.3,175.8966
11/21/2023,175,176.8,173,174.3,-0.4,4632748,174.3
11/20/2023,176.5,177.3,173.1,175,0.52,10635138.2,177.4178
11/9/2023,173.1,174.8,173.1,174.1,-0.29,7392126.1,172.59801
11/8/2023,174,175,173,174.6,0.34,6490539.1,174.5916
11/7/2023,174.9,175.7,173,174,0,6510461.8,174.9
11/6/2023,174,174.7,172.3,174,0.23,12069924.6,174.4002
11/5/2023,173,174.7,171.8,173.6,0.35,16706306.2,173.6055
11/2/2023,174,174,172.5,173,-0.29,4883627.3,173.4954
11/1/2023,174,174.8,172.5,173.5,-0.23,4068940.1,173.5998
10/31/2023,173.2,175.3,173,173.9,-0.63,8543818.2,172.10884
10/30/2023,178.5,178.5,172.1,175,0,8529809.1,178.5
10/29/2023,177,177,173,175,-0.85,8703063.2,175.4955
10/19/2023,176.2,179.7,175,176.5,-0.17,9233135.3,175.90046
10/18/2023,175.5,178.5,175.5,176.8,1.03,12621883.8,177.30765
10/17/2023,174,180,173.5,175,0.98,16092427.6,175.7052
10/16/2023,175,176,172.1,173.3,-0.46,9707876.9,174.195
10/12/2023,175.1,176,173.5,174.1,-1.08,50423362.8,173.20892
10/11/2023,175.1,176.9,175,176,0.51,7612057.7,175.99301
10/10/2023,175,177.8,174.8,175.1,-0.11,14065444.9,174.8075
10/9/2023,174.8,177,174.8,175.3,0.11,11212095.3,174.99228
10/8/2023,173.9,176,173.9,175.1,-1.3,15339565.9,171.6393
10/5/2023,175.6,178.1,175.6,177.4,0.17,6736157.4,175.89852
10/4/2023,175,178,175,177.1,0.62,8515801.8,176.085
10/3/2023,175.5,177,175,176,0.28,14539282,175.9914
10/2/2023,175,178,174.9,175.5,-0.28,8927098.8,174.51
10/1/2023,175,178,175,176,-0.9,10874994.5,173.425
9/27/2023,180,180,177,177.6,-0.06,7551808.8,179.892
9/26/2023,175.5,186,175.5,177.7,-0.73,16205212.9,174.21885
9/25/2023,181,181,177.6,179,-0.56,14113554.3,179.9864
9/24/2023,180,183.6,177.1,180,0.11,15632138.1,180.198
9/21/2023,178.5,180.8,177,179.8,2.74,16816655.2,183.3909
9/19/2023,176,178,174,175,0.17,9963397.4,176.2992
9/18/2023,174,176,173.2,174.7,0.34,5161922.2,174.5916
9/17/2023,175,175.5,174,174.1,-0.8,13630978,173.6
9/13/2023,177.7,177.7,174,175.5,0.29,9794527,178.21533
9/12/2023,178.9,178.9,174.6,175,-1.41,7588811.8,176.37751
9/11/2023,175,183,174,177.5,1.31,8892463.4,177.2925
9/10/2023,173.5,178,173.5,175.2,0.11,7455708.8,173.69085
9/7/2023,174.1,177,174,175,-0.28,10565525.1,173.61252
9/5/2023,172.5,179.4,172.5,175.5,-0.28,7680335.4,172.017
9/4/2023,175,178,174.1,176,1.03,5774190.1,176.8025
9/3/2023,176,178,174.1,174.2,-1.02,10196664.7,174.2048
8/30/2023,178,182,175.1,176,-1.01,27347638,176.2022
8/29/2023,178.2,179,176.2,177.8,-0.17,6714263.8,177.89706
8/28/2023,177.1,181,177.1,178.1,0.51,5633584.6,178.00321
8/27/2023,180,180,177.2,177.2,-1.12,8521937.4,177.984
8/24/2023,176,183,176,179.2,-0.17,14443191.4,175.7008
8/23/2023,180,181,177,179.5,1.36,5818122.2,182.448
8/22/2023,181.5,181.5,176.5,177.1,-0.51,11912432.2,180.57435
8/21/2023,181,181,177.1,178,-1.49,15267141.8,178.3031
8/20/2023,179.9,183.9,179,180.7,0.44,11497011.6,180.69156
8/17/2023,180,180.9,178.3,179.9,1.41,11071798.4,182.538
8/16/2023,177.5,180,177.3,177.4,-1.22,15355798.6,175.3345
8/15/2023,184,184,179.5,179.6,-1.59,13446880.6,181.0744
8/14/2023,181.5,183.5,180,182.5,1.16,15679903.6,183.6054
8/13/2023,179,181.5,177.1,180.4,0.78,16736548.5,180.3962
8/10/2023,176.4,181.7,176.4,179,-0.5,13708379.2,175.518
8/9/2023,177,180,175.1,179.9,1.64,11540186.1,179.9028
8/8/2023,178,178,174.3,177,0.57,20589466,179.0146
8/7/2023,181.9,181.9,174,176,-3.3,29482230,175.8973
8/6/2023,193,195,182,182,-5.16,50298742.7,183.0412
8/3/2023,193,195.5,191,191.9,-0.05,13921422,192.9035
8/2/2023,192.5,192.8,189,192,0.58,12218071.4,193.6165
8/1/2023,193,196.9,190,190.9,-1.19,16779513.7,190.7033
7/31/2023,193,195.7,192,193.2,0.62,14186897.2,194.1966
7/30/2023,195,199,191,192,-0.83,17837540.2,193.3815
7/27/2023,199.9,199.9,193.5,193.6,-1.58,26878602.4,196.74158
7/26/2023,201,202,195.2,196.7,-0.96,24270307.7,199.0704
7/25/2023,205,207.9,196.9,198.6,-3.12,44725694.1,198.604
7/24/2023,212,217,204,205,-4.61,101390634.6,202.2268
7/23/2023,200.9,215,196.1,214.9,8.54,76259190,218.05686
7/20/2023,198,199.9,195,198,1.75,45023951.1,201.465
7/19/2023,185,195.4,183.5,194.6,5.25,51364645.1,194.7125
7/18/2023,186.9,188,184,184.9,0.49,27147931.6,187.81581
7/17/2023,174,185.9,174,184,5.87,26464862.7,184.2138
7/16/2023,175,177.7,172.5,173.8,-0.63,24162488.2,173.8975
7/13/2023,170.4,178,170.4,174.9,0.63,27053841.9,171.47352
7/12/2023,176,176,172.6,173.8,-0.63,19669285.9,174.8912
7/11/2023,171.1,176,171,174.9,1.8,11258134.6,174.1798
7/10/2023,175,176.3,171,171.8,-1.21,22503647,172.8825
7/9/2023,170.1,176,170.1,173.9,0.23,23337762,170.49123
7/6/2023,176.9,176.9,173.1,173.5,-0.23,19386474.1,176.49313
7/5/2023,175.8,177,173.5,173.9,-1.08,37348698.1,173.90136
7/4/2023,172.5,182,172.5,175.8,-0.11,18077155.8,172.31025
7/3/2023,174.6,180,174.6,176,-1.18,19087700.9,172.53972
