date,open,high,low,ltp,% change,turnover,close
3/31/2024,594.2,599,592,594.9,-0.18,13314678.5,593.13044
3/28/2024,591.1,600,590,596,-0.17,19298360.8,590.09513
3/27/2024,599.9,600.9,596,597,-0.33,16161444.2,597.92033
3/26/2024,601,606.9,590,599,-0.17,15971615,599.9783
3/25/2024,606,610,592,600,-0.99,19818286.5,600.0006
3/21/2024,618.4,618.4,605.9,606,-0.98,20282257.1,612.33968
3/20/2024,622,622,610,612,0.33,9792462.4,624.0526
3/19/2024,611,619.7,609,610,0,16048991.8,611
3/18/2024,610,617.9,608,610,-0.16,8440135.1,609.024
3/17/2024,626.8,626.8,608.1,611,-0.81,19865232.5,621.72292
3/14/2024,627,629.9,615,616,-1.6,22828520.5,616.968
3/13/2024,636,638,618,626,0.32,28369015.3,638.0352
3/12/2024,600,624.5,600,624,4.35,37275476.8,626.1
3/10/2024,597.1,607.8,585,598,0.34,30695053.2,599.13014
3/7/2024,600.1,610,588,596,-0.83,32251245.4,595.11917
3/6/2024,605,611.8,595,601,-0.64,13273848.2,601.128
3/5/2024,636.4,636.4,601.9,604.9,-3.06,14641022.2,616.92616
3/4/2024,600.6,624,600.6,624,5.96,307680,636.39576
3/3/2024,595,595,588,588.9,-0.69,9972230.9,590.8945
2/29/2024,592,596,592,593,-0.67,9246320.6,588.0336
2/28/2024,600,605.9,596,597,-0.5,9099872.5,597
2/27/2024,606,606,593,600,0.67,14134906,610.0602
2/26/2024,597,606,590,596,-0.17,14360393.9,595.9851
2/25/2024,605,617,597,597,-1.32,13470274.4,597.014
2/22/2024,615,620,600,605,-0.98,31379209.2,608.973
2/21/2024,612,620.1,609.1,611,-0.18,16313263.6,610.8984
2/20/2024,615,622.9,609.4,612.1,-0.28,17332178.5,613.278
2/18/2024,614,618,612,613.8,-0.21,14778359.5,612.7106
2/15/2024,615,624,613,615.1,-0.47,10568901.1,612.1095
2/14/2024,624,624,615,618,-0.16,13536586.3,623.0016
2/13/2024,625,627,618,619,-1.75,19827408.8,614.0625
2/12/2024,620.2,632.8,620,630,0.48,17053325.9,623.17696
2/11/2024,630,631,620,627,-0.08,18898844.5,629.496
2/8/2024,630,633,625.1,627.5,0.4,13835036.1,632.52
2/7/2024,630.4,655.8,625,625,1.12,17747561.2,637.46048
2/6/2024,620,625,616,618.1,0.26,14735974.3,621.612
2/5/2024,621.8,621.9,614,616.5,0.57,10376829,625.34426
2/4/2024,620,620,612,613,-0.94,15747439.1,614.172
2/1/2024,620,625,609.6,618.8,-0.99,36830809.3,613.862
1/31/2024,639,639,625,625,-0.9,17922452.6,633.249
1/30/2024,637,637,630,630.7,0.11,22687663.8,637.7007
1/29/2024,634,634.8,628,630,0.48,20073778.8,637.0432
1/28/2024,630,634.4,625,627,0.32,22010495.1,632.016
1/25/2024,634,637,625,625,-0.32,23506833.4,631.9712
1/24/2024,625,637,625,627,0.32,21941441.7,627
1/23/2024,620,637,618,625,-0.76,26297733.7,615.288
1/22/2024,635.4,640,615,629.8,-2.85,65850539.1,617.2911
1/21/2024,654.1,670,647.5,648.3,-0.89,35412235.8,648.27851
1/18/2024,655.5,660,651,654.1,-0.97,25388779.2,649.14165
1/17/2024,665,673.9,660,660.5,-0.23,39797793.6,663.4705
1/16/2024,653,665,653,662,1.07,43866227.5,659.9871
1/14/2024,664,664,650.9,655,0.61,17684516.3,668.0504
1/11/2024,660,667,650,651,-1.36,28783847.6,651.024
1/10/2024,671,675,658,660,-1.49,33422365,661.0021
1/9/2024,665,671,662,670,2.76,31320185.1,683.354
1/8/2024,645,655,640,652,2.68,40014006.9,662.286
1/7/2024,652,653,635,635,-2.76,52775691,634.0048
1/4/2024,672.9,672.9,648,653,-1.03,42294774.1,665.96913
1/3/2024,668,668,650,659.8,0.73,19817368.1,672.8764
1/2/2024,667,670,653,655,-1.8,21716312.2,654.994
