date,open,high,low,ltp,% change,turnover,close
3/31/2024,180,191,179.6,179.6,-0.22,4175836.8,179.604
3/28/2024,179.3,191.2,178,180,-0.17,4326151,178.99519
3/27/2024,180,188.2,179.5,180.3,-0.39,4256266,179.298
3/26/2024,181,182.5,180.1,181,-1.09,3695092.8,179.0271
3/25/2024,187,187,181.2,183,-1.67,5501780.9,183.8771
3/21/2024,190.6,190.6,186,186.1,-1.01,1921905,188.67494
3/20/2024,189.9,191,187,188,-0.27,5359492.6,189.38727
3/19/2024,189,189.8,187,188.5,-0.26,3416635.5,188.5086
3/18/2024,191,192,187.7,189,-2.73,5877449.7,185.7857
3/17/2024,186.7,199.1,186.7,194.3,2.37,14443377.5,191.12479
3/14/2024,192.4,195.8,188.5,189.8,-3.11,5418685.6,186.41636
3/13/2024,201.6,201.6,190.5,195.9,-0.91,7955217.3,199.76544
3/12/2024,186.1,197.7,183,197.7,7.62,8557720.8,200.28082
3/10/2024,180,183.9,179.3,183.7,1.16,3372110,182.088
3/7/2024,184,187,180,181.6,0.11,3955058.2,184.2024
3/6/2024,182,182,178,181.4,0.78,4029618.1,183.4196
3/5/2024,188.5,188.5,179,180,-2.65,8271108.1,183.50475
3/4/2024,180.4,184.9,180.4,184.9,3.99,382223.8,187.59796
3/3/2024,175.4,179,174.6,177.8,0.34,6041226.1,175.99636
2/29/2024,177,180,176,177.2,0.11,13312018.8,177.1947
2/28/2024,177.1,179,176.2,177,-0.28,3577201.9,176.60412
2/27/2024,179,179,176.4,177.5,0.28,7700487,179.5012
2/26/2024,177,179,175.6,177,-0.34,6767401,176.3982
2/25/2024,182,182,177.6,177.6,-1.39,9295958.6,179.4702
2/22/2024,182,183.8,180,180.1,-1.48,10044609.5,179.3064
2/21/2024,186.5,188.9,182.2,182.8,-1.88,11518523.7,182.9938
2/20/2024,189,189,185.9,186.3,-0.11,3982116.7,188.7921
2/18/2024,186,189,186,186.5,-1.43,7142905.4,183.3402
2/15/2024,188,190,187,189.2,-0.42,4703515.5,187.2104
2/14/2024,191,191,189,190,-0.05,4485843.8,190.9045
2/13/2024,191,192.1,190,190.1,-0.47,5504824.6,190.1023
2/12/2024,191,193.8,190.1,191,-0.37,3836891.9,190.2933
2/11/2024,192,194,191.1,191.7,-0.57,4287477.3,190.9056
2/8/2024,192,193,190.1,192.8,0.42,6668101,192.8064
2/7/2024,195,195,190.6,192,0,8188419.4,195
2/6/2024,192,193,190.5,192,0,5806765,192
2/5/2024,192,192.9,191,192,0.52,4792843.2,192.9984
2/4/2024,192,193,189.1,191,-0.78,7231016.7,190.5024
2/1/2024,193,194,192,192.5,-1.28,7641781.4,190.5296
1/31/2024,198,198,192.2,195,-0.51,13422454,196.9902
1/30/2024,196,200.9,193.9,196,-0.71,13804996.1,194.6084
1/29/2024,196,213,194.2,197.4,0.71,7685428.6,197.3916
1/28/2024,201,201,195,196,-0.76,6935204.2,199.4724
1/25/2024,196.1,199,194.1,197.5,0.25,11674098.4,196.59025
1/24/2024,197,198,195.2,197,0.15,8681596.1,197.2955
1/23/2024,196,197.9,195,196.7,0.41,5530996.6,196.8036
1/22/2024,198.1,201,194,195.9,-1.11,19361275.8,195.90109
1/21/2024,208,208,198.1,198.1,-4.76,20472206.7,198.0992
1/18/2024,208,209,205.1,208,-0.53,8738299.1,206.8976
1/17/2024,210,214,204,209.1,1.55,18932939.1,213.255
1/16/2024,202,206.4,202,205.9,2.18,15879917.8,206.4036
1/14/2024,200,203,199,201.5,1.26,9199416.5,202.52
1/11/2024,199.5,201.8,198,199,-0.25,5399817,199.00125
1/10/2024,200.5,204.5,197.7,199.5,1.48,9336206.2,203.4674
1/9/2024,200.9,200.9,196.1,196.6,-0.25,11103978.4,200.39775
1/8/2024,197,199.3,194.6,197.1,0.82,12686900.6,198.6154
1/7/2024,197,198.5,195.1,195.5,-1.06,20104993.5,194.9118
1/4/2024,201,202,196.2,197.6,-1.69,15223461.7,197.6031
1/3/2024,200,201.9,199.7,201,0.4,6205387.7,200.8
1/2/2024,202,202,200.2,200.2,-1.14,5405245.4,199.6972
1/1/2024,203.7,205,202,202.5,-0.59,7193822.6,202.49817
