date,open,high,low,ltp,% change,turnover,close
3/31/2024,721,734,721,728.9,-0.69,11253281.3,716.0251
3/28/2024,723.3,734,721,734,0.27,12299925.5,725.25291
3/27/2024,735,747,728,732,-0.49,18614736.1,731.3985
3/26/2024,733,737,727.1,735.6,0.35,11560775.3,735.5655
3/25/2024,726,734.9,725.5,733,-0.81,9250384.8,720.1194
3/21/2024,747,752,735.1,739,-1.06,14521601.5,739.0818
3/20/2024,750.7,763,745,746.9,-0.51,10710507,746.87143
3/19/2024,750,771,750,750.7,-1.09,11330999,741.825
3/18/2024,753.2,768,753.2,759,-0.65,15352653.9,748.3042
3/17/2024,762.1,776,761.1,764,-1.55,5231178.5,750.28745
3/14/2024,772.4,780.2,770,776,-1.52,33450763.4,760.65952
3/13/2024,792.5,792.5,770,788,1.42,44314991.3,803.7535
3/12/2024,775.2,780,753,777,2.24,22871905.7,792.56448
3/10/2024,758,760,750.4,760,0.4,10413953.3,761.032
3/7/2024,753,762,748,757,0.41,15329875.2,756.0873
3/6/2024,733,764,733,753.9,1.47,34028188.5,743.7751
3/5/2024,780,780,742.3,743,-5.95,24850071.7,733.59
3/4/2024,735,793,735,790,9.57,1994068.5,805.3395
3/3/2024,746,746,715.1,721,-1.5,12616440.9,734.81
2/29/2024,736.1,748.8,732,732,-2.14,30885081.1,720.34746
2/28/2024,750,753,743,748,0.27,12190426.3,752.025
2/27/2024,741,757,741,746,0.66,12639950,745.8906
2/26/2024,750,753,738,741.1,-1.19,30197366.4,741.075
2/25/2024,767,767,737,750,-0.41,57532237.6,763.8553
2/22/2024,770,770,747,753.1,-0.63,35828730.1,765.149
2/21/2024,770,776,756,757.9,-0.67,14648485.5,764.841
2/20/2024,755,771.1,746,763,0.63,25759864.1,759.7565
2/18/2024,760.2,775,755.2,758.2,-1.83,24891413.5,746.28834
2/15/2024,775.2,780,772,772.3,-2.24,32375029,757.83552
2/14/2024,790,792,766,790,1.8,19912655.8,804.22
2/13/2024,782.1,800,765,776,-2.51,58444156.1,762.46929
2/12/2024,792,799.9,786,796,0.13,39906177.9,793.0296
2/11/2024,800,816,790.1,795,0.51,54841258.7,804.08
2/8/2024,817,817,790,791,-1.25,29894254.4,806.7875
2/7/2024,818,825,801,801,-2.08,35177058.3,800.9856
2/6/2024,787,852,780.1,818,4.47,87461214.6,822.1789
2/5/2024,777,791,777,783,0.77,24199950.3,782.9829
2/4/2024,777,795.5,777,777,-1.89,52612951.1,762.3147
2/1/2024,832,832,790,792,-2.95,144425554,807.456
1/31/2024,826,849,800.2,816.1,-1.2,198948160.5,816.088
1/30/2024,788.3,845,788,826,6.87,207844278.4,842.45621
1/29/2024,759.5,785,755,772.9,2.78,99035460.4,780.6141
1/28/2024,722.5,754,722,752,3.71,77260577.1,749.30475
1/25/2024,721.2,739.5,720.1,725.1,-0.12,53266918.5,720.33456
1/24/2024,739,740,725.3,726,-1.76,57135109.8,725.9936
1/23/2024,739,749,735,739,0,62389139.9,739
1/22/2024,740,750,730,739,-1.06,132970555.1,732.156
1/21/2024,720,748,720,746.9,4.18,201348894.3,750.096
1/18/2024,695,723,680,716.1,2.89,85481540.1,715.0855
1/17/2024,698,732.8,692,696,0.88,95452254.1,704.1424
1/16/2024,685,691.9,672,689.9,2.66,40203791.5,703.221
1/14/2024,674.6,682.8,668,672,1.6,35226002.6,685.3936
1/11/2024,680.9,680.9,661.2,661.4,-1.14,17913465.3,673.13774
1/10/2024,681,695,666,669,-1.39,36045103.1,671.5341
1/9/2024,683,695,677.2,678.4,-0.66,37350878.8,678.4922
1/8/2024,667,690,655,682.9,4.42,53330870.8,696.4814
1/7/2024,660,666,648,654,0.15,33371499.6,660.99
1/4/2024,667,680,652.1,653,-1.51,57205988.2,656.9283
1/3/2024,660.2,678.3,654.1,663,0.45,35180932.9,663.1709
1/2/2024,682,682,660,660,-2.22,26464369.8,666.8596
1/1/2024,680,731.3,670,675,-1.62,32210543,668.984
12/28/2023,682,701.8,682,686.1,-1,27107951.2,675.18
12/27/2023,715,715,691,693,-1.42,29219649.8,704.847
12/24/2023,705,773.3,696,703,0,47040068.3,705
12/21/2023,725,730,701.7,703,-3.15,46575640.2,702.1625
12/20/2023,727.9,730,700.1,725.9,1.71,56765653.5,740.34709
12/19/2023,704.6,715,693,713.7,1.52,31945795.9,715.30992
12/18/2023,717.8,738,700,703,-0.28,48034317.9,715.79016
12/17/2023,685,716,666,705,1.91,52018832.6,698.0835
12/14/2023,660,708,658,691.8,3.25,67934292.9,681.45
12/13/2023,667,685,650,670,2.29,36947351.8,682.2743
12/12/2023,650.8,662.1,638.1,655,2.65,35723300.5,668.0462
12/11/2023,655,668,632.1,638.1,-1.53,30516656.1,644.9785
12/10/2023,627.8,665,627.8,648,5.28,3390202,660.94784
12/7/2023,606.2,623,606.2,615.5,-0.4,10486288.3,603.7752
12/6/2023,615,618,610,618,1.63,5082097.2,625.0245
12/5/2023,611,621,606.2,608.1,-0.31,7183305.7,609.1059
12/4/2023,624.9,624.9,605,610,-1.45,18043474.1,615.83895
12/3/2023,633,633,599,619,-0.48,7920695.7,629.9616
11/30/2023,625,633,621,622,-1.74,7185118.6,614.125
11/29/2023,631,665,627,633,0.32,14596145.2,633.0192
11/28/2023,620.3,640,620.2,631,0.9,13262454.1,625.8827
11/27/2023,640.5,649.9,625.3,625.4,-0.73,13279737.3,635.82435
11/26/2023,611,634.4,611,630,1.94,16340307.7,622.8534
11/23/2023,624.9,626.9,608,618,-1.1,10248969.8,618.0261
11/22/2023,600,625,598,624.9,3.14,6454007.4,618.84
11/21/2023,613,625,600,605.9,-2.26,7250254.4,599.1462
11/20/2023,625,631,613.6,619.9,-0.66,10021315.7,620.875
11/9/2023,638.3,657,623.3,624,-3.87,15072510.9,613.59779
11/8/2023,626,649.1,625,649.1,2.38,11916520.2,640.8988
11/7/2023,633,637,618,634,2.08,12389781.7,646.1664
11/6/2023,606,654,595,621.1,4.39,16887147.4,632.6034
11/5/2023,593,600,585,595,-1.26,13391144.9,585.5282
11/2/2023,604,606,599,602.6,-0.56,6986607.9,600.6176
11/1/2023,616,616,605,606,-0.8,9306734.1,611.072
10/31/2023,615,618,609,610.9,-0.67,4710192.4,610.8795
10/30/2023,606.7,618,606.7,615,-0.63,2856853.7,602.87779
10/29/2023,615,624,610,618.9,-0.66,4842681.1,610.941
10/19/2023,631,637.4,621,623,-1.27,5905992.1,622.9863
10/18/2023,625,634,620,631,1.94,7978767.7,637.125
10/17/2023,620,630,615.7,619,1.39,6612687.6,628.618
10/16/2023,620,623.8,610.2,610.5,-1.37,8407651.7,611.506
10/12/2023,631,639,618.4,619,-1.9,15873493.4,619.011
10/11/2023,629,640,625.3,631,0.32,9655194.3,631.0128
10/10/2023,626,646,625.4,629,-0.94,10392195.8,620.1156
10/9/2023,642.1,700,631,635,-0.94,15559474.5,636.06426
10/8/2023,671,671,640,641,-2.58,18797897,653.6882
10/5/2023,657.2,670.2,657.2,658,-0.6,6665228.7,653.2568
10/4/2023,660,669.8,660,662,0.3,8753461.8,661.98
10/3/2023,665,673.3,658.1,660,-1.49,7806819.6,655.0915
10/2/2023,660,680,657.6,670,0.3,8896587.1,661.98
10/1/2023,671,674,661.6,668,-1.5,12109876.6,660.935
9/27/2023,689,696.9,675,678.2,-1.68,10949136.7,677.4248
9/26/2023,685,692,681,689.8,1.46,12947100.9,695.001
9/25/2023,682,686,672,679.9,-0.23,5923977,680.4314
9/24/2023,693,699,681.5,681.5,-1.76,13078331.6,680.8032
9/21/2023,684,700,680,693.7,3.38,18464754.8,707.1192
9/19/2023,665,678,661,671,0.3,4789591,666.995
9/18/2023,665,674,664,669,0.51,5096396.7,668.3915
9/17/2023,681,686,665.3,665.6,-2.85,11826391.2,661.5915
9/13/2023,675,690,673,685.1,1.81,9953255.1,687.2175
9/12/2023,695.9,695.9,670,672.9,-1.62,9096250.4,684.62642
9/11/2023,666,688.3,661.1,684,2.7,10055883.2,683.982
9/10/2023,657,668.9,657,666,1.37,8516839.7,666.0009
9/7/2023,660,670,657,657,-1.35,8788024.9,651.09
9/5/2023,682,682,665,666,-1.04,6918389.6,674.9072
9/4/2023,678,680,667,673,0.45,9582608.1,681.051
9/3/2023,676,679,670,670,-1.51,9209752.6,665.7924
8/30/2023,685,689,680,680.3,-0.1,9889751.9,684.315
8/29/2023,697,697,680,681,-0.58,15821508.4,692.9574
8/28/2023,690,698.9,682,685,-0.72,12989454.5,685.032
8/27/2023,695,705,687.5,690,-1.85,20198075.2,682.1425
8/24/2023,707.2,725,698,703,-2.36,20670018.8,690.51008
8/23/2023,717,724,707,720,1.41,11698999.8,727.1097
8/22/2023,705,712.8,695,710,1.85,11574956.2,718.0425
8/21/2023,726.2,726.2,696.2,697.1,-2.09,26292855.3,711.02242
8/20/2023,715,727,710,712,-1.45,17217569.1,704.6325
8/17/2023,721,734,717.1,722.5,0.22,22351708.3,722.5862
8/16/2023,724,729,712,720.9,-1.23,31563602.3,715.0948
8/15/2023,732,739.8,727,729.9,-1.4,24272059.4,721.752
8/14/2023,754.8,754.8,740.3,740.3,-0.76,20701791.9,749.06352
8/13/2023,757,757,743.1,746,-0.29,26268650.7,754.8047
8/10/2023,760,762,745,748.2,-0.27,47606440.5,757.948
8/9/2023,721,754,721,750.2,2.07,29668545.7,735.9247
8/8/2023,765,765,733.1,735,-2,31963719.5,749.7
8/7/2023,744.1,769,744.1,750,-1.06,21277472.4,736.21254
8/6/2023,775.6,778,753,758,-1.69,29424957.5,762.49236
