date,open,high,low,ltp,% change,turnover,close
3/31/2024,850,850,840,840.1,-0.88,17448203.8,842.52
3/28/2024,849.9,850,840,847.6,0.31,13400392.7,852.53469
3/27/2024,848,858,842,845,-0.33,9693058.8,845.2016
3/26/2024,847,854,840,847.8,0.12,9885966.2,848.0164
3/25/2024,854,860,846.8,846.8,-0.84,7918186.6,846.8264
3/21/2024,866,867,849.9,854,-0.49,11912600.8,861.7566
3/20/2024,860,875,858.2,858.2,-0.79,14415105.7,853.206
3/19/2024,858,875,858,865,-0.46,11305608.1,854.0532
3/18/2024,855,875,848,869,1.16,29485119.5,864.918
3/17/2024,865,874,855.1,859,-0.69,6100994.7,859.0315
3/14/2024,860,872.9,855,865,-0.12,13561766.9,858.968
3/13/2024,885.3,885.3,856,866,-0.23,16165487.5,883.26381
3/12/2024,877,877,859,868,0.94,21384289.7,885.2438
3/10/2024,869.9,872,856,859.9,0.57,9067195.5,874.85843
3/7/2024,859,865,845,855,1.18,11128791.6,869.1362
3/6/2024,856.8,856.8,837.1,845,0.6,12584435.8,861.9408
3/5/2024,880,880,840,840,-4.55,25327249.8,839.96
3/4/2024,847.6,881.2,847.6,880,5.9,1231228,897.6084
3/3/2024,840,846,825.2,831,-0.6,19219307.6,834.96
2/29/2024,850,850,835,836,-0.83,16680386.4,842.945
2/28/2024,844,850,837,843,-0.11,12682471.2,843.0716
2/27/2024,854.9,854.9,838,843.9,-0.13,7221422.4,853.78863
2/26/2024,835,849,834,845,1.31,12650909.6,845.9385
2/25/2024,847,850,834.1,834.1,-1.52,23811530.1,834.1256
2/22/2024,872.1,872.1,846,847,-0.94,23654372.9,863.90226
2/21/2024,869,869,848,855,-0.47,15296541.5,864.9157
2/20/2024,860,874,855,859,-0.12,15016892.4,858.968
2/18/2024,860,870,853,860,-0.81,22388381.7,853.034
2/15/2024,885,885,860,867,-1.14,19443517.2,874.911
2/14/2024,868,941.6,860,877,1.39,21671085.5,880.0652
2/13/2024,880,880,865,865,-1.7,44982847.4,865.04
2/12/2024,878,890,864,880,-0.11,14647655.2,877.0342
2/11/2024,898.9,898.9,880,881,-0.68,17690775.2,892.78748
2/8/2024,907,907,877,887,-0.34,16694219.7,903.9162
2/7/2024,903,903,888,890,-1.44,24913323,889.9968
2/6/2024,932.5,932.5,880,903,-5.1,73593735.2,884.9425
2/5/2024,870,951.5,865.1,951.5,10,26914054.6,957
2/4/2024,869.5,871,851.7,865,-0.46,14167838,865.5003
2/1/2024,877.8,889,865,869,-1.03,9533120.5,868.75866
1/31/2024,900,919.3,866,878,-0.65,19637534.7,894.15
1/30/2024,895,912.9,880,883.7,0.65,31062828.8,900.8175
1/29/2024,875,910,873.9,878,0.34,19437362.3,877.975
1/28/2024,882,882,864.6,875,0.82,21740095,889.2324
