date,open,high,low,ltp,% change,turnover,close
3/31/2024,196,196,190,193.9,0.52,6551277.4,197.0192
3/28/2024,188.2,193,188.2,192.9,0.78,5751975.7,189.66796
3/27/2024,192,192,189.4,191.4,-0.83,14222194.9,190.4064
3/26/2024,191.5,194.9,191.3,193,0,9594504.6,191.5
3/25/2024,196,196,191.5,193,-1.48,6422666.3,193.0992
3/21/2024,196,196.7,193.6,195.9,0,9272510.4,196
3/20/2024,200.9,200.9,195.1,195.9,-0.56,8905748.5,199.77496
3/19/2024,198,200,195.1,197,-0.96,5904872.3,196.0992
3/18/2024,198,199,194.1,198.9,0.45,13247244.7,198.891
3/17/2024,199,199.9,196,198,-0.05,5207874.1,198.9005
3/14/2024,200,201,198,198.1,-1.34,7475359.2,197.32
3/13/2024,199,204.7,198,200.8,-0.05,12677873.4,198.9005
3/12/2024,195,200.9,195,200.9,3.03,9184797.3,200.9085
3/10/2024,196.6,199.9,193.1,195,1.14,8375582.1,198.84124
3/7/2024,193,193.2,190.2,192.8,0.42,8492988.8,193.8106
3/6/2024,192.4,194,186.3,192,-0.21,13851616.5,191.99596
3/5/2024,199,199,189.1,192.4,-1.79,10971305.7,195.4379
3/4/2024,192.6,196,190,195.9,3.71,878832,199.74546
3/3/2024,190.1,190.1,186,188.9,-0.58,7930166.9,188.99742
2/29/2024,189.1,192,189,190,0,7401387.8,189.1
2/28/2024,192,193.6,189.7,190,-1.35,8405443.3,189.408
2/27/2024,193.1,194,191.7,192.6,-0.26,6823791.2,192.59794
2/26/2024,193,196,191.1,193.1,-0.26,4896403.2,192.4982
2/25/2024,197,199,193.6,193.6,-1.73,6730735.9,193.5919
2/22/2024,194.1,197.9,194.1,197,-0.4,12166221.1,193.3236
2/21/2024,201,201,196.6,197.8,-0.55,5959388.4,199.8945
2/20/2024,199,200,198,198.9,-0.55,7286555,197.9055
2/18/2024,200,201.9,199,200,-0.99,5971156,198.02
2/15/2024,200,202,199.4,202,0.25,9705065,200.5
2/14/2024,200,202.1,199.6,201.5,-0.3,5590265.1,199.4
2/13/2024,200,202.3,200,202.1,-0.2,8965786.2,199.6
2/12/2024,203,203.8,201.1,202.5,-1.07,9540026.9,200.8279
2/11/2024,208,208,202.1,204.7,0.1,10502679.7,208.208
2/8/2024,201,205,201,204.5,0.74,7074621.9,202.4874
2/7/2024,208,208,200,203,-0.49,8434903.5,206.9808
2/6/2024,199.1,205,199.1,204,1.49,11536198.4,202.06659
2/5/2024,200,203,198,201,-0.15,7975039.2,199.7
2/4/2024,201,203.9,199,201.3,0,12603557.6,201
2/1/2024,205,205,201,201.3,-1.8,8078706.9,201.31
1/31/2024,203.5,207.8,203.5,205,-1.16,20808204.2,201.1394
1/30/2024,206,209,204,207.4,0,23070000.2,206
1/29/2024,210,210,206.7,207.4,-0.72,17834356.2,208.488
1/28/2024,209.4,212,208,208.9,-0.24,12791397.1,208.89744
1/25/2024,209.9,209.9,206,209.4,0.72,11230046.2,211.41128
1/24/2024,206,210.1,205,207.9,0.05,8687198.3,206.103
1/23/2024,209,212,205.1,207.8,-0.67,14967775.1,207.5997
1/22/2024,212,214.2,208.9,209.2,-1.78,20116455.1,208.2264
1/21/2024,212.4,221,211,213,0.28,29203455.7,212.99472
1/18/2024,207.1,214.9,207.1,212.4,0.71,19176146.1,208.57041
1/17/2024,206,219.1,206,210.9,0.48,45064760,206.9888
1/16/2024,206,211.1,204,209.9,3.4,33674696.6,213.004
1/14/2024,204,204,202,203,-0.34,9653261.9,203.3064
1/11/2024,202,205.8,202,203.7,-0.88,12286078,200.2224
1/10/2024,202,206,201,205.5,2.14,25944153.4,206.3228
1/9/2024,201,203.8,197.1,201.2,0.65,18291030.2,202.3065
1/8/2024,193.1,201.9,193.1,199.9,2.41,13448584.9,197.75371
1/7/2024,200,200,194.2,195.2,-1.41,14268146,197.18
1/4/2024,201,203,198,198,-1.49,8809552.3,198.0051
1/3/2024,198.1,201,198,201,0.1,7317730.2,198.2981
1/2/2024,201,201,198.2,200.8,-0.35,11459164.2,200.2965
1/1/2024,200,203,199.1,201.5,-0.25,12093850.3,199.5
12/28/2023,200,203,199,202,0.5,14412321.5,201
12/27/2023,206.5,206.5,200.1,201,-1.42,17708535.2,203.5677
12/24/2023,210.1,210.1,203.1,203.9,-1.92,25344296.9,206.06608
12/21/2023,215,215,205,207.9,-1.52,21034305.6,211.732
12/20/2023,207,211.5,205.6,211.1,2.43,49149238.7,212.0301
12/19/2023,198,207,196,206.1,3.1,49889129.2,204.138
12/18/2023,193,201,193,199.9,3.04,40514752,198.8672
12/17/2023,194,195.9,189,194,-0.51,25650955,193.0106
12/14/2023,194.2,198.8,194,195,-1.42,9258749.4,191.44236
12/13/2023,194.5,200,194.1,197.8,-0.1,17808483.9,194.3055
12/12/2023,197,199,194.9,198,0.51,15932292.2,198.0047
12/11/2023,200,200,192,197,-1.45,35693098.1,197.1
12/10/2023,188,201.1,188,199.9,6.33,688888.9,199.9004
12/7/2023,185,188,185,188,0.27,4295748.6,185.4995
12/6/2023,187,187.5,185,187.5,0.32,4527821,187.5984
12/5/2023,188,189,185.9,186.9,-1.63,5048292.5,184.9356
12/4/2023,191.5,192,188.2,190,-0.52,3475323.2,190.5042
12/3/2023,189.1,191,187.5,191,-0.98,5148494,187.24682
11/30/2023,189.2,193,188.9,192.9,0.47,5996665.8,190.08924
11/29/2023,189,193,189,192,0,6251629.5,189
11/28/2023,190.5,197.8,190,192,-1.03,12386073.2,188.53785
11/27/2023,193.5,195,189.8,194,-1.02,10503467.6,191.5263
11/26/2023,190,196,190,196,1.34,7800961.5,192.546
11/23/2023,189.9,194.4,187,193.4,1.84,6276035.7,193.39416
11/22/2023,190,190,187,189.9,-0.26,2725259.8,189.506
11/21/2023,191,192,189.1,190.4,-0.83,5023861.4,189.4147
11/20/2023,191.6,194.9,191,192,2.18,7914064.6,195.77688
11/9/2023,183,190.7,183,187.9,1.73,8165084.6,186.1659
11/8/2023,184,184.9,183,184.7,0.54,5294008.2,184.9936
11/7/2023,182,184.3,181.9,183.7,0.22,9479756.7,182.4004
11/6/2023,182.1,184.6,181.1,183.3,-0.22,9419640,181.69938
11/5/2023,184.6,185.2,181,183.7,1.49,16140489.6,187.35054
11/2/2023,180.1,181,180,181,-0.44,8021557,179.30756
11/1/2023,182,182,180,181.8,0.44,8593275.8,182.8008
10/31/2023,180,183,180,181,0,4723208.7,180
10/30/2023,182,182,180,181,-0.55,4140424.3,180.999
10/29/2023,184.9,184.9,180,182,-1.09,2495844.8,182.88459
10/19/2023,184.2,184.4,177.4,184,-0.16,9312810,183.90528
10/18/2023,180,184.3,179,184.3,2.39,5498583.3,184.302
10/17/2023,181,181,176.9,180,1.41,4549759.7,183.5521
10/16/2023,176.1,178.4,176,177.5,-0.5,5366778,175.2195
10/12/2023,180,180,176.1,178.4,-0.34,11153504.8,179.388
10/11/2023,180,180,177.3,179,-0.56,7451419.4,178.992
10/10/2023,179,180.5,178.8,180,-0.28,5481348.2,178.4988
10/9/2023,182,182,179.1,180.5,-0.55,5831966.6,180.999
10/8/2023,184,184,179.6,181.5,-1.36,12311952,181.4976
10/5/2023,181,184,180.6,184,0,6335041.3,181
10/4/2023,181,185,180,184,0.66,6488411,182.1946
10/3/2023,181,183,179.9,182.8,-0.05,6666477,180.9095
10/2/2023,179,183,179,182.9,0.27,12129863.2,179.4833
10/1/2023,184,184,181.1,182.4,-0.87,6691767.6,182.3992
9/27/2023,185.5,185.5,182.5,184,-0.76,4451385.3,184.0902
9/26/2023,180.8,186,180.8,185.4,0.76,8660338.3,182.17408
9/25/2023,181.2,186,180.5,184,0.16,9430086.5,181.48992
9/24/2023,185,185.8,178.7,183.7,-0.54,9910225.4,184.001
9/21/2023,182,186.6,182,184.7,0.65,11708126,183.183
9/19/2023,179,184,178.5,183.5,1.72,11054108.5,182.0788
9/18/2023,180,180.5,177.6,180.4,-0.11,4729781.2,179.802
9/17/2023,177.7,181,177.7,180.6,-0.17,10516644,177.39791
9/13/2023,182,182,178.2,180.9,0.5,7371302.1,182.91
9/12/2023,184,184,179,180,-0.83,6602581.4,182.4728
9/11/2023,182,182,177.4,181.5,0.83,10237764.9,183.5106
9/10/2023,179,180,176.7,180,0.33,8165845.3,179.5907
9/7/2023,182,182,176.4,179.4,-0.33,11836871.9,181.3994
9/5/2023,184,184,179.7,180,-0.72,6995897.6,182.6752
9/4/2023,182.3,183.5,179,181.3,-0.38,12891944.6,181.60726
9/3/2023,181,182,179.5,182,0,11889306.5,181
8/30/2023,184,184,180,182,0,11291859.6,184
8/29/2023,181.1,184.7,181.1,182,-0.55,9570166.9,180.10395
8/28/2023,183,184.9,181,183,-0.81,5139596.4,181.5177
8/27/2023,184,184.5,180,184.5,0,8609910,184
8/24/2023,185.5,186.5,182.6,184.5,-0.27,11812240.2,184.99915
8/23/2023,185,187.8,181.6,185,-0.05,8199938.7,184.9075
8/22/2023,183,185.1,181.1,185.1,0.6,6645429.3,184.098
8/21/2023,184.9,184.9,181.4,184,-0.54,6714398.7,183.90154
8/20/2023,185,186.9,180.6,185,-0.38,17808574.5,184.297
8/17/2023,184,185.7,182.2,185.7,0.16,8223796.7,184.2944
8/16/2023,184.1,185.4,180,185.4,0.22,12647906.2,184.50502
8/15/2023,187.5,187.5,182,185,0,12933851.2,187.5
8/14/2023,183.1,188,182.5,185,1.09,12770576.5,185.09579
8/13/2023,183.1,185.8,180.4,183,-0.22,18076489.1,182.69718
8/10/2023,181,184,180.1,183.4,0.22,13065361.2,181.3982
8/9/2023,182,184.5,179.9,183,-0.71,17280424.1,180.7078
8/8/2023,188,188.9,182.2,184.3,-2.95,22001479.9,182.454
8/7/2023,193,193,186,189.9,-1.76,25013621.9,189.6032
8/6/2023,202,202,190,193.3,-4.31,57747938.8,193.2938
