date,open,high,low,ltp,% change,turnover,close
3/31/2024,143,143,140,141,0,7465194,143
3/28/2024,141,142.5,140,141,-0.21,5348787,140.7039
3/27/2024,142.5,142.5,140.1,141.3,-0.84,5911166.1,141.303
3/26/2024,144,144,141.4,142.5,0.35,6311606.3,144.504
3/25/2024,144,144.5,141.1,142,-0.7,6939076.8,142.992
3/21/2024,142,144.5,142,143,0.14,11146439.4,142.1988
3/20/2024,147.9,147.9,142.5,142.8,-1.52,12938811.1,145.65192
3/19/2024,145,146.5,144,145,-0.34,11892580.5,144.507
3/18/2024,148.9,148.9,143.1,145.5,-0.34,7051200.9,148.39374
3/17/2024,151.8,151.8,145.1,146,-1.95,10048954.9,148.8399
3/14/2024,151.6,151.6,147.5,148.9,-0.93,7893567,150.19012
3/13/2024,152,152,149.2,150.3,0.2,10864933.4,152.304
3/12/2024,149.9,150.6,146.2,150,2.04,14094810.6,152.95796
3/10/2024,147,147.8,143.7,147,1.38,8298480,149.0286
3/7/2024,141.5,145.9,141.5,145,0.76,6745516.9,142.5754
3/6/2024,145.9,149,141,143.9,0,12297140.8,145.9
3/5/2024,154.9,154.9,143,143.9,-5.27,13368381.8,146.73677
3/4/2024,143.1,151.9,143.1,151.9,7.73,473881.5,154.16163
3/3/2024,141,141.1,139.5,141,-0.35,8749642.6,140.5065
2/29/2024,144,145.5,141.2,141.5,-1.74,13292699.6,141.4944
2/28/2024,146,146.5,143.1,144,-2.04,17077163.52,143.0216
2/27/2024,148,148.3,146.6,147,-0.81,11468693.2,146.8012
2/26/2024,148,149.5,147,148.2,0.07,9421150.8,148.1036
2/25/2024,149,151,148,148.1,-0.87,9101379.4,147.7037
2/22/2024,150,152,149,149.4,-0.8,11171963.6,148.8
2/21/2024,150.5,152,150,150.6,0.13,8022581.6,150.69565
2/20/2024,149,151.6,149,150.4,0.67,8753299.8,149.9983
2/18/2024,153.4,153.4,149.4,149.4,-1.32,16032797.9,151.37512
2/15/2024,152.5,154.7,151.1,151.4,-0.85,9877045.2,151.20375
2/14/2024,153,154,151.1,152.7,-0.2,12533513.7,152.694
2/13/2024,155,155,153,153,-1.23,10138788.7,153.0935
2/12/2024,155,156,154,154.9,0.58,10503587.9,155.899
2/11/2024,154,155.5,154,154,0.06,9419942.8,154.0924
2/8/2024,155.9,155.9,153.3,153.9,-0.32,13086041,155.40112
2/7/2024,156,156.8,154,154.4,0.26,8754779,156.4056
2/6/2024,155.4,155.4,153,154,0,17213728.5,155.4
2/5/2024,154,155.9,152.8,154,0.2,11052450.3,154.308
2/4/2024,155,155.7,153.6,153.7,-0.19,11542228,154.7055
2/1/2024,155,156,153,154,-0.96,18271669.7,153.512
1/31/2024,157.9,157.9,155,155.5,-0.45,12952333.4,157.18945
1/30/2024,157,159,155.5,156.2,-0.26,21049196.1,156.5918
1/29/2024,158,158.8,156,156.6,-0.06,14817274.6,157.9052
1/28/2024,159,159.9,156.7,156.7,-0.82,14382874.2,157.6962
1/25/2024,158,159.4,156.4,158,0.64,18067751.6,159.0112
1/24/2024,156,160.9,156,157,-0.82,17204434.8,154.7208
1/23/2024,159,159.5,157.9,158.3,-1,19177572.2,157.41
1/22/2024,163,163,159.1,159.9,-1.9,33494800.7,159.903
1/21/2024,166,167,162.1,163,-3.49,41282127,160.2066
1/18/2024,172,172,167,168.9,-1.17,22677656.6,169.9876
1/17/2024,168.8,176.2,168.8,170.9,1.24,67098145.9,170.89312
1/16/2024,165,170,165,168.8,2.43,30158463.9,169.0095
1/14/2024,166,167,163.1,164.8,-0.06,17347809.4,165.9004
1/11/2024,166,166.9,162.7,164.9,-0.12,15114096,165.8008
1/10/2024,163,168.5,163,165.1,1.91,29401908.6,166.1133
1/9/2024,163,163.5,161.1,162,0.25,14019125.1,163.4075
1/8/2024,162,163,159.3,161.6,0.94,18256147.3,163.5228
1/7/2024,162.1,164,160,160.1,-1.42,22491733.1,159.79818
1/4/2024,164.1,166,162,162.4,-0.43,16583174.9,163.39437
1/3/2024,163,164.3,161,163.1,1.24,11286390.7,165.0212
1/2/2024,164,165.2,161.1,161.1,-0.56,11977857.1,163.0816
1/1/2024,165,167,162,162,-1.7,24236068.2,162.195
12/28/2023,168,168,164.8,164.8,-0.72,17314231.5,166.7904
12/27/2023,167,169.3,164.5,166,0.42,19226098.7,167.7014
12/24/2023,170.4,172.9,165.3,165.3,-3.33,23846039.3,164.72568
12/21/2023,177,177,170.4,171,-3.39,27738198.2,170.9997
12/20/2023,177.9,179,174,177,0.34,32353078.4,178.50486
12/19/2023,173.4,176.4,171.1,176.4,3.22,40058512.1,178.98348
12/18/2023,165,171.2,165,170.9,3.58,49836851.7,170.907
12/17/2023,164,166.5,160.2,165,-0.54,26002005,163.1144
12/14/2023,164,168,164,165.9,-0.06,10570129.1,163.9016
12/13/2023,168.3,170,164.8,166,0.61,18629073.7,169.32663
12/12/2023,162,166,162,165,0.06,15692383.2,162.0972
12/11/2023,173,173.2,161.7,164.9,-2.94,45671242.7,167.9138
12/10/2023,158,171.6,158,169.9,8.91,2655353.1,172.0778
12/7/2023,155,157,154.1,156,0,9217963.1,155
12/6/2023,155,158,155,156,0.19,7583679.7,155.2945
12/5/2023,158,158,155.4,155.7,-0.64,6686037.3,156.9888
12/4/2023,156,158.5,155,156.7,0.38,7431605.2,156.5928
12/3/2023,156.2,157.3,156,156.1,0.06,5520427.9,156.29372
11/30/2023,158,159,155.7,156,-1.27,9426745.5,155.9934
11/29/2023,159,159,157,158,-0.25,4950814.3,158.6025
11/28/2023,158.7,160,155.4,158.4,0.57,7961083.1,159.60459
11/27/2023,161,161.8,157.1,157.5,-1.25,13459563.8,158.9875
11/26/2023,155,159.5,155,159.5,1.85,11065339,157.8675
11/23/2023,158.8,158.8,155,156.6,-0.25,5083069.9,158.403
11/22/2023,158,158,154,157,0.32,4448613.3,158.5056
11/21/2023,154,157.5,153.3,156.5,0.58,8592708,154.8932
11/20/2023,156,157,155,155.6,1.04,7306508.1,157.6224
11/9/2023,154.2,156.8,153.7,154,-0.9,8211384.9,152.8122
11/8/2023,154.2,156.5,154,155.4,0.26,6665416.4,154.60092
11/7/2023,157,157,154,155,-0.06,8442590.2,156.9058
11/6/2023,154.9,156.7,154.1,155.1,0.06,10231742.2,154.99294
11/5/2023,156,156.4,153.6,155,0.65,17052750.7,157.014
11/2/2023,155,156,153.6,154,-0.65,6259240.4,153.9925
11/1/2023,157,158,154.7,155,-1.27,7889473,155.0061
10/31/2023,157,158,154.3,157,0.06,4157285.1,157.0942
10/30/2023,156,157,154,156.9,-0.7,7477918.3,154.908
10/29/2023,157,158,156,158,0,3750264.8,157
10/19/2023,158,160.4,152.3,158,-0.32,11725998.6,157.4944
10/18/2023,156.3,159,155.1,158.5,1.02,7249915.3,157.89426
10/17/2023,156,158.1,154.1,156.9,1.23,16496767,157.9188
10/16/2023,157,157.9,153.7,155,-0.96,23795105.2,155.4928
10/12/2023,157.2,159.4,155.6,156.5,-0.95,22513771.2,155.7066
10/11/2023,157.1,159.9,157.1,158,-0.06,6837341.7,157.00574
10/10/2023,157.3,159.8,157.3,158.1,0,10487438,157.3
10/9/2023,160,160,157.7,158.1,-0.63,12232462.34,158.992
10/8/2023,157.9,161,156.2,159.1,-1.24,19924720,155.94204
10/5/2023,162,162,160.2,161.1,-0.25,7997261.1,161.595
10/4/2023,163,163,160,161.5,-0.19,8755008.2,162.6903
10/3/2023,160,161.9,159,161.8,0.56,9510405.4,160.896
10/2/2023,160,161.9,159.2,160.9,-0.06,9241907.8,159.904
10/1/2023,164.5,164.5,159.5,161,-0.43,13566584.9,163.79265
9/27/2023,161,163,160.3,161.7,-0.31,6765737.7,160.5009
9/26/2023,161.2,165,161,162.2,0.25,13943212.8,161.603
9/25/2023,165,165,161.5,161.8,-0.61,5715551.3,163.9935
9/24/2023,163,165.9,160,162.8,-0.12,10394347.5,162.8044
9/21/2023,161,166,161,163,1.37,17316209.8,163.2057
9/19/2023,158,161.2,157.5,160.8,1.45,9966129.9,160.291
9/18/2023,158.2,159.9,157,158.5,-0.81,11416341.1,156.91858
9/17/2023,162,162,159,159.8,-0.68,13597729.4,160.8984
9/13/2023,161,161.8,159.1,160.9,0.88,8366409.8,162.4168
9/12/2023,163,170,159.1,159.5,-0.93,7899568.4,161.4841
9/11/2023,161,161.9,157.1,161,1.26,14463457.8,163.0286
9/10/2023,159.89,160.5,157.3,159,0.06,13456963.4,159.985934
9/7/2023,160.5,161,158.3,158.9,-1.3,6768805.1,158.4135
9/5/2023,160.1,161.5,159,161,0,11948710.4,160.1
9/4/2023,162,163,160,161,-0.31,8964486.7,161.4978
9/3/2023,161,162.2,160.4,161.5,0,13638686.2,161
8/30/2023,165.2,165.2,161.2,161.5,-0.31,7316219.9,164.68788
8/29/2023,163,163,161.6,162,0,8849357,163
8/28/2023,161,164,160.6,162,0.62,12422379.8,161.9982
8/27/2023,163.9,163.9,160.9,161,-1.29,9239970.5,161.78569
8/24/2023,166,166.7,162.2,163.1,-1.15,12953312.2,164.091
8/23/2023,161.2,166.2,161.2,165,1.23,13725663,163.18276
8/22/2023,163,165.1,160,163,0.49,20337580.7,163.7987
8/21/2023,164.5,164.5,162,162.2,-1.1,11390643.4,162.6905
8/20/2023,163.1,165,162.3,164,0.18,15670150.2,163.39358
8/17/2023,165,165.1,163,163.7,-0.18,13575581.7,164.703
8/16/2023,165,165.9,163,164,-0.61,10524754,163.9935
8/15/2023,167,167,164.9,165,-0.96,13045134.4,165.3968
8/14/2023,168.3,170,166.1,166.6,-0.24,15658914.4,167.89608
8/13/2023,168.5,169.3,165,167,0.06,14171860,168.6011
8/10/2023,165,168.2,164,166.9,0.66,12985355,166.089
8/9/2023,163.2,166,162,165.8,1.22,15897815,165.19104
8/8/2023,168,168,163,163.8,-2.09,21769983.8,164.4888
8/7/2023,169,171.9,165.7,167.3,-1.7,28628645.1,166.127
8/6/2023,177,177,170,170.2,-4.33,68635838.1,169.3359
8/3/2023,177.8,180.9,177,177.9,1.02,23671907.6,179.61356
8/2/2023,176,178,173.5,176.1,0.69,21578081.7,177.2144
8/1/2023,182.9,183.9,174.6,174.9,-3.1,24821767.8,177.2301
7/31/2023,178,182,175.6,180.5,2.56,28724548.7,182.5568
7/30/2023,180,180,175.5,176,-1.4,27324506.7,177.48
7/27/2023,180.1,184.4,178,178.5,-1.38,32525018.1,177.61462
7/26/2023,184,186.9,181,181,-1.84,29694073.6,180.6144
7/25/2023,190,190,182.8,184.4,-2.38,48235155.6,185.478
7/24/2023,193,206,185,188.9,-2.02,151986829.3,189.1014
7/23/2023,180,195.1,176.5,192.8,8.62,91089203.8,195.516
7/20/2023,180,182.4,176.3,177.5,-0.78,54844179.5,178.596
7/19/2023,167.7,179.5,167.7,178.9,5.42,68858885.3,176.78934
7/18/2023,169,172,168.5,169.7,0.41,36777441.7,169.6929
7/17/2023,162,170,161.2,169,3.94,26958781.2,168.3828
7/16/2023,162,163,160,162.6,1.63,22015259.7,164.6406
7/13/2023,161,163,159.6,160,0.63,29574574.6,162.0143
7/12/2023,159.9,160,157,159,0.82,22879669.7,161.21118
7/11/2023,156,158.5,156,157.7,-0.19,21043695.4,155.7036
7/10/2023,160,160,157,158,-0.44,17457236.4,159.296
7/9/2023,155,166.2,155,158.7,0.44,18424978.8,155.682
7/6/2023,155,159,155,158,0.7,33627581.2,156.085
7/5/2023,155.9,162.1,155.9,156.9,-1.32,29779815.4,153.84212
7/4/2023,161,164,159,159,-0.63,25184741.3,159.9857
7/3/2023,162,162.9,159.5,160,-1.54,20585858.4,159.5052
7/2/2023,169,169,162.1,162.5,-2.69,18622419.4,164.4539
6/28/2023,174,175,167,167,-2.91,34324373.5,168.9366
6/27/2023,163,172,161,172,6.37,40750876,173.3831
6/26/2023,161.5,164.5,160.5,161.7,0.12,22225874.5,161.6938
6/25/2023,160,162.7,159.1,161.5,0.31,27568945.6,160.496
6/22/2023,163,163,160,161,-0.86,25846861.8,161.5982
6/21/2023,165,166,162.4,162.4,-0.98,19712696.2,163.383
6/20/2023,165,166.5,163,164,0.61,15161263.3,166.0065
6/19/2023,166,166,162.6,163,-0.97,18968429.7,164.3898
6/18/2023,165,166,163.6,164.6,-0.12,17442369.1,164.802
6/15/2023,167,167.5,163.7,164.8,-0.12,12075564.3,166.7996
6/14/2023,167.2,168,163,165,0.61,31755123.5,168.21992
6/13/2023,166,166,160,164,0.61,25282081.9,167.0126
6/12/2023,166,166,162,163,0,13295675,166
6/11/2023,163,164,161.2,163,1.81,15363283.6,165.9503
6/8/2023,165,165,159.8,160.1,-1.17,19288796.8,163.0695
6/7/2023,165.2,165.2,160.9,162,0,18482608.5,165.2
6/6/2023,161.9,162.9,159.1,162,0.87,19718204.8,163.30853
6/5/2023,162,164.3,160.5,160.6,-1.47,13379631.5,159.6186
6/4/2023,162,166,160.1,163,1.24,13126947.3,164.0088
6/1/2023,160,163,158.7,161,1,16331901.2,161.6
5/31/2023,164,165,159,159.4,-2.86,35233251.5,159.3096
5/30/2023,168,170,164,164.1,-2.32,12044321.3,164.1024
5/28/2023,170,171,167,168,-0.59,17936142,168.997
5/24/2023,171,171.7,168.5,169,-0.29,10273634.6,170.5041
5/23/2023,168,170,167,169.5,1.56,12062293.7,170.6208
5/22/2023,166,167.5,164.6,166.9,0.91,12776692.3,167.5106
5/21/2023,168,169.3,165.4,165.4,-0.36,12961749.8,167.3952
5/18/2023,166.9,167,163,166,1.16,10951206.3,168.83604
5/17/2023,164,166,163.1,164.1,0.67,6729141.2,165.0988
5/16/2023,165,165,162.7,163,0,5957032,165
5/15/2023,165.1,165.1,163,163,-1.81,22842610.7,162.11169
5/14/2023,166,169.3,165,166,-0.18,8545453.9,165.7012
5/11/2023,164.1,167,164.1,166.3,0.6,5170092,165.0846
5/10/2023,165,167,164,165.3,-0.12,9226367.9,164.802
5/9/2023,165.9,167.5,163.8,165.5,0.67,11560353.3,167.01153
5/8/2023,168,168,164.1,164.4,-0.96,8977825.5,166.3872
5/7/2023,166,167,164,166,-0.3,10326056.2,165.502
5/4/2023,168,168,165.1,166.5,0.24,7189111.8,168.4032
5/3/2023,167,167,165,166.1,0,6601772.7,167
5/2/2023,166.5,168,165.1,166.1,-0.24,14935077.7,166.1004
4/30/2023,169,169,166.4,166.5,-1.48,13843715.6,166.4988
4/27/2023,167.5,170,167.5,169,0,6780377.2,167.5
4/26/2023,170.2,173,168,169,-1.74,8367386,167.23852
4/25/2023,170,173,169.8,172,1.18,6986612,172.006
4/24/2023,170,170,167,170,1.07,9300894.2,171.819
4/23/2023,170,170,167,168.2,-0.65,9183026.1,168.895
4/20/2023,172,174,168.7,169.3,-0.41,7796639.4,171.2948
4/19/2023,172,174.9,169.9,170,0,8859457.6,172
4/18/2023,171.5,171.5,168.5,170,-0.58,9719069.3,170.5053
4/17/2023,175,175,170,171,-1.1,10041342.9,173.075
