date,open,high,low,ltp,% change,turnover,close
3/31/2024,13699,13701,13461,13549,0.36,3589450,13748.3164
3/28/2024,13700,13700,13500,13500.1,-1.05,6443457.7,13556.15
3/27/2024,13990,13990,13621,13643,-1.85,7666961.6,13731.185
3/26/2024,14048,14048,13825.2,13900,0.36,1055198.2,14098.5728
3/25/2024,13950,13999,13850.1,13850.1,-0.71,2170101,13850.955
3/21/2024,13750,13949,13750,13949,0.35,1040790,13798.125
3/20/2024,14188,14188,13900,13900,-0.07,4482150,14178.0684
3/19/2024,14000,14000,13900,13910,0.05,2641250,14007
3/18/2024,13851,14290,13805,13903.1,0.38,3083341,13903.6338
3/17/2024,14100,14100,13851,13851,-0.71,2168270,13999.89
3/14/2024,14000,14178,13900,13950,-1.68,3971764,13764.8
3/13/2024,14201,14300,14075,14189,-0.95,2262690,14066.0905
3/12/2024,14340,14376.9,13818,14325,1.6,5382082,14569.44
3/10/2024,14290,14360,14100,14100,0.64,2128815,14381.456
3/7/2024,14300,14586,14010,14010,-0.28,3129890,14259.96
3/6/2024,13810,14082,13806,14050,0.39,3211450,13863.859
3/5/2024,14300,14565,13850,13996,-1.99,4657198,14015.43
3/4/2024,14280,14280,14280,14280,2,142800,14565.6
3/3/2024,13960,14000.1,13906,14000,0.37,3635992,14011.652
2/29/2024,13984.2,14850,13755,13949,1.74,14544478,14227.52508
2/28/2024,13570,13770,13500,13710,0.07,4468292,13579.499
2/27/2024,13655,13799,13600,13700,0.43,1778730,13713.7165
2/26/2024,13500,13641,13450,13641,0.55,1375330,13574.25
2/25/2024,13600,13675,13567,13567,0.4,2655229,13654.4
2/22/2024,14157,14157,13500,13513,-2.64,6503170,13783.2552
2/21/2024,14074,14074,13750,13880,0.57,2482454,14154.2218
2/20/2024,13870,13900,13801,13801,0.17,1536280,13893.579
2/18/2024,13860,13880,13777,13777,-1.59,3174610,13639.626
2/15/2024,14279,14279,13980,13999,-0.03,3652430,14274.7163
2/14/2024,14280,14280,14003.4,14003.4,0.02,282834,14282.856
2/13/2024,14370,14370,13987,14000,-1.41,1464966,14167.383
2/12/2024,14000,14830,14000,14200,2.16,5177285,14302.4
2/11/2024,14280,14280,13861,13900,-0.93,2232800,14147.196
2/8/2024,14050,14050,14031,14031,0.04,561710,14055.62
2/7/2024,14199,14200,14021,14025,-0.53,2478072,14123.7453
2/6/2024,14200,14200,14065,14100,-0.7,3024033,14100.6
2/5/2024,14550,14580,14100,14200,-1.14,3108088,14384.13
2/4/2024,13955,14364,13955,14364,2.93,4807730,14363.8815
2/1/2024,13916,13955.1,13900,13955.1,-0.32,4218792.3,13871.4688
1/31/2024,14000,14100,13920,14000,0.01,4891088,14001.4
1/30/2024,14101,14199,13917,13999,-0.9,6034979.5,13974.091
1/29/2024,14080,14300,14080,14126,-0.52,3554890,14006.784
1/28/2024,14150,14235,14100.2,14200,0.71,4066530.4,14250.465
1/25/2024,14157.2,14200,14062.7,14100.1,-1.19,2577726,13988.72932
1/24/2024,14115.1,14270,14113.1,14270,-0.07,2196104,14105.21943
1/23/2024,14001,14300,14000,14280,1.78,11275336,14250.2178
1/22/2024,14578,14578,14006,14030,-1.89,4860412,14302.4758
1/21/2024,14250.1,14450,14106,14300,0.46,10846627.2,14315.65046
1/18/2024,14380,14389,14200,14235.1,-1.15,3432013,14214.63
1/17/2024,14654,14654.3,14360,14400,0.23,9151460.6,14687.7042
1/16/2024,14442,14500,14227,14367,1.46,4686915,14652.8532
1/14/2024,14440,14700,14160,14160,0,4087053.4,14440
1/11/2024,14300,14585,14160,14160,0.4,3210365,14357.2
1/10/2024,14492.2,14500,14104,14104,-0.75,7498572,14383.5085
1/9/2024,14433,14433,14200,14210,0.42,3295831,14493.6186
1/8/2024,14285,14569,14100,14150,1.04,3544958,14433.564
1/7/2024,14500,14540,14000,14005,-2.06,4311385,14201.3
1/4/2024,14305,14700,14100,14300,-0.25,13572669,14269.2375
1/3/2024,14251,14445,14220,14336,-0.68,4925395,14154.0932
1/2/2024,14750,14900,14151,14434,-3.13,7524639.2,14288.325
1/1/2024,15300,15300,14900,14900,-2.3,1843760,14948.1
12/28/2023,15300,15300,15250,15250,-0.33,1998325,15249.51
12/27/2023,15700,15900,15270.4,15300,-1.16,7705615,15517.88
12/24/2023,15575,15900,15480,15480,1.37,10647567,15788.3775
12/21/2023,14750,15998,14750,15270.4,3.8,21190804,15310.5
12/20/2023,14410,15131,14409,14711,1.11,9279501,14569.951
12/19/2023,14388,14684,14388,14549,1.12,4435495,14549.1456
12/18/2023,14250,14400,14181,14388,0.37,12860153,14302.725
12/17/2023,14198,14384,14100,14335,0.6,5914761,14283.188
12/14/2023,14500,14500,14233,14250,-1.12,1286060,14337.6
12/13/2023,14789.8,14789.8,14411,14411,-0.61,2846042,14699.58222
12/12/2023,14390,14499.9,14112.2,14499.9,2.52,2938984,14752.628
12/11/2023,14050,14300,13906,14144,1.96,4007690,14325.38
12/10/2023,13872,13872,13872,13872,2,138720,14149.44
12/7/2023,13500,13699,13500,13600,0.37,2372940,13549.95
12/6/2023,13530,13550,13410,13550,0.89,1753840,13650.417
12/5/2023,13410,13555,13403,13430,0.21,1362670,13438.161
12/4/2023,13545,13648,13402,13402,-0.06,1758998,13536.873
12/3/2023,13300,13410,13300,13410,-1.02,1386000,13164.34
11/30/2023,13500,13566,13206,13548.8,1.1,3755947,13648.5
11/29/2023,13550,13550,13400,13401,-1.46,2292380,13352.17
11/28/2023,13495,13600,13495,13600,0.37,949940,13544.9315
11/27/2023,13490,13555.1,13480,13550,-0.37,743337.5,13440.087
11/26/2023,13222,13623.9,13222,13600,2.87,2021875,13601.4714
11/23/2023,13161,13350,13160,13220,0.53,2515760,13230.7533
11/22/2023,13282,13282,13150,13150,0.98,1318853,13412.1636
11/21/2023,13458,13458,13022,13022,-1.35,1851170,13276.317
11/20/2023,13210,13405,13142.2,13200,-0.08,2450945,13199.432
11/9/2023,13215,13240,13201.3,13210,0.08,1651578,13225.572
11/8/2023,13156,13200,13156,13200,0.38,567160,13205.9928
11/7/2023,13075,13194.9,13075,13150,0.26,1051099,13108.995
11/6/2023,13300,13350,13113.1,13116.1,0.46,1711668,13361.18
11/5/2023,13111,13299,13053,13056,-1.11,4712740,12965.4679
11/2/2023,13160,13203.1,13160,13203,-1.1,2321318.5,13015.24
11/1/2023,13100,13350,13100,13350,1.51,726270,13297.81
10/31/2023,13150,13280,13100,13151,1.16,1481488,13302.54
10/30/2023,13000,13100,13000,13000,0,1041911,13000
10/29/2023,13300,13300,13000,13000,-1.52,1182910,13097.84
10/19/2023,13250,13380,13100,13200,-0.94,1982172,13125.45
10/18/2023,13155,13373,13155,13325,3.3,2414643,13589.115
10/17/2023,13260,13525,12893,12899.9,-0.77,6418965.2,13157.898
10/16/2023,13215,13215,13000,13000,-2.99,5881504,12819.8715
10/12/2023,13420,13500,13400,13400,-0.74,2407089,13320.692
10/11/2023,13501,13770,13300,13500,0,6128108,13501
10/10/2023,13740,13740,13500,13500,-1.75,5091090,13499.55
10/9/2023,13805,13995,13741,13741,-0.44,4830840,13744.258
10/8/2023,13709.1,13900,13460,13802,-1.28,6981765,13533.62352
10/5/2023,14001,14001,13845,13981,0.51,1436713,14072.4051
10/4/2023,13922.1,14115,13906,13910,-0.61,2229392,13837.17519
10/3/2023,14000,14000,13800,13995,-0.04,2495230,13994.4
10/2/2023,13651.3,14046,13625,14000,0.72,2203519,13749.58936
10/1/2023,14000,14186.1,13494.6,13900,-2.32,10509998,13675.2
9/27/2023,14360,14360,14230,14230,-0.91,2517681,14229.324
9/26/2023,14536,14536,14257,14360,0.76,3510250,14646.4736
9/25/2023,14250,14440,14215,14251,-0.9,2395691,14121.75
9/24/2023,14300,14580,14300,14380,-1.24,1890540,14122.68
9/21/2023,14450,14699,14350,14560,1.61,4663432,14682.645
9/19/2023,14200,14345,14200,14330,0.92,1143400,14330.64
9/18/2023,14500,14500,14100,14200,-0.7,4131100,14398.5
9/17/2023,14500,14694,14206,14300,-2.87,4298106,14083.85
9/13/2023,14725,14767,14300,14723,1.54,4315028,14951.765
9/12/2023,14700,14700,14500,14500,-0.11,1965285,14683.83
9/11/2023,14500,14650,14500,14516,0.11,3831536.8,14515.95
9/10/2023,14650,14700,14466,14500,0.35,2567982.2,14701.275
9/7/2023,14799.9,14799.9,14450,14450,-1.7,2178149,14548.3017
9/5/2023,14566,14750,14543.2,14700,-0.94,1464892,14429.0796
9/4/2023,14998,14998,14490,14840,0.43,9035615,15062.4914
9/3/2023,14763.3,14800,14760,14776,-1.82,3621072,14494.60794
8/30/2023,14999,15050,14903.1,15050,0.34,449521,15049.9966
8/29/2023,14800,14999,14799,14999,0.83,1933771,14922.84
8/28/2023,14812,15100,14812,14875,0.47,3559082,14881.6164
8/27/2023,15200,15200,14805,14805,-1.44,6692230,14981.12
8/24/2023,15500,15500,15022,15022,-3.08,4179271.5,15022.6
8/23/2023,15200,15790,15200,15500,2.11,8518717.8,15520.72
8/22/2023,15000,15179,14901,15179,1.87,5943020,15280.5
8/21/2023,15001,15100,14900,14900,-1.32,4131830,14802.9868
8/20/2023,15200,15400,15000,15100,-0.98,5976048,15051.04
8/17/2023,15554,15554,15010,15250,0,6076164,15554
8/16/2023,15220,15250,15207,15250,-0.65,2786637,15121.07
8/15/2023,15990,16000,15110,15350,-2.22,3681070,15635.022
8/14/2023,15500,15699,15241,15699,1.41,4643831,15718.55
8/13/2023,15490,16113,15400,15480,1.44,3918973,15713.056
8/10/2023,15100,15500,15050,15260,0.39,6374194,15158.89
8/9/2023,14804.1,15201,14804.1,15201,1.34,2113875,15002.47494
8/8/2023,15120,15200,15000,15000,-0.99,3618400,14970.312
8/7/2023,15200,15298,15150,15150,-0.32,4484290,15151.36
8/6/2023,15606,15606,14933,15199,-0.66,9019237.5,15503.0004
8/3/2023,15600,15600,15300,15300,-0.2,2782526,15568.8
8/2/2023,15074,15330,15000,15330,-0.22,8141470,15040.8372
8/1/2023,15848.9,15849.6,15263,15364,-1.2,5205222,15658.7132
7/31/2023,15555,15863,15501,15550,-0.64,2484225,15455.448
7/30/2023,15546,15650,15500,15650,-1.3,4507913,15343.902
7/27/2023,15801,16116,15801,15856.7,-0.62,6525467.8,15703.0338
7/26/2023,16100,16524,15900,15955,-0.9,22122552,15955.1
7/25/2023,16291,16320,15900,16100,0.63,16025049,16393.6333
7/24/2023,16490,16500,16000,16000,-2.02,12060342.2,16156.902
7/23/2023,16200,16401,16011,16330,1.74,7989288,16481.88
7/20/2023,15900.1,16300,15900,16050,0,8710072,15900.1
7/19/2023,16000,16280,16000,16050,-0.52,6123450,15916.8
7/18/2023,16001,16290,15890,16134,0.71,7153562.2,16114.6071
7/17/2023,16000,16100,15582,16020,-0.49,18616745,15921.6
7/16/2023,15490,16100,14950,16099,5.98,15996540.1,16416.302
7/13/2023,15115,15400,15000,15190,-0.07,10284084.3,15104.4195
