date,open,high,low,ltp,% change,turnover,close
3/31/2024,237.1,239,235,236,-0.25,7571499.5,236.50725
3/28/2024,238,238,233.1,236.6,0.17,5556857,238.4046
3/27/2024,233.1,237,233,236.2,0.72,5701846,234.77832
3/26/2024,238,240,234.5,234.5,-1.43,7969391.3,234.5966
3/25/2024,240,240,236,237.9,-1.12,7237705.1,237.312
3/21/2024,245,245,240.6,240.6,-0.33,8051210.1,244.1915
3/20/2024,244.9,244.9,240.1,241.4,0.17,7631153.9,245.31633
3/19/2024,240.2,248,240.2,241,-1.23,7112643.5,237.24554
3/18/2024,245,246,242,244,-1.21,5978701,242.0355
3/17/2024,248,249.9,244.4,247,0.82,3429166.1,250.0336
3/14/2024,247,249.9,245,245,-1.76,8970250.2,242.6528
3/13/2024,248,252.9,247,249.4,0.56,8454053.8,249.3888
3/12/2024,246,249,245,248,2.48,9483705.5,252.1008
3/10/2024,245,245,242,242,-0.41,4641189.3,243.9955
3/7/2024,245.7,245.7,241,243,0.83,5409915.9,247.73931
3/6/2024,240,243,236,241,1.26,9271331.4,243.024
3/5/2024,244,244,237,238,-2.46,8211300,237.9976
3/4/2024,238.6,244,238.6,244,4.27,41276,248.78822
3/3/2024,235,235,230.6,234,-0.09,9311622.1,234.7885
2/29/2024,238,239,234,234.2,-0.76,6351223.9,236.1912
2/28/2024,238.5,239,236,236,-0.42,3411292.6,237.4983
2/27/2024,239.9,239.9,234,237,0,6797662.1,239.9
2/26/2024,233,237.7,233,237,1.67,4339304.6,236.8911
2/25/2024,236,236,232,233.1,-0.77,8896120.6,234.1828
2/22/2024,235.5,239.6,234.7,234.9,-0.04,11937464.8,235.4058
2/21/2024,244.8,246,235,235,-2.08,13374058.7,239.70816
2/20/2024,244,244,237,240,-0.33,8211522.9,243.1948
2/18/2024,242,244,237.6,240.8,-0.45,8697005.7,240.911
2/15/2024,244,246.9,241,241.9,-1.27,10256305.3,240.9012
2/14/2024,245,246.9,243,245,0.41,4471108.5,246.0045
2/13/2024,250,250,243.2,244,-2.4,7365994.2,244
2/12/2024,249,251.9,245.1,250,0.64,13448417.1,250.5936
2/11/2024,249,252,248,248.4,-0.24,10728197.5,248.4024
2/8/2024,246,250,245,249,1.22,7004846.4,249.0012
2/7/2024,249.9,250,245.1,246,0.12,7856163.6,250.19988
2/6/2024,247.9,247.9,243,245.7,0.99,5587587.4,250.35421
2/5/2024,240,244,239.9,243.3,0.95,8336205.9,242.28
2/4/2024,244,244,240,241,-0.62,7219861.5,242.4872
2/1/2024,245,247,242.2,242.5,-1.62,9653922.3,241.031
1/31/2024,246,250.1,245,246.5,-0.44,6718725.1,244.9176
1/30/2024,251.8,251.8,246,247.6,-0.16,11786111.3,251.39712
1/29/2024,247,250,247,248,0.4,7829642.7,247.988
1/28/2024,253,253.6,247,247,-0.8,11149352.2,250.976
1/25/2024,251.9,251.9,247.1,249,0,8725830.4,251.9
1/24/2024,250.8,251.9,245.8,249,1.26,12721570.4,253.96008
1/23/2024,246,250,244.2,245.9,0.29,13281210.6,246.7134
1/22/2024,250.4,254,245,245.2,-3.84,25147578.7,240.78464
1/21/2024,261,263,251,255,-2.3,17719834.5,254.997
1/18/2024,260.1,264.8,260.1,261,-1.51,13323320,256.17249
1/17/2024,268.2,273,264,265,-0.19,17771989.4,267.69042
1/16/2024,256,265.5,256,265.5,2.91,22984165.6,263.4496
1/14/2024,259.5,259.5,253,258,0.78,9708190.5,261.5241
1/11/2024,260,260,254.8,256,0,9030247.2,260
1/10/2024,250.1,258,250.1,256,2.81,10683831.6,257.12781
1/9/2024,245.4,250,245.2,249,1.67,10004477.4,249.49818
1/8/2024,245.1,247,242,244.9,0.29,10591959.5,245.81079
1/7/2024,251.9,251.9,244.2,244.2,-2.71,15747289.1,245.07351
1/4/2024,255,255,250.2,251,-0.4,10529319.5,253.98
1/3/2024,252.9,252.9,248,252,0.4,7494876.9,253.9116
1/2/2024,252,254,248,251,-0.4,12075496.5,250.992
1/1/2024,252,259,251,252,-0.79,13662140.2,250.0092
12/28/2023,257,257,253.1,254,-1.17,10926780.3,253.9931
12/27/2023,258,260,255.8,257,-0.39,14348228.8,256.9938
12/24/2023,263.3,265,258,258,-2.9,17173324.7,255.6643
12/21/2023,270,272,265.1,265.7,-1.59,13296983.2,265.707
12/20/2023,275,276,268.1,270,0.11,17613247.9,275.3025
12/19/2023,263,270,263,269.7,2.55,15172610.8,269.7065
12/18/2023,259,268.7,259,263,1.94,16815690.2,264.0246
12/17/2023,250,258,250,258,1.18,9772514.8,252.95
12/14/2023,255,255,251,255,-0.39,8908155.8,254.0055
12/13/2023,253,257,252,256,1.19,10504039.1,256.0107
12/12/2023,250,254,247.1,253,0.8,12222221.3,252
12/11/2023,257.8,258,246.3,251,-0.79,14367521.6,255.76338
12/10/2023,239.1,253,239.1,253,7.89,690675,257.96499
12/7/2023,235.2,238.9,234,234.5,-0.42,4734033.6,234.21216
12/6/2023,235,236,234,235.5,0.26,5858320.6,235.611
12/5/2023,233,235,232.3,234.9,-0.17,3565846.9,232.6039
12/4/2023,235.3,240,235,235.3,-0.68,3287688.6,233.69996
12/3/2023,239,239,235.6,236.9,-0.42,4388662.5,237.9962
11/30/2023,240,240,235.2,237.9,-0.63,3037378,238.488
11/29/2023,239,240,238,239.4,0.17,2353613.6,239.4063
11/28/2023,240,244.8,238,239,-0.42,2581330.4,238.992
11/27/2023,244,244.9,239.2,240,-1.23,2645205.5,240.9988
11/26/2023,236,243,235,243,2.57,6663195.1,242.0652
11/23/2023,239,239,234,236.9,-0.04,3263692.5,238.9044
11/22/2023,237.5,237.5,232,237,0.25,1606033.7,238.09375
11/21/2023,238,239.5,233,236.4,-0.3,2987462.8,237.286
11/20/2023,236.1,239.7,236.1,237.1,0.68,3360490.3,237.70548
11/9/2023,235.1,236,232,235.5,-0.38,3702710.9,234.20662
11/8/2023,241,242.9,235,236.4,-1.29,4078265.3,237.8911
11/7/2023,236.2,240.5,236.1,239.5,1.53,2778450.3,239.81386
11/6/2023,230,239,230,235.9,2.57,4103745,235.911
11/5/2023,231,232,229,230,-1.29,5612684.8,228.0201
11/2/2023,235,237,233,233,-0.85,4085507.3,233.0025
11/1/2023,242.7,242.7,234,235,-1.26,6222769.9,239.64198
10/31/2023,244.7,244.7,237,238,-1.86,4898434.3,240.14858
10/30/2023,241,242.9,237,242.5,0.25,5743659.6,241.6025
10/29/2023,249,250,239,241.9,-2.77,5466074.3,242.1027
10/19/2023,247.9,249,242,248.8,1.59,4101595.7,251.84161
10/18/2023,238.9,245.7,232.1,244.9,3.82,5573048.3,248.02598
10/17/2023,233,236,232.5,235.9,2.12,6409762,237.9396
10/16/2023,228.5,232.4,225.5,231,1.05,7324709.2,230.89925
10/12/2023,237.9,237.9,228.6,228.6,-2.72,10449328.6,231.42912
10/11/2023,238,238.9,233.7,235,-0.09,8087042.9,237.7858
10/10/2023,237,241,234.5,235.2,-1.01,6080901.8,234.6063
10/9/2023,248,248,233.3,237.6,-3.97,12190784.4,238.1544
10/8/2023,271.6,272,268,269.7,-0.66,40339030.8,269.80744
10/5/2023,275,277.9,271,271.5,-1.02,15481252.6,272.195
10/4/2023,280,280.1,274.2,274.3,-0.62,11610642.6,278.264
10/3/2023,280,283,275,276,-0.5,14300565,278.6
10/2/2023,278,280,274,277.4,0.07,11049076.2,278.1946
10/1/2023,286,286,277,277.2,-2.74,15596655.8,278.1636
9/27/2023,283,286.7,281.1,285,0.11,10896624.1,283.3113
9/26/2023,291,297.5,284.3,284.7,-0.45,11988182.7,289.6905
9/25/2023,287,289.6,285,286,-0.35,19441003.3,285.9955
9/24/2023,291,293.5,285.1,287,-0.8,12792884.4,288.672
9/21/2023,294.8,298,289,289.3,0.07,24175894.7,295.00636
9/19/2023,291,291,287.5,289.1,0.38,7013319.4,292.1058
9/18/2023,289.5,292,286,288,-0.52,8610110.1,287.9946
9/17/2023,302,302,289,289.5,-4.11,35322892.4,289.5878
9/13/2023,301.7,302,296,301.9,1.65,17735753.2,306.67805
9/12/2023,300,301.7,295,297,-0.67,19499194.4,297.99
9/11/2023,298,300,294,299,2.05,20697476.5,304.109
9/10/2023,295,297.5,292.2,293,1.03,12280326.6,298.0385
