date,open,high,low,ltp,% change,turnover,close
3/31/2024,513,522,510,510,-1.73,6879302.8,504.1251
3/28/2024,515.1,524,515.1,519,-0.57,8719870.6,512.16393
3/27/2024,520,523.9,519.1,522,-0.57,8048584.6,517.036
3/26/2024,529,529,517,525,0.96,3994051,534.0784
3/25/2024,520,521,511.1,520,0,3950288.8,520
3/21/2024,521,526,520,520,-0.76,3333498.9,517.0404
3/20/2024,530,530,520.5,524,0.19,3598513.2,531.007
3/19/2024,517,535,517,523,-0.76,3609994.6,513.0708
3/18/2024,523,528,523,527,-0.19,5867006.5,522.0063
3/17/2024,521,530,517,528,0.38,3144601.6,522.9798
3/14/2024,531,539,522,526,-1.87,4169873.9,521.0703
3/13/2024,529.1,540,529.1,536,-0.67,7720509.2,525.55503
3/12/2024,525,540,520.4,539.6,3.51,16274849.2,543.4275
3/10/2024,528.5,529,518.5,521.3,0.06,2656581.3,528.8171
3/7/2024,519,528,518,521,0.39,2572275.5,521.0241
3/6/2024,508.3,524.2,508,519,0.27,4079099.3,509.67241
3/5/2024,525,530,514.4,517.6,-1.41,4915026.7,517.5975
3/4/2024,510,525,510,525,4.37,117421,532.287
3/3/2024,505,507,497.4,503,-0.4,8907162.1,502.98
2/29/2024,500.1,507.7,500.1,505,-0.59,4141401,497.14941
2/28/2024,503.2,508,500,508,-0.2,9127497.5,502.1936
2/27/2024,512,512,504.5,509,0,7443364.1,512
2/26/2024,513,513,504.5,509,-0.2,5292784.9,511.974
2/25/2024,514.9,516,509,510,-0.6,8096314.7,511.8106
2/22/2024,518.5,520,513.1,513.1,-1.52,7221118.3,510.6188
2/21/2024,519,524.5,519,521,-0.55,4498045.5,516.1455
2/20/2024,520.1,530,519.1,523.9,-0.4,5646159.2,518.0196
2/18/2024,528,530,522.1,526,-0.34,5317267.3,526.2048
2/15/2024,525.1,529,523,527.8,-0.08,5350281.1,524.67992
2/14/2024,528,531,526,528.2,-0.36,3938587.7,526.0992
