date,open,high,low,ltp,% change,turnover,close
3/31/2024,436.2,440,427,433,-1.14,15197747.5,431.22732
3/28/2024,438,441.9,426,438,0,21936336.2,438
3/27/2024,442,446.5,436.1,438,-0.9,10013004,438.022
3/26/2024,437.1,447.7,434.3,442,0.68,19600917,440.07228
3/25/2024,444.5,445,427.4,439,-0.9,13666045.6,440.4995
3/21/2024,444.1,452,440,443,-0.78,14001087.4,440.63602
3/20/2024,450.1,454,441,446.5,-1.41,7309693.4,443.75359
3/19/2024,451,458.9,442,452.9,0.42,14298245.9,452.8942
3/18/2024,448,453.9,447,451,0.87,23702234.9,451.8976
3/17/2024,453.1,457.9,441,447.1,-1.95,21023691,444.26455
3/14/2024,464,464,452.1,456,-1.49,20619103.2,457.0864
3/13/2024,470,470,452.8,462.9,-0.43,59721649.1,467.979
3/12/2024,452.8,469,437.1,464.9,4.71,62019880.5,474.12688
3/10/2024,437.2,453.4,427.6,444,1.6,18222060.1,444.1952
3/7/2024,435,450,435,437,-1.13,13686592.1,430.0845
3/6/2024,430.1,450,428,442,0.91,32902640.6,434.01391
3/5/2024,460,460,438,438,-4.16,16496540,440.864
3/4/2024,440.6,457,440.6,457,5.79,1193227.5,466.11074
3/3/2024,428.5,435,426.1,432,0.82,15840409.5,432.0137
2/29/2024,440,441,428.3,428.5,-2.61,14426212,428.516
2/28/2024,435,443,433.2,440,0.66,9526868.5,437.871
2/27/2024,440,445,435.2,437.1,-1.02,7878865.3,435.512
2/26/2024,433.1,443,432,441.6,1.99,8832448.6,441.71869
2/25/2024,433,445,432,433,-1.59,14158958.1,426.1153
2/22/2024,453.6,453.6,436,440,-1.57,18273312.1,446.47848
2/21/2024,456.5,456.5,439.5,447,-0.56,16092480.3,453.9436
2/20/2024,452,454.8,448,449.5,-0.07,15310814.3,451.6836
2/18/2024,461,461,440.9,449.8,-0.51,15230125.2,458.6489
2/15/2024,454.1,458,446,452.1,-0.22,29044941.5,453.10098
2/14/2024,454,459,444,453.1,-0.2,23999772.5,453.092
2/13/2024,456,461,447.2,454,-2.3,30704212.5,445.512
2/12/2024,462,466.5,459.3,464.7,-0.06,17572201.2,461.7228
2/11/2024,479.6,479.6,461.5,465,-1.11,33231093,474.27644
2/8/2024,470,473,464,470.2,0.47,37458595.8,472.209
2/7/2024,462,473,460,468,1.69,51620466.9,469.8078
2/6/2024,464.6,464.6,456.1,460.2,0.7,11055379,467.8522
2/5/2024,458,465,449.9,457,0.02,28182209.9,458.0916
2/4/2024,446.3,460,440,456.9,0.62,16014693.9,449.06706
2/1/2024,460,460,452.4,454.1,0.02,27665384.3,460.092
1/31/2024,463.1,468,451.2,454,-1.56,43407280.7,455.87564
1/30/2024,464,465,460,461.2,-0.19,33917750.8,463.1184
