date,open,high,low,ltp,% change,turnover,close
3/31/2024,175,178.2,173.2,173.6,-0.8,33640478.4,173.6
3/28/2024,175,176.9,174,175,-0.23,37280054.6,174.5975
3/27/2024,179,179,175.1,175.4,-0.85,28365811.9,177.4785
3/26/2024,176,178.8,175.5,176.9,0.51,38776697.9,176.8976
3/25/2024,180,181,175.5,176,-1.95,45256173.8,176.49
3/21/2024,180.1,181.9,178.3,179.5,-0.33,54972079.9,179.50567
3/20/2024,184.4,184.4,180,180.1,-0.39,70568967.3,183.68084
3/19/2024,183,183.7,180,180.8,-0.44,69891976.3,182.1948
3/18/2024,183,183.1,178,181.6,-0.66,116415550.6,181.7922
3/17/2024,190,190,182.5,182.8,-2.71,137881654.3,184.851
3/14/2024,180,190.7,170,187.9,2.34,508908099.6,184.212
3/13/2024,200,200,183.6,183.6,-10,155448625.8,180
3/12/2024,200.9,205,196.9,204,-0.49,22062199.4,199.91559
3/10/2024,210.1,210.1,205,205,-0.87,5514401.4,208.27213
3/7/2024,209,209.1,204,206.8,0.88,5845924.9,210.8392
3/6/2024,205,210,201.9,205,0,7307368.9,205
3/5/2024,218,218,205,205,-4.3,17085050.6,208.626
3/4/2024,199.9,214.2,199.9,214.2,9.29,400018,218.47071
3/3/2024,200,200.9,196,196,-0.51,5438848.9,198.98
2/29/2024,203.9,203.9,197,197,-1.5,8910624.3,200.8415
2/28/2024,202,202,198.2,200,-0.99,4806184.1,200.0002
2/27/2024,206,207,200.3,202,-0.98,3131147.3,203.9812
2/26/2024,193.7,207.8,193.6,204,4.45,8509411.5,202.31965
2/25/2024,196.1,199.9,195,195.3,-1.81,9679694.8,192.55059
2/22/2024,205.9,205.9,198.9,198.9,-2.02,12825839.9,201.74082
2/21/2024,207,207,202,203,-0.73,10640756.4,205.4889
2/20/2024,208,208,203,204.5,-0.29,7766253.5,207.3968
2/18/2024,205,210,205,205.1,-1.39,7904031.9,202.1505
2/15/2024,207.1,210.3,207,208,-0.95,8370348.9,205.13255
2/14/2024,210,213,208,210,-0.94,5936649.8,208.026
2/13/2024,220,220,211.1,212,-1.85,8705088.1,215.93
2/12/2024,219,219.3,215,216,0.47,9636984.8,220.0293
2/11/2024,218,221.4,215,215,0,15370003.3,218
2/8/2024,213.8,216,212,215,2.04,10826876.1,218.16152
2/7/2024,211,213.1,209.1,210.7,0.81,8600063.9,212.7091
2/6/2024,210,210,205,209,0.48,9410073.7,211.008
2/5/2024,209,210,205,208,0.48,7844566.5,210.0032
2/4/2024,211,213,206,207,-1.43,11151925.2,207.9827
2/1/2024,219.3,219.3,209.7,210,-2.33,18955417.1,214.19031
1/31/2024,212.7,222,212.7,215,-0.92,16979309.1,210.74316
1/30/2024,216,220.3,214,217,0.46,16127175.3,216.9936
1/29/2024,219,222,215,216,-0.92,14871752.3,216.9852
1/28/2024,220,220.8,215,218,0.46,14906781.7,221.012
1/25/2024,216,223,216,217,-1.36,15969348.6,213.0624
1/24/2024,229.2,229.2,218,220,-2.14,26460542.2,224.29512
1/23/2024,223.5,231,220.6,224.8,-0.75,20022140.9,221.82375
1/22/2024,244.8,244.8,221,226.5,-5.63,47271184.9,231.01776
1/21/2024,240.7,252,227,240,1.69,72387060,244.76783
1/18/2024,250,251,226,236,-4.84,83745895.5,237.9
1/17/2024,237.2,255.8,232.6,248,6.62,87075826.9,252.90264
1/16/2024,212,232.6,211.5,232.6,9.98,68865884.3,233.1576
1/14/2024,197.9,213.1,196,211.5,6.87,47498002.5,211.49573
1/11/2024,197,197.9,193.6,197.9,0.56,16520952.7,198.1032
1/10/2024,201.9,201.9,195.5,196.8,-0.61,14223199.7,200.66841
1/9/2024,204,205,197.2,198,-1,22039281,201.96
1/8/2024,202.9,204,198.7,200,-0.94,13701775.1,200.99274
1/7/2024,203.4,205,200,201.9,1.2,19302089.2,205.8408
